"","Cancer","Stroma","Ductal"
"6x14",0.549129448436878,0.445135253806561,0.00573529775656136
"3x8",0.592097861495892,0.384129547614405,0.0237725908897025
"16x11",0.774588727030372,0.168137942156645,0.0572733308129833
"2x6",0.707007364360439,0.276676396723495,0.0163162389160661
"3x12",0.897710871484035,0.0349396528703477,0.0673494756456178
"16x15",0.428586341549823,0.558935082512825,0.012478575937352
"5x6",0.684069836668141,0.289347037119113,0.026583126212746
"9x13",0.256512591129522,0.715112676791941,0.0283747320785369
"15x15",0.085079318622733,0.840143389130465,0.0747772922468024
"2x13",0.145263320014623,0.81545244476138,0.039284235223997
"10x10",0.919494037279036,0.0650904402570708,0.015415522463893
"7x4",0.441977853779179,0.462753448520427,0.0952686977003944
"8x16",0.65920748108591,0.306221930037775,0.0345705888763154
"16x16",0.552984888211742,0.412635470831811,0.0343796409564479
"6x6",0.605509468704486,0.312314414474317,0.0821761168211968
"0x10",0.754168275653955,0.210762863578495,0.0350688607675506
"7x12",0.603975295927494,0.30130279138058,0.094721912691926
"12x7",0.670006207517485,0.329993792482515,0
"6x18",0.466171654562995,0.506409041357235,0.0274193040797701
"3x14",0.666086508455026,0.314152013236995,0.0197614783079783
"15x11",0.396489627930371,0.58350587275709,0.0200044993125399
"7x3",0.229367291327082,0.697579212086382,0.073053496586536
"9x16",0.399057489184465,0.543911738810969,0.0570307720045657
"1x10",0.166576534820302,0.765515721491487,0.0679077436882107
"17x5",0.649313311490399,0.329349743118431,0.0213369453911698
"9x6",0.942984168244085,0.0332632123074358,0.0237526194484794
"6x7",0.635079158521508,0.322321106729271,0.0425997347492207
"0x0",0.65277830222025,0.272869935434228,0.0743517623455223
"0x1",0.553830213529819,0.387354301105457,0.058815485364724
"0x2",0.767611201421662,0.0992897472636946,0.133099051314643
"0x3",0.585951892965318,0.405769897546181,0.00827820948850108
"0x4",0.79588085941626,0.169063990565751,0.0350551500179888
"0x5",0.80382633842928,0.124135230501459,0.0720384310692617
"0x6",0.805817845206431,0.0715993474299454,0.122582807363623
"0x7",0.764123102889757,0.126290963862894,0.109585933247348
"0x8",0.87802888828748,0.0133941456395726,0.108576966072947
"0x9",0.855386952233363,0.0302579366245354,0.114355111142102
"0x11",0.86360911707437,0.0123201035426701,0.12407077938296
"0x12",0.838227997130518,0.0516531561707722,0.11011884669871
"0x13",0.783651259047132,0.0215993602796756,0.194749380673193
"0x14",0.864537597947267,0.0100462494659766,0.125416152586756
"0x15",0.799115971703187,0.113065241657383,0.0878187866394308
"0x16",0.81971580111147,0.0678579382423852,0.112426260646144
"0x17",0.731716205017703,0.126325333731519,0.141958461250778
"0x18",0.528875030571281,0.173626066501862,0.297498902926857
"0x19",0.772084720156257,0.16529212401555,0.0626231558281933
"0x20",0.764936817452051,0.181624915706975,0.0534382668409737
"0x21",0.612123581254608,0.337132193858823,0.0507442248865694
"0x22",0.638251430878741,0.135537607191697,0.226210961929562
"0x23",0.375252594125615,0.384732939851449,0.240014466022936
"0x24",0.73357412406781,0.127765005568151,0.138660870364039
"0x25",0.337844404684334,0.340753619232643,0.321401976083023
"0x26",0.573776198953317,0.287941160511783,0.138282640534901
"0x27",0.517525779901895,0.38735409446334,0.0951201256347652
"0x28",0.387139340219334,0.506750824726987,0.106109835053679
"0x29",0.266860954470586,0.480268530499525,0.252870515029889
"0x30",0.354023062240426,0.28476904737887,0.361207890380703
"0x31",0.579345486942556,0.3481083489137,0.0725461641437433
"0x32",0.319939691576183,0.558901900354119,0.121158408069698
"0x33",0.67414170333519,0.252722867435173,0.0731354292296379
"0x34",0.430536513503323,0.487820565199982,0.0816429212966952
"0x35",0.281866846441366,0.680403451886572,0.0377297016720613
"0x36",0.437708139670307,0.455178575419623,0.10711328491007
"0x37",0.310370875443034,0.464502515795178,0.225126608761788
"0x38",0.37644963388925,0.338689755110061,0.284860611000689
"0x39",0.1652003777059,0.505500517529355,0.329299104764745
"0x40",0.474844837165484,0.346196036789916,0.178959126044601
"0x41",0.143115733925389,0.635443538750744,0.221440727323867
"0x42",0.252608310119796,0.579119993601427,0.168271696278777
"0x43",0.372295888013589,0.417981802970744,0.209722309015666
"0x44",0.128107547345226,0.398680121573964,0.473212331080809
"0x45",0.431192454390818,0.412401778716146,0.156405766893036
"0x46",0.318608407064411,0.430676818338794,0.250714774596795
"0x47",0.162817371175659,0.482523761229001,0.354658867595341
"0x48",0.332968855193749,0.441596861809448,0.225434282996802
"0x49",0.36474562232421,0.32381891643171,0.31143546124408
"1x0",0.795889475790971,0.084545322016062,0.119565202192967
"1x1",0.66378440715397,0.0843282577695129,0.251887335076517
"1x2",0.761154189340129,0.201378239749838,0.0374675709100332
"1x3",0.642720937426383,0.239488034306085,0.117791028267532
"1x4",0.877076367859014,0.00969542338817085,0.113228208752815
"1x5",0.916636953146033,0.0744490071269723,0.00891403972699447
"1x6",0.865590517501638,0.067380017640076,0.0670294648582861
"1x7",0.903190061684627,0.0113551449674546,0.0854547933479183
"1x8",0.797201101877543,0.0309584213789152,0.171840476743541
"1x9",0.857809626133898,0.00652022113225644,0.135670152733845
"1x11",0.799058364580355,0.0669253241593263,0.134016311260318
"1x12",0.656829261701273,0.0797205200380853,0.263450218260642
"1x13",0.833739397791097,0.129913176154707,0.0363474260541962
"1x14",0.824712442928886,0.0853151513988679,0.0899724056722463
"1x15",0.786747552251567,0.0400662733451434,0.17318617440329
"1x16",0.594203039590247,0.32006334635159,0.0857336140581635
"1x17",0.798178499107923,0.105868516562808,0.0959529843292692
"1x18",0.716309832604567,0.152097739069886,0.131592428325547
"1x19",0.716980597560353,0.18745080096858,0.0955686014710664
"1x20",0.568364208887943,0.32896728898507,0.102668502126987
"1x21",0.553175376474219,0.166043324479134,0.280781299046646
"1x22",0.517426975083364,0.315688628800924,0.166884396115713
"1x23",0.583650425447638,0.381652626078835,0.0346969484735268
"1x24",0.675325930901775,0.313078979046631,0.0115950900515938
"1x25",0.581046223306578,0.375408744052471,0.0435450326409512
"1x26",0.602337176362821,0.271293209214061,0.126369614423118
"1x27",0.376426884635324,0.444275588429288,0.179297526935388
"1x28",0.486160527313202,0.293895726396911,0.219943746289887
"1x29",0.06035556784757,0.442546821808697,0.497097610343733
"1x30",0.331819453173256,0.503349087027683,0.16483145979906
"1x31",0.446727696042058,0.46131770161359,0.0919546023443525
"1x32",0.295943441430884,0.448415794268961,0.255640764300155
"1x33",0.427448467510826,0.481499151498931,0.0910523809902422
"1x34",0.326942902036812,0.476750661136862,0.196306436826326
"1x35",0.358600718357731,0.483178808083776,0.158220473558493
"1x36",0.489705965257963,0.321814193558342,0.188479841183695
"1x37",0.261110223690711,0.444785666270257,0.294104110039031
"1x38",0.365960848094636,0.398113514324506,0.235925637580858
"1x39",0.603583646666676,0.300693534152709,0.0957228191806151
"1x40",0.295988679434642,0.632924482758484,0.071086837806874
"1x41",0.241028561897459,0.652282178451143,0.106689259651398
"1x42",0.264698479909673,0.512356703722581,0.222944816367746
"1x43",0.276642405701544,0.655232835270404,0.0681247590280511
"1x44",0.184555614150775,0.565387551256362,0.250056834592863
"1x45",0.3720444397616,0.482086211220279,0.145869349018121
"1x46",0.425556404000467,0.350604533140559,0.223839062858974
"1x47",0.250147046130233,0.497651403778995,0.252201550090772
"1x48",0.399316793208356,0.224658786351955,0.376024420439689
"1x49",0.471361571481802,0.398864516916833,0.129773911601365
"2x0",0.787739554923184,0.137243232982857,0.075017212093959
"2x1",0.842364239998661,0.130853154255856,0.0267826057454833
"2x2",0.815803461182399,0.0441714472895811,0.14002509152802
"2x3",0.874999731898741,0.0256860045188359,0.0993142635824229
"2x4",0.81819341495388,0.0360172734354294,0.145789311610691
"2x5",0.724316896670104,0.192131630281756,0.0835514730481393
"2x7",0.965338220037985,0.00136101614289334,0.0333007638191219
"2x8",0.966138514773326,0.0270972822855051,0.00676420294116911
"2x9",0.957656319903058,0.0269960337516434,0.0153476463452983
"2x10",0.902159053684543,0.0335430505188374,0.0642978957966198
"2x11",0.879223660089759,0.00367298217720229,0.117103357733039
"2x12",1,0,0
"2x14",0.919241771753505,0.020938744154342,0.0598194840921532
"2x15",0.937655189152192,0,0.0623448108478085
"2x16",0.641347924054601,0.302352995130699,0.0562990808147002
"2x17",0.848697379502352,0.100446615859739,0.050856004637909
"2x18",0.663062792682458,0.311336367943189,0.0256008393743532
"2x19",0.527344697209933,0.170260461935247,0.30239484085482
"2x20",0.810988279676511,0.178335962528849,0.0106757577946401
"2x21",0.558529904407124,0.258217272592947,0.183252822999929
"2x22",0.67306754706539,0.191896391817209,0.1350360611174
"2x23",0.588757080018259,0.303032252524918,0.108210667456824
"2x24",0.650242375146771,0.305329191874846,0.044428432978383
"2x25",0.501261084446499,0.328869426028396,0.169869489525106
"2x26",0.583305629279462,0.295578202263148,0.12111616845739
"2x27",0.533990469255243,0.405534302935329,0.0604752278094277
"2x28",0.189733428976412,0.737540317874714,0.0727262531488738
"2x29",0.543440732527069,0.249311084209605,0.207248183263325
"2x30",0.379783972183201,0.290392446375678,0.329823581441121
"2x31",0.324385404862744,0.520930240711633,0.154684354425623
"2x32",0.287498068000386,0.395927610024265,0.316574321975348
"2x33",0.399649707524363,0.406025939941511,0.194324352534126
"2x34",0.497621441003576,0.380075662029128,0.122302896967296
"2x35",0.595100809751286,0.308993142675439,0.0959060475732757
"2x36",0.292773921108714,0.609535951797248,0.0976901270940384
"2x37",0.355612007885823,0.223761453736511,0.420626538377666
"2x38",0.311056075774665,0.56195427929842,0.126989644926915
"2x39",0.232016579437032,0.408862766375451,0.359120654187517
"2x40",0.315940528895052,0.5461778339324,0.137881637172548
"2x41",0.131011985069927,0.426017934246684,0.442970080683388
"2x42",0.322177820304991,0.433565836395912,0.244256343299098
"2x43",0.15477751688932,0.687212414135076,0.158010068975604
"2x44",0.213632607315929,0.390144385883509,0.396223006800562
"2x45",0.223580683607241,0.440372944928334,0.336046371464425
"2x46",0.206070586832541,0.634461665243691,0.159467747923767
"2x47",0.215152396131974,0.686560922221966,0.0982866816460607
"2x48",0.231655471387008,0.42862848914693,0.339716039466061
"2x49",0.245730908414508,0.506618960567641,0.247650131017851
"3x0",0.752957132407652,0.146457717473642,0.100585150118705
"3x1",0.849293062370169,0,0.150706937629831
"3x2",0.926435706534793,0.00690449153833238,0.0666598019268749
"3x3",0.863940129786699,0,0.136059870213301
"3x4",0.880036891574171,0.036976695769582,0.082986412656247
"3x5",0.926587997155087,0.00304980928636587,0.0703621935585475
"3x6",0.975716318117146,0.00259410949020547,0.0216895723926483
"3x7",0.963041889565325,0.0204621992839172,0.0164959111507582
"3x9",0.895805357137198,0.0272796785655531,0.0769149642972486
"3x10",0.872380120012316,0.00355644683792889,0.124063433149755
"3x11",0.93646481634811,0.00480353713658975,0.0587316465153007
"3x13",0.933083910821683,0.00285310562069828,0.0640629835576185
"3x15",0.887722383909894,0.0513982385267078,0.0608793775633982
"3x16",0.880771717100558,0.101419735270803,0.0178085476286384
"3x17",0.909918907191714,0.0464233859172354,0.0436577068910506
"3x18",0.836216891116097,0.0882955149377545,0.0754875939461481
"3x19",0.82327354217147,0.0712694614159167,0.105456996412614
"3x20",0.732274673356349,0.220793632492003,0.0469316941516476
"3x21",0.47863033869912,0.403811724142676,0.117557937158204
"3x22",0.824142098399139,0.158952819267494,0.0169050823333676
"3x23",0.739221669641837,0.186969001395383,0.0738093289627803
"3x24",0.44639272417672,0.438353420654265,0.115253855169015
"3x25",0.279241475647771,0.580025622189158,0.140732902163071
"3x26",0.345590348355912,0.496559307082712,0.157850344561376
"3x27",0.420672634147373,0.327490828689306,0.251836537163321
"3x28",0.337276803325148,0.313887543005502,0.34883565366935
