,Cancer,Ductal,Macrophages,Mast,Monocytes,mDCs
0x40,0.286575,0.44094104,0.036096215,0.04284076,0.00413937,0.1894076
0x41,0.16323806,0.3571964,0.04936805,0.00045408995,0.08889296,0.34085044
0x42,0.13811214,0.30988201,0.067843355,0.11087501,0.037798367,0.33548912
0x43,0.27496174,0.43193507,0.03451327,0.00023295231,0.022826103,0.23553084
0x44,0.1179047,0.561538,0.015017628,0.07465614,0.008213004,0.22267053
0x45,0.31251854,0.32697755,0.06284704,0.00032279943,0.041284394,0.25604975
0x46,0.28046465,0.35024858,0.037222043,0.08014444,0.0068336762,0.24508652
0x47,0.23913538,0.41713724,0.03366492,0.00040259043,0.032768488,0.27689132
0x48,0.2549077,0.2602271,0.037120383,0.00027116504,0.06548072,0.38199288
0x49,0.3675031,0.38517392,0.04809362,0.00017549383,0.010605686,0.18844818
1x0,0.47808275,0.49083203,0.005384374,0.0001223844,0.0024815507,0.02309701
1x1,0.4694662,0.47252846,0.012881077,0.00013444647,0.0009625352,0.0440272
1x2,0.42899033,0.402717,0.01840204,0.00015737514,0.000809619,0.14892358
1x3,0.4303114,0.3618983,0.0021610702,0.00015730583,0.0010746431,0.20439726
1x4,0.5702616,0.4280631,0.0004674061,0.00026657135,0.00026423164,0.00067715166
1x5,0.5318274,0.4176925,0.0063134586,0.0325879,0.010848336,0.0007305975
1x6,0.5664096,0.4314919,0.00078514416,8.2968996e-05,0.0002983109,0.0009320419
1x7,0.49783182,0.5004875,0.0004468077,0.00014811568,0.00017172043,0.00091400277
1x8,0.4683174,0.529881,0.0007513364,0.00010609596,0.00023629486,0.0007079792
1x9,0.58243877,0.41110224,0.0048788316,0.0002153148,0.00042473775,0.00094003085
1x11,0.46235356,0.4808773,0.0026623118,0.00012152901,0.0015452262,0.05244008
1x12,0.35789558,0.59399444,0.0010663125,0.00013525125,0.00041726997,0.04649118
1x13,0.5378532,0.35854575,0.0016269702,0.00015448892,0.0012006862,0.10061892
1x14,0.47808704,0.47441244,0.006659153,0.0001857559,0.03920524,0.0014504244
1x15,0.46498135,0.533079,0.0007669492,0.00010031774,0.00033537828,0.0007369506
1x16,0.4323116,0.34003383,0.009729749,0.11514051,0.0009994025,0.1017849
1x17,0.4402868,0.49393266,0.0008616076,0.00014473243,0.00031737896,0.06445678
1x18,0.5403462,0.35134262,0.003932677,0.00021512895,0.0012969567,0.10286634
1x19,0.5254274,0.3422179,0.0052569034,0.00017479605,0.0015226756,0.12540035
1x20,0.38652435,0.3476371,0.019175356,0.00016130532,0.0027691475,0.24373269
1x21,0.41542083,0.46311027,0.036400985,0.038007233,0.026191615,0.020869099
1x22,0.34862655,0.41582575,0.005185825,0.07370388,0.0007480399,0.15590997
1x23,0.51145864,0.21552126,0.014703799,0.00017592526,0.0026006857,0.25553975
1x24,0.38259897,0.40136126,0.038103666,0.000176238,0.0029149654,0.17484488
1x25,0.4077806,0.25619835,0.022326197,0.00066709757,0.00590578,0.30712205
1x26,0.38146287,0.39888948,0.015977085,0.00013830731,0.11521863,0.08831362
1x27,0.26217848,0.4480632,0.012089909,0.00016565138,0.008536362,0.26896647
1x28,0.2906835,0.48515204,0.038183723,0.0002712511,0.032310493,0.15339899
1x29,0.20440538,0.45579383,0.060825422,0.00054412923,0.082388274,0.19604288
1x30,0.2914461,0.28698236,0.0369109,0.06279159,0.0033734257,0.31849554
1x31,0.32716137,0.3485192,0.019238425,0.00022801096,0.07153586,0.23331712
1x32,0.27030954,0.3863059,0.028716944,0.0002629881,0.00880593,0.30559868
1x33,0.35130167,0.28266144,0.01566743,0.00019356828,0.001404394,0.3487715
1x34,0.25327432,0.39751592,0.027666038,0.09815047,0.010144509,0.21324886
1x35,0.29201466,0.29000017,0.070013486,0.0008992925,0.015449405,0.33162302
1x36,0.29682538,0.42477646,0.05394869,0.056572977,0.008315841,0.15956056
1x37,0.25413373,0.39309627,0.05682979,0.06395371,0.04920362,0.1827829
1x38,0.27722386,0.35834742,0.016464174,0.00022061697,0.026607644,0.32113627
1x39,0.43210056,0.30729127,0.021284595,0.0741599,0.051705435,0.113458246
1x40,0.17621303,0.29622155,0.025489435,0.09934997,0.0025181915,0.4002078
1x41,0.24500823,0.25404924,0.07825432,0.00022954341,0.01625415,0.40620452
1x42,0.23353915,0.40559065,0.013416537,0.00024625813,0.004986378,0.34222102
1x43,0.1573083,0.28084,0.06204952,0.00032213482,0.039486382,0.45999372
1x44,0.08506155,0.39584157,0.028887298,0.0002643583,0.0016366411,0.4883085
1x45,0.30641055,0.27455562,0.01577062,0.03137887,0.0059954566,0.3658889
1x46,0.25385728,0.45347172,0.059235055,0.066779785,0.08105489,0.0856013
1x47,0.25845373,0.2984093,0.07687971,0.0010697832,0.023626842,0.34156054
1x48,0.17263575,0.62412685,0.01177415,0.00020729193,0.0032976056,0.18795834
1x49,0.3671884,0.2984005,0.0071205636,0.07068817,0.002725198,0.2538772
2x0,0.64260405,0.2769237,0.0021273452,0.00017856447,0.000687922,0.0774785
2x1,0.45000386,0.43575326,0.0027109603,0.00012290075,0.002268519,0.109140456
2x2,0.4869725,0.4673787,0.03294487,0.00017016465,0.0010394695,0.011494312
2x3,0.51872104,0.47964552,0.0002672976,0.0001716604,0.00012736878,0.0010670734
2x4,0.541893,0.4562031,0.00059345784,9.8950615e-05,0.00041461282,0.00079685985
2x5,0.34436595,0.528791,0.0012421998,0.00015584932,0.0010699579,0.12437509
2x7,0.4894223,0.50961417,0.0002991199,8.2426326e-05,0.00014560389,0.00043640917
2x8,0.5233695,0.4618667,0.002565828,8.393941e-05,0.008631087,0.0034829052
2x9,0.4981042,0.4992462,0.0003887884,0.0001067245,0.00019748452,0.0019565262
2x10,0.54555786,0.45206213,0.00091832987,0.00010656953,0.00021579048,0.0011393424
2x11,0.48339593,0.5147255,0.0009883365,4.8870483e-05,0.00029863292,0.0005428673
2x12,0.574071,0.42356974,0.0014728038,7.0319664e-05,0.00018010307,0.00063599093
2x14,0.509273,0.48848993,0.0005841102,0.00015741377,0.0010223705,0.0004732553
2x15,0.5242765,0.47394302,0.00067936134,0.00012268934,0.00021424361,0.00076421286
2x16,0.44406006,0.304417,0.019358916,0.0003826743,0.015245943,0.21653537
2x17,0.5918641,0.32194814,0.0010821697,0.0001805885,0.0006433493,0.08428161
2x18,0.47875047,0.27517998,0.004768941,0.0004226066,0.0021205484,0.23875734
2x19,0.3249051,0.53970134,0.014356929,0.0001855408,0.004627812,0.116223365
2x20,0.5180556,0.3330476,0.010315025,0.0010155417,0.0029166683,0.13464947
2x21,0.40904686,0.38409784,0.01454158,0.1022122,0.001814988,0.08828649
2x22,0.3597443,0.5170972,0.017506285,0.00014378977,0.01500604,0.09050236
2x23,0.39357704,0.3521963,0.022876194,0.00047143368,0.006612735,0.22426628
2x24,0.5321715,0.27446297,0.0026205324,0.06732331,0.0015322147,0.12188946
2x25,0.2965388,0.47534856,0.0067767026,0.0009972097,0.0037979777,0.2165407
2x26,0.43484652,0.3627621,0.003470675,0.052438263,0.0019497775,0.14453259
2x27,0.3379512,0.34083095,0.06863294,0.00025941595,0.045814596,0.20651087
2x28,0.2093946,0.24512132,0.07801618,0.20406011,0.014122783,0.24928507
2x29,0.34039366,0.46279436,0.0053679436,0.00018293384,0.0047267517,0.18653435
2x30,0.2954399,0.46124536,0.05390266,0.049962837,0.056163836,0.08328556
2x31,0.3010316,0.30233768,0.012617256,0.0007210426,0.0134611605,0.36983123
2x32,0.25913432,0.46912217,0.041577764,0.00024878286,0.059110593,0.17080635
2x33,0.26864624,0.36557606,0.056470618,0.09599898,0.008145155,0.20516293
2x34,0.2794282,0.46086502,0.00271274,0.040379003,0.0009446158,0.2156703
2x35,0.35619146,0.41481376,0.023389911,0.00015442872,0.0152238,0.19022657
