"","Cancer","Ductal","Stroma","coordX","coordY"
"0x0",0.399343749760422,0.355217021889663,0.245439228349915,0,0
"0x1",0.344747247407478,0.233838389029006,0.421414363563516,0,1
"0x2",0.431973937020776,0.330830762295407,0.237195300683817,0,2
"0x3",0.316487231757179,0.266997601005487,0.416515167237334,0,3
"0x4",0.399329534508355,0.278252602315285,0.32241786317636,0,4
"0x5",0.488765139703124,0.320467826875444,0.190767033421432,0,5
"0x6",0.433031067601728,0.340144472049285,0.226824460348987,0,6
"0x7",0.40175011447338,0.348941732378854,0.249308153147766,0,7
"0x8",0.412988684768655,0.35685069996986,0.230160615261485,0,8
"0x9",0.480708101326315,0.338593493149461,0.180698405524224,0,9
"0x10",0.521889645081139,0.284251217735961,0.1938591371829,0,10
"0x11",0.462211492092601,0.365886578528104,0.171901929379296,0,11
"0x12",0.505379820317169,0.303899765821583,0.190720413861249,0,12
"0x13",0.488991384834099,0.355710229088819,0.155298386077083,0,13
"0x14",0.479437399755742,0.354559028251701,0.166003571992557,0,14
"0x15",0.430321979712004,0.32298008703205,0.246697933255946,0,15
"0x16",0.427654255638367,0.368170326566219,0.204175417795414,0,16
"0x17",0.403671298256105,0.363977023782557,0.232351677961339,0,17
"0x18",0.325263617125552,0.322074177330481,0.352662205543967,0,18
"0x19",0.391576731890458,0.34247104211951,0.265952225990032,0,19
"0x20",0.353545224068167,0.339042314250826,0.307412461681007,0,20
"0x21",0.408968403369082,0.222941058850505,0.368090537780414,0,21
"0x22",0.314147853010285,0.341836972777597,0.344015174212118,0,22
"0x23",0.296841853403886,0.27949415471258,0.423663991883534,0,23
"0x24",0.337477136418616,0.337767557968016,0.324755305613367,0,24
"0x25",0.348770730097845,0.258554410610862,0.392674859291293,0,25
"0x26",0.386699202656832,0.294055140691273,0.319245656651895,0,26
"0x27",0.357753666988164,0.234575038043755,0.407671294968081,0,27
"0x28",0.209596563473273,0.264091963218228,0.526311473308499,0,28
"0x29",0.297693148047468,0.209538926648505,0.492767925304027,0,29
"0x30",0.304354396343658,0.273689616822174,0.421955986834168,0,30
"0x31",0.336011154727828,0.307944509394872,0.3560443358773,0,31
"0x32",0.245704754671598,0.242813441044132,0.51148180428427,0,32
"0x33",0.354858418318012,0.305247889323057,0.33989369235893,0,33
"0x34",0.26879845215887,0.236798669029149,0.494402878811981,0,34
"0x35",0.294507203218889,0.165037596121309,0.540455200659801,0,35
"0x36",0.255209364926025,0.286776927450835,0.458013707623139,0,36
"0x37",0.23156983316623,0.252486021393121,0.515944145440649,0,37
"0x38",0.31584248784681,0.236721015061916,0.447436497091274,0,38
"0x39",0.200901004517262,0.341344636981303,0.457754358501435,0,39
"0x40",0.278935713483465,0.319398308198743,0.401665978317792,0,40
"0x41",0.212645709464129,0.194501927546918,0.592852362988953,0,41
"0x42",0.177333156927099,0.218996020999806,0.603670822073094,0,42
"0x43",0.287821857688029,0.305278480067552,0.406899662244418,0,43
"0x44",0.247064977978331,0.331417371750091,0.421517650271578,0,44
"0x45",0.294116984333477,0.231558314825327,0.474324700841196,0,45
"0x46",0.279816867261367,0.248819344339036,0.471363788399597,0,46
"0x47",0.262265744522897,0.250220362143463,0.48751389333364,0,47
"0x48",0.220966912485936,0.186519721497846,0.592513366016218,0,48
"0x49",0.344412690105758,0.251524556518945,0.404062753375297,0,49
"1x0",0.453029992185671,0.343682791270526,0.203287216543803,1,0
"1x1",0.438890319904344,0.334738160842658,0.226371519252999,1,1
"1x2",0.402411955562445,0.270752934725626,0.326835109711929,1,2
"1x3",0.378546195474471,0.276569207931772,0.344884596593758,1,3
"1x4",0.520901100246574,0.295207238153528,0.183891661599898,1,4
"1x5",0.465106703023175,0.304126407624144,0.230766889352681,1,5
"1x6",0.481611248161315,0.317984637497314,0.20040411434137,1,6
"1x7",0.457701351058607,0.355896242004719,0.186402406936675,1,7
"1x8",0.441638797469749,0.393817852949448,0.164543349580803,1,8
"1x9",0.499300625798801,0.305971790022047,0.194727584179152,1,9
"1x10",0.47725672920608,0.343687665804446,0.179055604989475,1,10
"1x11",0.436418581808668,0.329034602153312,0.23454681603802,1,11
"1x12",0.35133402486391,0.415153779355947,0.233512195780143,1,12
"1x13",0.450536232883262,0.280464614984168,0.26899915213257,1,13
"1x14",0.412244336817037,0.32900333073871,0.258752332444254,1,14
"1x15",0.432182350154465,0.369727743296998,0.198089906548537,1,15
"1x16",0.386652399150124,0.264156384250309,0.349191216599567,1,16
"1x17",0.433593322450034,0.348155171584582,0.218251505965384,1,17
"1x18",0.451416154828001,0.263379214758578,0.285204630413421,1,18
"1x19",0.440308956654527,0.270293187637734,0.289397855707738,1,19
"1x20",0.332846311706174,0.276638996740968,0.390514691552858,1,20
"1x21",0.41589975278635,0.292596655694779,0.29150359151887,1,21
"1x22",0.332239829153322,0.319117323216711,0.348642847629968,1,22
"1x23",0.400789234756109,0.180670890065548,0.418539875178344,1,23
"1x24",0.322702516315464,0.308482372839974,0.368815110844562,1,24
"1x25",0.34503847021944,0.226350235044175,0.428611294736385,1,25
"1x26",0.312270250545412,0.248139874962152,0.439589874492436,1,26
"1x27",0.2710866570079,0.312973282178084,0.415940060814015,1,27
"1x28",0.300789092629226,0.295428493473992,0.403782413896782,1,28
"1x29",0.242068106549439,0.257336190603541,0.50059570284702,1,29
"1x30",0.274236507677089,0.207390781083358,0.518372711239553,1,30
"1x31",0.270894591893892,0.261665602588381,0.467439805517728,1,31
"1x32",0.278159919691862,0.270726321394365,0.451113758913773,1,32
"1x33",0.316852605145697,0.234348346089212,0.448799048765091,1,33
"1x34",0.282851563752279,0.241494902455411,0.47565353379231,1,34
"1x35",0.298044975878284,0.188429048035034,0.513525976086682,1,35
"1x36",0.311531535832825,0.277347888877776,0.4111205752894,1,36
"1x37",0.258625151452736,0.246756997747328,0.494617850799936,1,37
"1x38",0.252243411022017,0.273749547278138,0.474007041699845,1,38
"1x39",0.336132886955278,0.237554994791661,0.426312118253061,1,39
"1x40",0.211103893970364,0.243428858354754,0.545467247674882,1,40
"1x41",0.238962783188646,0.18576661933215,0.575270597479204,1,41
"1x42",0.263810646790445,0.277031645359058,0.459157707850498,1,42
"1x43",0.196553399750784,0.203841299570439,0.599605300678777,1,43
"1x44",0.192787774184234,0.238529392961886,0.56868283285388,1,44
"1x45",0.282277179653864,0.20532400549824,0.512398814847896,1,45
"1x46",0.244064065753661,0.269895020395321,0.486040913851018,1,46
"1x47",0.251953591301114,0.18820545375931,0.559840954939576,1,47
"1x48",0.270273880520728,0.377948959168743,0.351777160310528,1,48
"1x49",0.330220431297015,0.247229874683795,0.42254969401919,1,49
"2x0",0.524994763295773,0.259335191656494,0.215670045047734,2,0
"2x1",0.396007541593042,0.334683594293473,0.269308864113484,2,1
"2x2",0.436389781894417,0.335649297434488,0.227960920671095,2,2
"2x3",0.448159161491101,0.379845745601222,0.171995092907677,2,3
"2x4",0.491304586338928,0.343778821253921,0.164916592407151,2,4
"2x5",0.344514417623531,0.395188089738998,0.260297492637471,2,5
"2x6",0.440698837345436,0.360236815796353,0.199064346858211,2,6
"2x7",0.443157347469313,0.385933425708653,0.170909226822034,2,7
"2x8",0.471185125890663,0.3031457625258,0.225669111583537,2,8
"2x9",0.455953336916411,0.353968076340452,0.190078586743137,2,9
"2x10",0.47475314961819,0.322657156690989,0.202589693690821,2,10
"2x11",0.455890378803283,0.368345669457753,0.175763951738964,2,11
"2x12",0.505443682960952,0.313252212854332,0.181304104184716,2,12
"2x13",0.478689152689684,0.358392993629266,0.16291785368105,2,13
"2x14",0.462200537187587,0.334389319810158,0.203410143002254,2,14
"2x15",0.505670339371138,0.319438531472672,0.17489112915619,2,15
"2x16",0.401116741970257,0.226918785943469,0.371964472086274,2,16
"2x17",0.484611876155649,0.287794271188778,0.227593852655573,2,17
"2x18",0.387687430282293,0.247269543615649,0.365043026102058,2,18
"2x19",0.342274850586188,0.364003395407935,0.293721754005877,2,19
"2x20",0.412048283551471,0.281349635535334,0.306602080913195,2,20
"2x21",0.374000303566104,0.265585114777699,0.360414581656197,2,21
"2x22",0.358764504613524,0.34670072455359,0.294534770832886,2,22
"2x23",0.350120384508409,0.283022792226482,0.366856823265109,2,23
"2x24",0.406173134462098,0.244229280340647,0.349597585197255,2,24
"2x25",0.304446386038342,0.325320180117616,0.370233433844042,2,25
"2x26",0.370475490365733,0.265992296525323,0.363532213108944,2,26
"2x27",0.26845960751897,0.218872836052645,0.512667556428385,2,27
"2x28",0.219150007577714,0.168230650981104,0.612619341441182,2,28
"2x29",0.339739529267444,0.328609849467151,0.331650621265406,2,29
"2x30",0.299249716974057,0.285750934851063,0.414999348174881,2,30
"2x31",0.298590320254442,0.209983776080438,0.49142590366512,2,31
"2x32",0.279526364785905,0.278642322701744,0.441831312512351,2,32
"2x33",0.295747069945049,0.239126490268853,0.465126439786097,2,33
"2x34",0.317227829288946,0.333362967243781,0.349409203467273,2,34
"2x35",0.334763568736364,0.298993520055677,0.366242911207958,2,35
"2x36",0.201510148474029,0.238816166394497,0.559673685131474,2,36
"2x37",0.308759563786815,0.351982927966414,0.339257508246771,2,37
"2x38",0.294921739261496,0.158452359910297,0.546625900828207,2,38
"2x39",0.213926938660544,0.357585752853775,0.428487308485682,2,39
"2x40",0.243623515941255,0.245018961998595,0.511357522060151,2,40
"2x41",0.268376137570421,0.324258290718888,0.407365571710692,2,41
"2x42",0.273094103831283,0.242898748612178,0.484007147556539,2,42
"2x43",0.212010098603317,0.19856165363192,0.589428247764763,2,43
"2x44",0.239943547524982,0.371026173463074,0.389030279011944,2,44
"2x45",0.259923685759216,0.279869430488535,0.460206883752248,2,45
"2x46",0.221469512634641,0.198236417089224,0.580294070276134,2,46
"2x47",0.237137963463071,0.166253891859844,0.596608144677085,2,47
"2x48",0.246710711974544,0.283627463176052,0.469661824849404,2,48
"2x49",0.258480302216668,0.286824687410935,0.454695010372398,2,49
"3x0",0.420149786587817,0.314037905140121,0.265812308272062,3,0
"3x1",0.500326622229547,0.328379486404427,0.171293891366026,3,1
"3x2",0.456266502937623,0.386198879891614,0.157534617170763,3,2
"3x3",0.454211009202745,0.371373337769058,0.174415653028197,3,3
"3x4",0.497089872564068,0.31470803933527,0.188202088100662,3,4
"3x5",0.487662021006,0.334124772610651,0.178213206383349,3,5
"3x6",0.480214357455545,0.327468231726284,0.192317410818171,3,6
"3x7",0.473464038873519,0.329062946415686,0.197473014710796,3,7
"3x8",0.46165088638329,0.341386336601284,0.196962777015427,3,8
"3x9",0.426525072576545,0.392935874006226,0.180539053417229,3,9
"3x10",0.485408166903753,0.325757772457451,0.188834060638796,3,10
"3x11",0.501830771604881,0.329611451578004,0.168557776817116,3,11
"3x12",0.43737401274073,0.36671266322958,0.195913324029691,3,12
"3x13",0.482727465880387,0.367890749822967,0.149381784296646,3,13
"3x14",0.482266651422336,0.330377165203437,0.187356183374227,3,14
"3x15",0.470186163048732,0.334144971309309,0.195668865641959,3,15
"3x16",0.456183508027503,0.308770831648915,0.235045660323583,3,16
"3x17",0.470868396140976,0.363432346915642,0.165699256943383,3,17
"3x18",0.474429496457449,0.263979623047275,0.261590880495276,3,18
"3x19",0.433098851778052,0.316139501141127,0.250761647080821,3,19
"3x20",0.368023489799266,0.235127595126726,0.396848915074008,3,20
"3x21",0.319497267080241,0.256710397719272,0.423792335200487,3,21
"3x22",0.43159061482667,0.245023155976692,0.323386229196638,3,22
