"","Ductal","Cancer","Stroma","coordX","coordY"
"0x0",0.166984295666518,0.606991316780299,0.226024387553182,0,0
"0x1",0.123780147443593,0.48938105189205,0.386838800664358,0,1
"0x2",0.194305601452571,0.595317378386576,0.210377020160852,0,2
"0x3",0.0959408985110422,0.513873014326968,0.39018608716199,0,3
"0x4",0.114912328220376,0.628721734743785,0.25636593703584,0,4
"0x5",0.220832726031883,0.606494420583524,0.172672853384592,0,5
"0x6",0.214157429923365,0.57225512578905,0.213587444287585,0,6
"0x7",0.162162006419523,0.622075146129515,0.215762847450962,0,7
"0x8",0.153737994692694,0.697660215156057,0.14860179015125,0,8
"0x9",0.14157241326049,0.727364014464386,0.131063572275124,0,9
"0x10",0.135533181159389,0.716723413719465,0.147743405121146,0,10
"0x11",0.260400806135542,0.618470820900933,0.121128372963525,0,11
"0x12",0.217532059742748,0.636392258514525,0.146075681742727,0,12
"0x13",0.22847981586548,0.65144295436068,0.12007722977384,0,13
"0x14",0.227057583888418,0.65287724998964,0.120065166121942,0,14
"0x15",0.132940598270568,0.667238199649313,0.199821202080119,0,15
"0x16",0.249957594390576,0.592614456336597,0.157427949272827,0,16
"0x17",0.231257658023071,0.559893667083969,0.20884867489296,0,17
"0x18",0.267025837615429,0.449767215355016,0.283206947029555,0,18
"0x19",0.130332560064464,0.598720386447707,0.270947053487829,0,19
"0x20",0.170508798647988,0.588475963650836,0.241015237701176,0,20
"0x21",0.0908381936436721,0.529655358547652,0.379506447808676,0,21
"0x22",0.233877359890061,0.468849477119721,0.297273162990218,0,22
"0x23",0.252502098543568,0.322373555386597,0.425124346069836,0,23
"0x24",0.212014542133319,0.500256288269759,0.287729169596923,0,24
"0x25",0.213404642976331,0.412082961635512,0.374512395388157,0,25
"0x26",0.208364129300711,0.494492994427983,0.297142876271307,0,26
"0x27",0.167384745810262,0.431440168779087,0.401175085410651,0,27
"0x28",0.157269746095599,0.287420178106464,0.555310075797937,0,28
"0x29",0.158894206009127,0.343957488439934,0.497148305550939,0,29
"0x30",0.239666553771802,0.367409952270879,0.392923493957319,0,30
"0x31",0.202481014539402,0.444627508461151,0.352891476999447,0,31
"0x32",0.101445600101121,0.399430192328287,0.499124207570592,0,32
"0x33",0.176467149620874,0.505618635103182,0.317914215275945,0,33
"0x34",0.152397515795549,0.350697854232842,0.496904629971608,0,34
"0x35",0.136663771854846,0.300318172751264,0.56301805539389,0,35
