"","Cancer","Stroma","Ductal"
"0x0",0.7180818433251,0.212727473003542,0.0691906836713582
"0x1",0.630699949681663,0.311373986447701,0.0579260638706362
"0x2",0.79411957802332,0.064243643763855,0.141636778212825
"0x3",0.663458573444457,0.333885899884713,0.00265552667083093
"0x4",0.837908168311559,0.129403565752367,0.0326882659360732
"0x5",0.845944780064645,0.0880175556884844,0.0660376642468706
"0x6",0.849743603611088,0.0524217370319132,0.0978346593569991
"0x7",0.81507633586442,0.0891775335843924,0.0957461305511874
"0x8",0.899634067857187,0,0.100365932142813
"0x9",0.868122091791033,0.0269568125265295,0.104921095682438
"0x10",0.882885574780459,0.112075135889728,0.00503928932981334
"0x11",0.879947396918669,0.0060117793680808,0.11404082371325
"0x12",0.870070805454478,0.0284270437947757,0.101502150750746
"0x13",0.816216182291987,0.0113357964124836,0.17244802129553
"0x14",0.888902417269133,0.00351001235313835,0.107587570377728
"0x15",0.856404627551757,0.0806000063115585,0.0629953661366848
"0x16",0.854771394423184,0.0457148936007018,0.0995137119761141
"0x17",0.768757483450124,0.0995072963068786,0.131735220242997
"0x18",0.573235160373678,0.135532452531964,0.291232387094358
"0x19",0.832991783982954,0.117877453260981,0.0491307627560646
"0x20",0.816667904710593,0.134540632358082,0.0487914629313247
"0x21",0.689834098575843,0.277804095158518,0.0323618062656396
"0x22",0.666040476614419,0.122945668845007,0.211013854540574
"0x23",0.421311502196276,0.322106829573416,0.256581668230308
"0x24",0.767041908405771,0.107262993808477,0.125695097785752
"0x25",0.369000389843934,0.287271211532042,0.343728398624024
"0x26",0.638572714276012,0.227002872898713,0.134424412825275
"0x27",0.581195565902407,0.323177817455701,0.0956266166418922
"0x28",0.445962066237933,0.443911199013462,0.110126734748605
"0x29",0.313904768245218,0.411826069490654,0.274269162264128
"0x30",0.399222665682501,0.233306596707209,0.36747073761029
"0x31",0.649149472260276,0.280400295669621,0.0704502320701029
"0x32",0.38214567374375,0.489973536265893,0.127880789990356
"0x33",0.736145112936868,0.19691467893232,0.0669402081308127
"0x34",0.494845120553271,0.42296037910738,0.0821945003393493
"0x35",0.345010292566599,0.611152302783157,0.0438374046502441
"0x36",0.497090515223041,0.390640009675366,0.112269475101593
"0x37",0.364887220210907,0.396180500480288,0.238932279308805
"0x38",0.435395034491616,0.277619877553833,0.286985087954551
"0x39",0.21453424429331,0.442482593493377,0.342983162213313
"0x40",0.538724259894451,0.281304966360755,0.179970773744793
"0x41",0.175425310524698,0.571963566558423,0.25261112291688
"0x42",0.301777021362256,0.529493621124532,0.168729357513212
"0x43",0.430646054533505,0.350004297918777,0.219349647547718
"0x44",0.147957246765577,0.344994198173894,0.507048555060529
"0x45",0.493491849088109,0.346553875079706,0.159954275832186
"0x46",0.364955274077076,0.368339149369934,0.26670557655299
"0x47",0.193263119932725,0.423091440297285,0.38364543976999
"0x48",0.384949583384722,0.380741408429422,0.234309008185856
"0x49",0.413311645156254,0.26462012566096,0.322068229182786
"1x0",0.839074630298974,0.0579143922196919,0.103010977481334
"1x1",0.707705294025042,0.0546544930307909,0.237640212944167
"1x2",0.818313828982885,0.148349116158544,0.0333370548585713
"1x3",0.701193984378906,0.186877189607976,0.111928826013117
"1x4",0.900330555929553,0,0.0996694440704473
"1x5",0.94237490671993,0.0533938195982004,0.00423127368186964
"1x6",0.891082748137014,0.0460055208969439,0.0629117309660419
"1x7",0.937280408520356,0.0262631485035951,0.0364564429760486
"1x8",0.826839132857633,0.0130087308725853,0.160152136269782
"1x9",0.88493044316088,0,0.11506955683912
"1x10",0.40167233820242,0.586851562741371,0.0114760990562087
"1x11",0.834299612129104,0.0453303882286787,0.120369999642217
"1x12",0.696603383580187,0.0550967168684959,0.248299899551317
"1x13",0.865714197692885,0.0994113379382022,0.0348744643689127
"1x14",0.8665241915355,0.0595251905561519,0.0739506179083476
"1x15",0.811794380155679,0.0295522093196202,0.1586534105247
"1x16",0.669431408145267,0.249093886807175,0.0814747050475572
"1x17",0.83348789930354,0.0763303770880779,0.0901817236083822
"1x18",0.775627883790294,0.11951447702256,0.104857639187146
"1x19",0.773767564476242,0.143870978589678,0.0823614569340805
"1x20",0.61609597488667,0.278635354976884,0.105268670136445
"1x21",0.597356086052207,0.13173227178025,0.270911642167542
"1x22",0.574231041134917,0.256805387684921,0.168963571180162
"1x23",0.659674902804009,0.308432197918424,0.0318928992775674
"1x24",0.744013268083885,0.248924266831981,0.00706246508413384
"1x25",0.643333442334535,0.314697428425744,0.0419691292397204
"1x26",0.661931762335501,0.216608485568927,0.121459752095572
"1x27",0.435275474166607,0.376998120995549,0.187726404837844
"1x28",0.55185687986552,0.241361827426618,0.206781292707862
"1x29",0.0797393759995443,0.385791631154164,0.534468992846292
"1x30",0.395342604034585,0.430745394269748,0.173912001695667
"1x31",0.553412794324634,0.360147514608934,0.086439691066432
"1x32",0.337830687115474,0.389720825544497,0.272448487340029
"1x33",0.499062290927273,0.407065460282832,0.0938722487898947
"1x34",0.379168685371838,0.413200150391822,0.207631164236339
"1x35",0.417376372948766,0.415121272469839,0.167502354581395
"1x36",0.563316619025904,0.276786529560063,0.159896851414032
"1x37",0.288245784691673,0.388580417418149,0.323173797890177
"1x38",0.422122307363763,0.331391187265526,0.246486505370712
"1x39",0.674191277630993,0.254354423040201,0.0714542993288053
"1x40",0.350509348119727,0.574897243421164,0.074593408459109
"1x41",0.282979726142242,0.602997913946497,0.11402235991126
