,cell type,MAPE,MAE,r,KL,reference,method,grp
Ductal,Ductal,23.07148062548764,8.473513959279792,0.9639964361674616,0.07640733009225342,Internal,music,music_Internal
mDCs,mDCs,27.824509006387338,3.5968124470134546,0.9358435144226994,0.10013601039531024,Internal,music,music_Internal
Monocytes,Monocytes,69.28256408434098,3.4809099808508113,0.8688724600670241,0.29661031010424843,Internal,music,music_Internal
Mast,Mast,120.76911837249502,4.865251027590613,0.8315171246664651,0.6331307794466854,Internal,music,music_Internal
Macrophages,Macrophages,49.471798612996544,5.638410825253467,0.8592760932853387,0.3314553079171195,Internal,music,music_Internal
Cancer,Cancer,57.46166357319842,17.178738941843402,0.8677201041277323,0.2876242777606896,External,music,music_External
Ductal,Ductal,44.34829253097621,16.28789594961281,0.8601753996892445,0.20314227287388098,External,music,music_External
mDCs,mDCs,55.52367977078164,7.177422698013898,0.8448070799568395,0.20795765841822128,External,music,music_External
Monocytes,Monocytes,93.21367834240706,4.683262341429958,0.5912790780289005,0.9239120574056765,External,music,music_External
Mast,Mast,212.62139319567126,8.565570947883835,0.8496915756861292,0.6935987167318901,External,music,music_External
Macrophages,Macrophages,92.00483575320615,10.485995585983467,0.29444168671847337,1.0447338164923474,External,music,music_External
Cancer,Cancer,25.716598958350772,7.68823442458855,0.9573364680804521,0.09293803591349736,ReSort,music,music_ReSort
Ductal,Ductal,19.728491498091323,7.245726913596215,0.9618796734545825,0.0649452761895918,ReSort,music,music_ReSort
mDCs,mDCs,55.355650929690114,7.155701983123418,0.8081359531764369,0.24668233897954958,ReSort,music,music_ReSort
Monocytes,Monocytes,92.6953441086144,4.657220077670363,0.5823488361986726,0.8906477829066118,ReSort,music,music_ReSort
Mast,Mast,166.1531988550301,6.693573923207584,0.6659434032514204,0.7124405586935545,ReSort,music,music_ReSort
Macrophages,Macrophages,91.41998572894813,10.419338929052058,0.5964020443855809,0.5832117064206574,ReSort,music,music_ReSort
Cancer,Cancer,39.775919896079245,11.891409012131852,0.9569254180189117,0.10509082877340978,Internal,spotlight,spotlight_Internal
Ductal,Ductal,40.172762372112786,14.75433970921113,0.9641177490293706,0.08412129532565052,Internal,spotlight,spotlight_Internal
mDCs,mDCs,38.59359793656923,4.988908641709334,0.9310261487228217,0.1870097327238689,Internal,spotlight,spotlight_Internal
Monocytes,Monocytes,157.53608590866742,7.914963036242359,0.8747284951118848,0.7171394637765051,Internal,spotlight,spotlight_Internal
Mast,Mast,125.57732399590633,5.058952262355085,0.9219159849307575,0.5590415624925315,Internal,spotlight,spotlight_Internal
Macrophages,Macrophages,61.11345791664593,6.965236606444393,0.8985617575522966,0.32772052403818475,Internal,spotlight,spotlight_Internal
Cancer,Cancer,63.58969522125532,19.01077528334649,0.764594961151176,0.3261055125815479,External,spotlight,spotlight_External
Ductal,Ductal,54.303892794436535,19.944311381930024,0.8313443923227039,0.2261871512257899,External,spotlight,spotlight_External
mDCs,mDCs,55.71577894443449,7.202254931304947,0.827103471018291,0.2618501819939477,External,spotlight,spotlight_External
Monocytes,Monocytes,175.88517701307669,8.836862149085892,0.7494934652931915,0.7662811204723037,External,spotlight,spotlight_External
Mast,Mast,146.42517831876398,5.8988196558926935,0.859496166622827,0.7845908009492942,External,spotlight,spotlight_External
Macrophages,Macrophages,87.72034948865425,9.997683165331898,0.3934711649586398,0.6434127286486027,External,spotlight,spotlight_External
Cancer,Cancer,35.04615363729073,10.477398091404437,0.9659694675333418,0.1350623706895395,ReSort,spotlight,spotlight_ReSort
Ductal,Ductal,30.529297127333603,11.212562798838317,0.968263298307192,0.10875191795435638,ReSort,spotlight,spotlight_ReSort
mDCs,mDCs,55.654762652622125,7.1943674908541215,0.8276093843493548,0.29833412602179826,ReSort,spotlight,spotlight_ReSort
Monocytes,Monocytes,107.11901686894487,5.3818974497555,0.6839125288195185,0.661520714328811,ReSort,spotlight,spotlight_ReSort
Mast,Mast,115.58919382642034,4.656574889516135,0.8018829683293178,0.7439327311870143,ReSort,spotlight,spotlight_ReSort
Macrophages,Macrophages,70.67420817849852,8.054896559899428,0.7580983679410874,0.35682322610424744,ReSort,spotlight,spotlight_ReSort
