"","cell_ID","Ductal","Cancer","Stroma"
"1","6x14",0,0.329967038977283,0.670032961022717
"2","3x8",0,0.57358429536322,0.42641570463678
"3","16x11",0,0.76659002086604,0.23340997913396
"4","2x6",0,0.674287831487069,0.325712168512931
"5","3x12",0,1,0
"6","16x15",0,0.352575733505389,0.64742426649461
"7","5x6",0,0.674229413253328,0.325770586746672
"8","9x13",0,0.173194141219704,0.826805858780296
"9","15x15",0,0,1
"10","2x13",0,0.165997862729241,0.834002137270759
"11","10x10",0,1,0
"12","7x4",0,0.346524647953151,0.653475352046849
"13","8x16",0,0.565994926816578,0.434005073183422
"14","16x16",0,0.446549003184605,0.553450996815395
"15","6x6",0,0.649183183325766,0.350816816674234
"16","0x10",0,0.712023564660673,0.287976435339327
"17","7x12",0,0.59827074891831,0.40172925108169
"18","12x7",0,0.491553146751478,0.508446853248522
"19","6x18",0,0.436692892552368,0.563307107447632
"20","3x14",0,0.491917413519779,0.508082586480221
"21","15x11",0,0.212736779531105,0.787263220468896
"22","7x3",0,0.256930603909499,0.743069396090501
"23","9x16",0,0.379382708634358,0.620617291365642
"24","1x10",0,0,1
"25","17x5",0,0.629488168832092,0.370511831167907
"26","9x6",0,1,0
"27","6x7",0,0.552235551365907,0.447764448634093
"28","0x0",0,0.807617835414788,0.192382164585212
"29","0x1",0,0.592881464942594,0.407118535057406
"30","0x2",0,0.875652734546831,0.124347265453169
"31","0x3",0,0.628727432885029,0.371272567114971
"32","0x4",0,0.820363350946807,0.179636649053193
"33","0x5",0,1,0
"34","0x6",0.177765043354039,0.685377033804918,0.136857922841043
"35","0x7",0,0.850842969347209,0.149157030652791
"36","0x8",0,1,0
"37","0x9",0,1,0
"38","0x11",0.140474821376182,0.859525178623818,0
"39","0x12",0,1,0
"40","0x13",0.158043476144542,0.841956523855458,0
"41","0x14",0,1,0
"42","0x15",0,0.893207009243044,0.106792990756956
"43","0x16",0,0.76738226819734,0.23261773180266
"44","0x17",0.216725985298028,0.6273317649301,0.155942249771873
"45","0x18",0.337733864794328,0.513151576878296,0.149114558327377
"46","0x19",0,0.8312033747073,0.1687966252927
"47","0x20",0,0.799166466689482,0.200833533310518
"48","0x21",0,0.677702011426736,0.322297988573264
"49","0x22",0.128552051403352,0.595380133755752,0.276067814840896
"50","0x23",0.310883114409192,0.29385844866156,0.395258436929249
"51","0x24",0.222391327960395,0.517858207242429,0.259750464797176
"52","0x25",0.253994787662241,0.415795930118245,0.330209282219514
"53","0x26",0.139758541613348,0.447369689716196,0.412871768670456
"54","0x27",0,0.470018504829532,0.529981495170468
"55","0x28",0,0.28818025956894,0.71181974043106
"56","0x29",0.115101943679742,0.340195323216099,0.544702733104159
"57","0x30",0.318817113690236,0.313775760551288,0.367407125758476
"58","0x31",0.138261183272668,0.516647168896588,0.345091647830743
"59","0x32",0,0.455231169375389,0.544768830624611
"60","0x33",0,0.701475511722567,0.298524488277433
"61","0x34",0.100660978415285,0.353020702841249,0.546318318743467
"62","0x35",0,0.256860891086441,0.743139108913559
"63","0x36",0,0.287729616423084,0.712270383576916
"64","0x37",0.198939184407873,0.292162760317829,0.508898055274299
"65","0x38",0.377837127914379,0.259865659243672,0.362297212841949
"66","0x39",0.247147422205641,0.184345737370412,0.568506840423947
"67","0x40",0.200701287921022,0.309623022023371,0.489675690055608
"68","0x41",0.268095244760822,0.10749389210471,0.624410863134468
"69","0x42",0.256663026052448,0,0.743336973947551
"70","0x43",0.256190762081334,0.369695200875126,0.37411403704354
"71","0x44",0.568883699322213,0,0.431116300677787
"72","0x45",0.135371993620946,0.396960186757258,0.467667819621796
"73","0x46",0.301789352071452,0.217900457811088,0.48031019011746
"74","0x47",0.438832163625723,0.100509491398862,0.460658344975415
"75","0x48",0.157901618889085,0.217882436153991,0.624215944956925
"76","0x49",0.437373806269698,0.24272051529965,0.319905678430652
"77","1x0",0,1,0
"78","1x1",0.161327387796534,0.838672612203466,0
"79","1x2",0,0.792443929146381,0.207556070853619
"80","1x3",0.191636725817592,0.516041337302748,0.29232193687966
"81","1x4",0,1,0
"82","1x5",0,1,0
"83","1x6",0,1,0
"84","1x7",0,1,0
"85","1x8",0.161904338308769,0.838095661691231,0
"86","1x9",0,1,0
"87","1x11",0,1,0
"88","1x12",0.31806888317974,0.68193111682026,0
"89","1x13",0,0.868622674200422,0.131377325799578
"90","1x14",0,1,0
"91","1x15",0.0934458174577995,0.906554182542201,0
"92","1x16",0.159546983435807,0.511389421600942,0.329063594963251
"93","1x17",0,0.891758241643214,0.108241758356786
"94","1x18",0,0.857539845599144,0.142460154400856
"95","1x19",0,0.78508031175976,0.21491968824024
"96","1x20",0.111668578114799,0.553679005708099,0.334652416177102
"97","1x21",0.324834990437371,0.441358936146437,0.233806073416192
"98","1x22",0.110098997882778,0.382699089471742,0.50720191264548
"99","1x23",0,0.661665697967538,0.338334302032462
"100","1x24",0,0.738082583132099,0.261917416867901
"101","1x25",0,0.497752395036977,0.502247604963023
"102","1x26",0.103551372941198,0.544643007277461,0.351805619781341
"103","1x27",0.204645082061724,0.321427408268801,0.473927509669474
"104","1x28",0.243433643204078,0.441343014670666,0.315223342125256
"105","1x29",0.449070775505465,0.129411871563947,0.421517352930588
"106","1x30",0,0.398992144645353,0.601007855354647
"107","1x31",0,0.552064064478156,0.447935935521844
"108","1x32",0.262018406810213,0.262563408289365,0.475418184900422
"109","1x33",0,0.499755433989656,0.500244566010344
"110","1x34",0.164936027701629,0.24791055612864,0.587153416169732
"111","1x35",0.248815021870656,0.156140930755238,0.595044047374106
