"","cell_ID","Cancer","Ductal","Stroma"
"1741","34x40",0.166030661203099,0.724544044854964,0.109425293941937
"1742","34x41",0,1,0
"1743","34x42",0,0.769719039365753,0.230280960634247
"1744","34x43",0,1,0
"1745","34x44",0,0.717613930095706,0.282386069904294
"1746","34x45",0.108772725307763,0.771601567649435,0.119625707042802
"1747","34x46",0.134345985368831,0.755174466351262,0.110479548279907
"1748","34x47",0,0.706823340619176,0.293176659380824
"1749","34x48",0.117133499634943,0.613785314167808,0.269081186197249
"1750","34x49",0,0.554050813515647,0.445949186484353
"1751","35x0",0.123035193948192,0.519764084058804,0.357200721993003
"1752","35x1",0.186306428298556,0.257412250907879,0.556281320793566
"1753","35x2",0.14257083357252,0.511098510083479,0.346330656344
"1754","35x3",0.288297221397579,0.510202476690151,0.20150030191227
"1755","35x4",0.226962116367195,0.575151690547709,0.197886193085096
"1756","35x5",0.355486946522724,0.390872562178345,0.253640491298931
"1757","35x6",0.116938258324222,0.511986293654128,0.37107544802165
"1758","35x7",0.214094276048222,0.501349405628747,0.284556318323031
"1759","35x8",0.150796640805673,0.465607608294082,0.383595750900245
"1760","35x9",0,0.795749451861161,0.204250548138839
"1761","35x10",0.182633506219167,0.380092563468369,0.437273930312464
"1762","35x11",0,0.733955568069275,0.266044431930725
"1763","35x12",0.128868230417651,0.656888081838444,0.214243687743905
"1764","35x13",0.111802835627787,0.649115890509076,0.239081273863136
"1765","35x14",0.108812617684774,0.61388091039877,0.277306471916456
"1766","35x15",0.119062226748615,0.880937773251385,0
"1767","35x16",0.132842420622192,0.515178290358289,0.35197928901952
"1768","35x17",0.189124195299973,0.700477739420484,0.110398065279543
"1769","35x18",0,1,0
"1770","35x19",0,1,0
"1771","35x20",0,1,0
"1772","35x21",0.133711728105297,0.866288271894703,0
"1773","35x22",0,1,0
"1774","35x23",0,1,0
"1775","35x24",0.137181406406877,0.862818593593123,0
"1776","35x25",0,1,0
"1777","35x26",0,1,0
"1778","35x27",0,1,0
"1779","35x28",0,1,0
