"","cell_ID","Cancer","Stroma","Ductal"
"1","6x14",0.466054363053251,0.533945636946749,0
"2","3x8",0.649861055281289,0.350138944718711,0
"3","16x11",0.854830620042616,0.145169379957384,0
"4","2x6",0.707655664869338,0.292344335130662,0
"5","3x12",1,0,0
"6","16x15",0.402319859243575,0.597680140756425,0
"7","5x6",0.786678912168046,0.213321087831954,0
"8","9x13",0.175325781436384,0.824674218563616,0
"9","15x15",0,1,0
"10","2x13",0.192422977409734,0.807577022590266,0
"11","10x10",1,0,0
"12","7x4",0.439121321816759,0.560878678183242,0
"13","8x16",0.68294149546423,0.31705850453577,0
"14","16x16",0.552652146570805,0.447347853429195,0
"15","6x6",0.64223022089826,0.35776977910174,0
"16","0x10",0.76450277070877,0.23549722929123,0
"17","7x12",0.702739252685604,0.297260747314396,0
"18","12x7",0.675324120287252,0.324675879712748,0
"19","6x18",0.4696470433038,0.5303529566962,0
"20","3x14",0.615340162203651,0.384659837796349,0
"21","15x11",0.24487277278721,0.75512722721279,0
"22","7x3",0.296797379185281,0.703202620814719,0
"23","9x16",0.389295608031596,0.610704391968404,0
"24","1x10",0,1,0
"25","17x5",0.751348168204798,0.248651831795202,0
"26","9x6",1,0,0
"27","6x7",0.656485283747887,0.343514716252113,0
"28","0x0",0.907742929843285,0.0922570701567153,0
"29","0x1",0.71620367084417,0.28379632915583,0
"30","0x2",1,0,0
"31","0x3",0.739016759850484,0.260983240149516,0
"32","0x4",0.851035144808741,0.148964855191259,0
"33","0x5",1,0,0
"34","0x6",0.85420278686243,0.14579721313757,0
"35","0x7",0.910196597617837,0.0898034023821625,0
"36","0x8",1,0,0
"37","0x9",1,0,0
"38","0x11",1,0,0
"39","0x12",1,0,0
"40","0x13",1,0,0
"41","0x14",1,0,0
"42","0x15",1,0,0
"43","0x16",1,0,0
"44","0x17",0.733484129536272,0.160675360095923,0.105840510367805
"45","0x18",0.662100391639673,0,0.337899608360327
"46","0x19",0.904998641513351,0.0950013584866486,0
"47","0x20",0.873417820018746,0.126582179981254,0
"48","0x21",0.774133674238733,0.225866325761267,0
"49","0x22",0.677815339339966,0.180882189278585,0.141302471381449
"50","0x23",0.609650583555918,0.390349416444082,0
"51","0x24",0.759510686938863,0.240489313061137,0
"52","0x25",0.492755515926056,0.280069099018462,0.227175385055482
"53","0x26",0.689275586912622,0.310724413087378,0
"54","0x27",0.625273467774267,0.374726532225733,0
"55","0x28",0.313431280156938,0.686568719843062,0
"56","0x29",0.466097805018588,0.533902194981412,0
"57","0x30",0.419685349983135,0.320326294242075,0.25998835577479
"58","0x31",0.747925688621284,0.252074311378716,0
"59","0x32",0.558296671542911,0.441703328457089,0
"60","0x33",0.793429282593397,0.206570717406603,0
"61","0x34",0.405698524572707,0.594301475427293,0
"62","0x35",0.302359617782648,0.697640382217352,0
"63","0x36",0.308155200521421,0.571294890921245,0.120549908557333
"64","0x37",0.343194668068093,0.508345148068524,0.148460183863383
"65","0x38",0.295177138326859,0.32641134029678,0.378411521376361
"66","0x39",0.226201678545886,0.522727012168336,0.251071309285778
"67","0x40",0.490535239887866,0.367536496795004,0.141928263317129
"68","0x41",0,0.674705294678107,0.325294705321893
