"","cell_ID","Ductal","Cancer","Stroma"
"1","0x0",0.139842304274855,0.860157695725145,0
"2","0x1",0,0.532418619379018,0.467581380620982
"3","0x2",0,1,0
"4","0x3",0,0.574613601526939,0.425386398473061
"5","0x4",0,1,0
"6","0x5",0,1,0
"7","0x6",0,1,0
"8","0x7",0,0.836151678071962,0.163848321928038
"9","0x8",0,1,0
"10","0x9",0,1,0
"11","0x10",0,0.85210711689975,0.14789288310025
"12","0x11",0.139478068399781,0.860521931600219,0
"13","0x12",0,1,0
"14","0x13",0.158559692736932,0.841440307263068,0
"15","0x14",0,1,0
"16","0x15",0,1,0
"17","0x16",0.126748562621759,0.873251437378241,0
"18","0x17",0.18689624108927,0.703347668098716,0.109756090812013
"19","0x18",0.339984620924322,0.488730443295112,0.171284935780566
"20","0x19",0,0.800029016826335,0.199970983173665
"21","0x20",0,0.756460748885467,0.243539251114533
"22","0x21",0,0.634056893628843,0.365943106371157
"23","0x22",0.1080602751435,0.574491036847891,0.317448688008609
"24","0x23",0.281512849249693,0.293225341651873,0.425261809098434
"25","0x24",0.142169356742564,0.644007592969086,0.21382305028835
"26","0x25",0.218025380781248,0.387450816903107,0.394523802315645
"27","0x26",0.156667304200923,0.528641865124135,0.314690830674942
"28","0x27",0.100557910270044,0.483012787154586,0.416429302575371
"29","0x28",0,0.32456559063706,0.67543440936294
"30","0x29",0,0.367047862161886,0.632952137838114
"31","0x30",0.283230468041597,0.297866180649988,0.418903351308414
"32","0x31",0.111143647036834,0.496556008936885,0.392300344026281
"33","0x32",0,0.411251669324506,0.588748330675494
"34","0x33",0,0.64935712886433,0.35064287113567
"35","0x34",0,0.489531240350512,0.510468759649488
"36","0x35",0,0.310583394715722,0.689416605284279
"37","0x36",0.124074279124657,0.374476756148362,0.501448964726981
"38","0x37",0.188119501034742,0.269932610669246,0.541947888296012
"39","0x38",0.338528693294708,0.220739137448179,0.440732169257114
"40","0x39",0.197093411376973,0.186465473620127,0.616441115002901
"41","0x40",0.203623914874282,0.347191509354212,0.449184575771505
"42","0x41",0.260907449717597,0,0.739092550282404
"43","0x42",0.118674931560057,0.165368004805324,0.715957063634619
"44","0x43",0.228299227963868,0.343077577371817,0.428623194664314
"45","0x44",0.540347176353031,0,0.459652823646969
"46","0x45",0.102841993982015,0.346595668465164,0.550562337552821
"47","0x46",0.217372069753511,0.296460525508965,0.486167404737524
"48","0x47",0.399830151367961,0.100428257834859,0.49974159079718
"49","0x48",0.128721734113466,0.19389755707133,0.677380708815203
"50","0x49",0.41167055953095,0.216609085311308,0.371720355157742
"51","1x0",0.120375139218581,0.879624860781418,0
"52","1x1",0.170174860485345,0.829825139514655,0
"53","1x2",0,0.753612939238709,0.246387060761291
"54","1x3",0.198608773850342,0.470305392813108,0.33108583333655
"55","1x4",0,1,0
"56","1x5",0,1,0
"57","1x6",0,1,0
"58","1x7",0,1,0
"59","1x8",0.16407833332511,0.83592166667489,0
"60","1x9",0,1,0
"61","1x10",0,0.176173458996923,0.823826541003077
"62","1x11",0,0.880695766222709,0.119304233777291
"63","1x12",0.309556434074058,0.690443565925942,0
"64","1x13",0,0.821302772977257,0.178697227022743
"65","1x14",0,1,0
"66","1x15",0,1,0
"67","1x16",0,0.708398725990087,0.291601274009913
"68","1x17",0,0.860878959371307,0.139121040628693
"69","1x18",0,0.826977207618601,0.173022792381399
"70","1x19",0,0.742236951318411,0.257763048681589
"71","1x20",0,0.594313219042655,0.405686780957345
"72","1x21",0.240025309723509,0.515714524209027,0.244260166067465
"73","1x22",0.145745868698336,0.501618083590581,0.352636047711083
"74","1x23",0,0.604337529896881,0.395662470103119
"75","1x24",0,0.681080680774977,0.318919319225023
"76","1x25",0,0.460415046922085,0.539584953077916
"77","1x26",0,0.571013425945368,0.428986574054632
"78","1x27",0.185906396279554,0.290473847631094,0.523619756089352
"79","1x28",0.24150814538846,0.400093196569,0.35839865804254
"80","1x29",0.404249482633954,0.12416487557505,0.471585641790996
"81","1x30",0,0.440580832077519,0.559419167922481
"82","1x31",0,0.499453898597693,0.500546101402307
"83","1x32",0.228549150234835,0.235167696884134,0.536283152881031
"84","1x33",0,0.442022704750406,0.557977295249594
"85","1x34",0.214138479072351,0.310001964083214,0.475859556844434
"86","1x35",0.226483127840084,0.148293096336835,0.625223775823081
"87","1x36",0.168403686248832,0.367952406740704,0.463643907010464
"88","1x37",0.294306285043481,0.155027326399941,0.550666388556578
"89","1x38",0.173896050221766,0.29733388923586,0.528770060542374
"90","1x39",0,0.556117464685195,0.443882535314805
"91","1x40",0,0.186233947982158,0.813766052017842
"92","1x41",0,0.293014503288366,0.706985496711634
"93","1x42",0.241522864904466,0.170050020242197,0.588427114853337
"94","1x43",0,0.146041259032142,0.853958740967858
"95","1x44",0.265648607279676,0,0.734351392720324
"96","1x45",0,0.313717285055559,0.686282714944441
"97","1x46",0.179293551035801,0.377331992924568,0.443374456039631
"98","1x47",0.225128427674216,0.152045530615935,0.622826041709848
"99","1x48",0.524502234893379,0.154008637580984,0.321489127525638
"100","1x49",0,0.49113300078969,0.50886699921031
