,in_tissue,array_row,array_col,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,region_ind,E,M,S,B cells memory,B cells naive,Dendritic cells activated,Dendritic cells resting,Eosinophils,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells activated,Mast cells resting,Monocytes,Neutrophils,NK cells activated,NK cells resting,Plasma cells,T cells CD4 memory activated,T cells CD4 memory resting,T cells regulatory (Tregs),T cells CD4 naive,T cells CD8,T cells follicular helper,T cells gamma delta,MixtureType
19x59,1,59,19,7750,8.955577146281511,61313.0,11.023764,26.25218142971311,38.78459706750608,48.23283806044395,59.97423058731427,391.0,5.971262,0.6377114,61313.0,0,0.00405666778284202,0.9083098775943574,0.08763345462280053,0.1,0.0,0.0,4.6,0.2,0.0,0.8,1.9,0.0,0.4,0.3,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Pure Mes.
0x62,1,62,0,3492,8.158516244806831,9885.0,9.198874,23.77339403136065,35.68032372281234,45.776428932726354,58.947900859888726,196.0,5.2832036,1.9828022,9885.0,isolated,0.0005851682722967657,0.8536828646172099,0.1457319671104934,0.0,0.0,0.4,0.0,0.4,0.2,0.7,1.0,1.3,0.0,1.9,0.5,2.2,0.0,1.6,0.0,0.0,0.0,1.0,3.4,0.0,0.0,MS Mixture
97x61,1,61,97,2480,7.816416983691801,5389.0,8.5923,23.547968083132307,32.4364446093895,42.03006123585081,57.821488216737805,118.0,4.7791233,2.1896455,5389.0,1,0.2670286855655452,0.00033071668612707486,0.7326405977483277,0.0,5.5,1.2,4.9,0.0,1.4,2.8,2.4,0.0,7.5,0.0,6.8,5.5,0.0,6.9,2.1,11.7,0.0,0.0,0.0,9.9,4.9,Stroma
28x42,1,42,28,1548,7.3453648404168685,3194.0,8.069343,27.363807138384473,39.38634940513463,50.59486537257357,67.18847839699437,110.0,4.7095304,3.4439576,3194.0,1,0.0004413561504911311,0.4422417467385106,0.5573168971109982,1.1,0.0,1.2,0.0,1.2,3.8,5.1,0.0,0.0,7.6,6.7,0.0,5.3,0.0,5.1,2.8,0.0,2.0,7.0,2.3,4.2,0.4,Stroma
42x52,1,52,42,7617,8.93826914703855,64882.0,11.080341,27.6224530686477,40.71082888936839,50.32212323911101,61.7644338953793,289.0,5.669881,0.44542402,64882.0,0,0.008567293460761806,0.9909869003823957,0.00044580615684247475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
4x58,1,58,4,3973,8.287528423111763,12188.0,9.408289,22.719067935674435,34.01706596652445,43.854611092878244,57.25303577289137,168.0,5.1298985,1.378405,12188.0,isolated,0.0005326825596728252,0.850637508176875,0.14882980926345227,1.3,0.0,0.3,0.7,0.2,0.6,0.4,0.0,0.0,2.4,2.7,0.0,0.9,0.0,0.4,0.7,0.0,0.4,1.3,1.7,0.6,0.3,MS Mixture
79x35,1,35,79,7182,8.879472402074802,53935.0,10.895554,29.61527764902197,42.554927227217945,51.94400667470103,63.081486975062575,154.0,5.043425,0.28552887,53935.0,0,0.002524739920082181,0.9971898187575651,0.0002854413223527916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
59x67,1,67,59,5047,8.52674740422105,27269.0,10.213543,27.79346510689794,42.8251861087682,54.62246507022627,66.88914151600719,294.0,5.6869755,1.0781473,27269.0,0,0.0007154180660184325,0.8381182470242607,0.1611663349097208,1.7,0.0,0.0,2.2,1.3,0.0,0.9,1.7,3.5,0.0,1.9,0.0,0.6,0.0,0.2,0.0,0.0,0.0,1.5,0.4,0.0,0.3,MS Mixture
67x45,1,45,67,6210,8.734077192559303,29519.0,10.292823,22.358480978352926,33.98827873572953,43.76842033944239,56.03848368847183,478.0,6.1717005,1.619296,29519.0,0,0.00018426081334791482,0.9996314783733086,0.00018426081334336228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
12x64,1,64,12,7584,8.933927891782632,58162.0,10.9710045,25.960248959801934,38.231147484611945,47.2954850245865,59.29128984560366,419.0,6.0402546,0.72040164,58162.0,0,0.013204839836138408,0.9865051634805159,0.0002899966833456199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
19x45,1,45,19,1053,6.960347729101308,1856.0,7.5267177,25.808189655172413,37.553879310344826,50.70043103448276,70.20474137931035,70.0,4.26268,3.7715516,1856.0,1,0.000538110958042737,0.5552202595169117,0.44424162952504553,4.9,0.7,1.0,2.6,0.0,0.0,2.5,0.0,4.6,3.3,6.4,0.0,0.0,2.4,0.0,0.0,8.0,0.0,0.0,0.0,7.1,1.0,MS Mixture
2x64,1,64,2,3384,8.127109185346375,9065.0,9.112287,23.08880308880309,33.105350248207394,43.72862658576944,57.683397683397686,345.0,5.846439,3.8058467,9065.0,isolated,0.0005553155351772077,0.49731357994556646,0.5021311045192564,0.0,6.4,1.3,10.2,0.7,0.2,2.2,0.0,4.1,0.0,0.0,3.9,0.0,1.2,0.1,0.1,10.3,5.9,0.0,0.0,0.0,3.7,Stroma
15x29,1,29,15,1140,7.039660349862076,1942.0,7.5719886,23.789907312049433,34.65499485066941,47.42533470648816,67.0442842430484,37.0,3.637586,1.9052522,1942.0,1,0.00017529040154206366,0.00019545081771471244,0.9996292587807432,0.0,15.6,2.8,0.0,0.9,0.0,0.0,12.2,0.0,0.0,0.0,0.0,5.0,0.0,22.6,6.5,0.0,0.0,16.7,11.4,1.6,4.7,Stroma
22x66,1,66,22,6649,8.8023721336499,38424.0,10.556463,24.72152821153446,36.89881324172392,46.42410993129294,58.73152196543827,587.0,6.376727,1.527691,38424.0,0,0.0004342574289948688,0.9771857077983186,0.022380034772686526,0.0,0.2,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,Pure Mes.
54x62,1,62,54,7144,8.874168090363968,57771.0,10.964259,28.47622509563622,42.06089560506136,52.33248515691263,64.29350366100638,218.0,5.389072,0.37735194,57771.0,0,0.00022285512995438625,0.9995542897401056,0.00022285512993990285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
55x55,1,55,55,6651,8.802672840312818,52237.0,10.863565,28.987116411738807,42.99634358787832,53.224725769090874,65.16262419357926,171.0,5.1474943,0.3273542,52237.0,0,0.014249515165797791,0.9852820433342276,0.00046844149997454527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
62x24,1,24,62,936,6.842683282238422,1526.0,7.3310604,25.09829619921363,36.435124508519,49.93446920052425,71.42857142857143,45.0,3.8286414,2.948886,1526.0,1,0.0003269260670613366,0.0003508338487884269,0.9993222400841504,0.0,6.1,7.4,0.0,0.0,1.2,0.0,10.2,0.0,9.6,0.0,16.8,6.8,0.0,7.8,3.1,0.0,3.5,5.1,11.1,1.1,10.3,Stroma
27x51,1,51,27,7767,8.957768009971161,59658.0,10.9964,24.395722283683664,36.27510141137819,45.48258406248952,57.58490060008717,366.0,5.9053617,0.6134969,59658.0,0,0.010311174913822637,0.9894196302755001,0.00026919481067729845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
94x44,1,44,94,7166,8.877242435993919,49884.0,10.817475,23.889423462432845,36.26613743885815,46.479833213054285,58.93873787186272,864.0,6.7627296,1.7320182,49884.0,0,0.001784106902001407,0.9979249386623313,0.0002909544356671213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
96x42,1,42,96,7237,8.887100204123687,50270.0,10.825184,21.997215038790532,33.4533518997414,43.71792321464094,57.0917047941118,451.0,6.1136823,0.89715534,50270.0,0,0.0004188150071696116,0.9755841077608844,0.02399707723194594,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,Pure Mes.
69x47,1,47,69,3315,8.106514516255185,9776.0,9.187788,24.84656301145663,38.08306055646481,48.05646481178396,61.11906710310966,236.0,5.46806,2.4140754,9776.0,isolated,0.0003561960572576392,0.9651244389120726,0.034519365030669796,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,1.6,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,Pure Mes.
79x53,1,53,79,1454,7.282761179605593,2829.0,7.948032,25.486037469070343,37.36302580417109,48.992576882290564,66.2778366914104,78.0,4.3694477,2.757158,2829.0,1,0.00038981238557681935,0.2278816878793782,0.7717284997350449,1.8,3.1,1.4,2.1,0.0,0.0,4.8,3.4,10.2,0.0,0.7,1.6,0.0,14.5,5.6,0.0,25.6,0.0,0.0,0.0,0.0,2.4,Stroma
5x57,1,57,5,2734,7.913886714856082,6830.0,8.8292265,23.455344070278183,34.72913616398243,45.10980966325037,60.35139092240117,111.0,4.7184987,1.625183,6830.0,1,0.0004312352558143663,0.5818942403710015,0.4176745243731842,0.3,2.6,0.0,23.1,0.0,0.0,1.0,0.0,0.0,0.4,2.3,1.9,0.1,1.1,1.7,0.0,5.0,0.0,0.0,0.0,2.2,0.0,MS Mixture
56x44,1,44,56,2680,7.893945138235959,6384.0,8.761706,22.681704260651628,34.10087719298245,44.721177944862156,59.66478696741855,187.0,5.236442,2.929198,6384.0,1,0.00043272838340611855,0.5727317195991648,0.4268355520174292,0.0,6.7,1.3,5.2,0.0,2.9,1.5,0.0,0.0,5.5,0.0,2.3,2.4,0.0,0.9,0.0,0.0,4.2,0.3,1.3,4.2,3.9,MS Mixture
17x49,1,49,17,1397,7.242797922793756,2712.0,7.9058104,27.876106194690266,39.15929203539823,50.14749262536873,66.92477876106194,119.0,4.787492,4.3879056,2712.0,1,0.0006204414243297717,0.2890411331489353,0.710338425426735,10.6,0.0,1.1,10.0,0.0,1.0,1.3,0.0,7.8,0.0,14.5,0.5,0.0,9.7,0.0,6.3,2.9,1.2,0.0,4.0,0.0,0.0,Stroma
51x33,1,33,51,1315,7.182352111885263,2481.0,7.81682,26.15880693268843,37.20274083031036,48.770656993147924,67.15034260378879,64.0,4.1743875,2.579605,2481.0,1,0.0003817688863882311,0.2623115424230991,0.7373066886905126,1.4,0.0,0.0,26.1,0.0,2.4,4.9,0.0,0.0,5.3,0.0,7.2,5.4,0.0,1.4,0.0,0.0,1.0,8.3,4.4,2.8,3.0,Stroma
58x34,1,34,58,4746,8.465268118551318,17789.0,9.786392,24.67817190398561,37.02287930743718,46.944741132160324,59.34566305019956,269.0,5.598422,1.5121704,17789.0,0,0.02583058724970438,0.9365316109261826,0.037637801824113006,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.2,0.0,0.0,1.0,0.0,0.4,0.8,0.0,0.0,0.0,0.1,0.0,Pure Mes.
31x55,1,55,31,7506,8.923591197573002,59323.0,10.990769,26.276486354365087,38.46400215767915,47.61222460091364,59.562058560760576,211.0,5.3565865,0.35567993,59323.0,0,0.0034993267661604906,0.9960744058747141,0.00042626735912535036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
33x47,1,47,33,2525,7.8343923029104365,6229.0,8.737131,23.4869160378873,35.67185744100176,46.36378230855675,61.486594959062444,155.0,5.049856,2.488361,6229.0,1,0.0005374372745673056,0.7463054240187552,0.2531571387066775,2.9,0.0,0.0,2.4,0.0,0.9,2.6,0.0,1.3,0.0,2.8,0.0,0.0,4.1,0.5,0.0,6.4,0.0,0.0,1.1,0.0,0.2,MS Mixture
42x28,1,28,42,2388,7.77863014732581,5017.0,8.520786,20.84911301574646,30.6557703807056,41.39924257524417,57.384891369344224,148.0,5.0039463,2.94997,5017.0,isolated,0.522772593238553,0.00027296549192812276,0.47695444126951886,0.0,2.5,0.0,28.9,2.3,0.6,1.9,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.3,6.5,2.4,0.0,0.0,0.3,0.8,ES Mixture
37x61,1,61,37,7455,8.916774356365426,58850.0,10.982764,27.4035683942226,40.10195412064571,49.24384027187765,60.85471537807986,204.0,5.32301,0.346644,58850.0,0,0.00014309485805148256,0.9997138102839049,0.0001430948580434674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
25x29,1,29,25,1183,7.076653815443951,1999.0,7.6009026,22.411205602801402,32.51625812906453,44.822411205602805,65.83291645822912,55.0,4.0253515,2.7513757,1999.0,1,0.39012183941379064,0.0008127850692846955,0.6090653755169246,0.0,3.6,0.1,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.8,1.5,0.0,50.2,0.0,0.0,0.0,1.8,1.5,0.0,0.6,Stroma
93x51,1,51,93,2435,7.798112628829788,5869.0,8.67761,24.97870165275175,37.570284545919236,48.032032714261376,62.15709660930312,105.0,4.6634393,1.7890612,5869.0,isolated,0.0005063994654963055,0.7546369619560804,0.2448566385784233,0.0,2.8,2.0,1.4,0.4,0.9,2.2,1.3,0.0,0.9,0.7,1.6,1.4,0.0,0.0,0.4,0.0,2.0,0.4,3.9,1.3,0.9,MS Mixture
21x45,1,45,21,1174,7.069023426578259,2179.0,7.6870804,27.168425883432768,38.91693437356585,50.940798531436435,69.06837999082148,89.0,4.4998097,4.0844426,2179.0,1,0.00040676716452870136,0.626852740722301,0.37274049211317034,6.7,0.0,0.8,4.4,0.0,1.9,0.0,0.0,1.9,0.0,8.5,0.0,0.0,0.4,0.0,0.0,11.4,0.0,0.0,0.0,1.2,0.0,MS Mixture
31x59,1,59,31,7158,8.876125585396185,58106.0,10.970041,30.797163804082196,43.96792069665783,53.479847175851035,64.52173613740405,199.0,5.2983174,0.34247753,58106.0,0,0.009058857551973878,0.9906446934605381,0.00029644898748805567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
31x29,1,29,31,2249,7.718685495198466,4616.0,8.4375,20.84055459272097,30.307625649913344,41.37781629116118,58.188908145580584,97.0,4.5849676,2.1013865,4616.0,1,0.5179702154918224,0.00027119998391124427,0.4817585845242664,3.3,0.0,0.0,0.0,3.9,26.3,0.6,4.2,0.0,0.6,0.0,1.1,0.0,0.4,0.0,0.2,0.0,3.1,1.3,1.3,0.0,2.0,ES Mixture
23x67,1,67,23,6742,8.816260208734581,41469.0,10.632726,25.086208975379197,37.03248209505896,46.70476741662446,59.13573995032434,409.0,6.016157,0.9862789,41469.0,0,0.0002074294988739932,0.9995851410022305,0.00020742949889549574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
52x64,1,64,52,7074,8.864322722511439,53588.0,10.889099,28.64447264312906,42.00940509069195,51.58990818840039,63.28842278121968,309.0,5.7365723,0.5766216,53588.0,0,0.003520897448042169,0.9912729941244822,0.005206108427475557,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
24x36,1,36,24,1234,7.118826249062078,2168.0,7.6820216,24.44649446494465,35.47047970479705,47.27859778597786,66.14391143911439,66.0,4.204693,3.0442805,2168.0,1,0.0003625804752264573,0.0003625804752264573,0.9992748390495471,0.0,11.3,4.0,0.0,8.4,6.2,6.1,10.1,12.7,0.0,0.0,0.2,0.0,16.5,2.8,0.0,18.7,0.0,0.0,0.0,2.9,0.0,Stroma
11x65,1,65,11,7035,8.85879510585745,46403.0,10.745141,25.634118483718726,37.33379307372368,46.65862120983557,58.92722453289658,375.0,5.9295893,0.80813736,46403.0,0,0.00042116933145069777,0.9770825148311251,0.022496315837424286,0.5,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.6,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.1,Pure Mes.
14x56,1,56,14,6272,8.744009988096742,31280.0,10.350766,23.244884910485933,34.76982097186701,44.82097186700768,57.08759590792839,663.0,6.498282,2.1195652,31280.0,0,0.0002010261811327632,0.999597947637713,0.00020102618115424984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
43x67,1,67,43,7380,8.906664409770052,57841.0,10.96547,26.622983696685743,38.88591137774243,48.25296934700299,60.14591725592573,429.0,6.063785,0.74168843,57841.0,0,0.005181888244751929,0.9943633109644382,0.00045480079080990616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
96x40,1,40,96,6240,8.738895704934043,32977.0,10.403596,23.273796888740637,35.3094581071656,45.30733541559269,58.140522182126944,509.0,6.234411,1.5435,32977.0,0,0.013832330847394497,0.9859003488933097,0.0002673202592959345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
70x24,1,24,70,1435,7.269616749608169,2782.0,7.931285,25.05391804457225,36.37670740474479,48.562185478073324,66.39108554996406,75.0,4.3307333,2.6959023,2782.0,1,0.0004363666479594217,0.48563857571186725,0.5139250576401733,0.0,8.8,3.5,2.2,0.0,0.0,0.0,6.3,0.0,3.2,1.5,5.1,2.2,0.0,0.2,0.0,0.0,5.3,6.5,5.7,0.9,0.0,Stroma
92x46,1,46,92,6185,8.730043953245016,32639.0,10.393293,24.90578755476577,37.45212782254359,47.09396733968565,59.04286283280737,585.0,6.3733196,1.7923344,32639.0,0,0.0005662281710408672,0.9257021821651922,0.07373158966376687,0.0,0.1,0.0,4.3,0.0,0.2,1.2,0.0,0.7,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Pure Mes.
82x62,1,62,82,1178,7.072421900537371,2095.0,7.647786,24.200477326968976,35.56085918854415,48.01909307875895,67.63723150357995,59.0,4.0943446,2.816229,2095.0,1,0.0002623021858167634,0.0002623021858167634,0.9994753956283664,12.8,0.0,6.0,0.0,4.8,5.1,0.0,0.0,0.0,12.8,4.5,1.7,5.8,0.0,6.3,0.0,0.0,3.2,19.7,13.5,0.9,2.9,Stroma
68x54,1,54,68,4405,8.39072252736229,18731.0,9.837989,24.830494901500185,38.24675671346965,50.02402434466926,63.07725161496983,249.0,5.521461,1.329347,18731.0,isolated,0.0006804123507519134,0.8770973742201966,0.12222221342905144,0.1,0.0,0.0,7.8,0.8,0.0,0.4,0.0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0,MS Mixture
8x58,1,58,8,3181,8.065265208897733,7398.0,8.909101,19.113273857799406,28.588807785888076,38.915923222492566,54.24439037577724,127.0,4.8520303,1.7166803,7398.0,isolated,0.00031449314751953977,0.296082692635611,0.7036028142168694,5.9,0.0,0.0,20.8,0.0,0.0,0.5,0.0,19.9,0.0,10.4,0.0,1.2,0.0,0.0,0.0,4.7,0.0,5.8,1.3,0.0,0.0,Stroma
73x53,1,53,73,1988,7.5953872788539725,4464.0,8.404024,26.568100358422942,38.373655913978496,49.30555555555556,64.87455197132617,118.0,4.7791233,2.6433692,4464.0,1,0.0005675627133946029,0.5870319565563331,0.41240048073027236,5.1,0.0,0.0,2.8,0.0,0.0,3.1,0.6,6.1,0.0,0.0,4.1,0.0,6.1,0.1,0.2,11.1,0.0,0.0,0.9,1.0,0.0,MS Mixture
76x24,1,24,76,4650,8.444837529224097,16597.0,9.717037,23.456046273422906,35.343736819907214,45.17081400253058,57.6851238175574,358.0,5.8833222,2.1570163,16597.0,0,0.0003820316978461745,0.930463414340009,0.06915455396214477,0.0,0.4,0.3,0.4,0.0,0.2,0.3,0.2,0.0,1.5,0.0,0.0,0.0,1.1,0.0,0.7,1.4,0.0,0.0,0.1,0.2,0.2,Pure Mes.
92x50,1,50,92,2810,7.941295570906532,7351.0,8.902728,23.588627397632976,36.15834580329207,47.095633247177254,61.70589035505374,123.0,4.8202815,1.6732417,7351.0,isolated,0.000878696610829646,0.653639865085994,0.34548143830317635,0.0,4.8,0.0,8.3,0.0,0.1,2.2,0.0,2.5,0.0,4.6,0.0,0.0,3.9,0.0,0.1,6.3,1.9,0.0,0.0,0.0,0.1,MS Mixture
39x47,1,47,39,3205,8.072779333169498,9191.0,9.126089,24.95919921662496,37.99368947883799,47.95996083124796,61.30997715156131,224.0,5.4161005,2.437167,9191.0,isolated,0.0004562617580351164,0.7798242759680986,0.21971946227386624,0.6,2.3,0.1,2.9,0.0,0.0,0.8,0.0,2.4,0.0,2.1,0.0,0.0,3.9,0.0,0.0,2.4,1.8,0.0,1.6,1.1,0.0,MS Mixture
42x48,1,48,42,4975,8.512381634419015,19336.0,9.869776,24.02772031443939,35.74679354571783,45.624741414977244,58.367811336367396,373.0,5.924256,1.9290444,19336.0,0,0.0005191414562546435,0.9053958598865908,0.09408499865715458,0.4,0.1,0.0,0.6,0.0,0.4,0.2,0.4,3.2,0.0,0.0,0.1,0.3,0.0,2.7,0.0,0.0,0.0,0.4,0.3,0.1,0.1,Pure Mes.
40x24,1,24,40,1853,7.5251007461258,3425.0,8.139149,20.817518248175183,29.86861313868613,40.87591240875913,59.970802919708035,109.0,4.7004805,3.1824815,3425.0,1,0.4765404506461743,0.0002876503282110342,0.5231718990256147,0.0,6.1,0.5,4.0,0.0,0.4,1.1,0.0,3.4,0.0,10.0,1.3,0.0,3.9,0.0,5.5,14.6,1.2,0.0,0.0,0.3,0.0,Stroma
74x36,1,36,74,7221,8.884887201837403,48662.0,10.792674,25.956598577945833,37.9598043648021,47.001767292754096,58.8282438042004,292.0,5.6801724,0.60005754,48662.0,0,0.009439338538025739,0.990151999794227,0.00040866166774734206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
10x22,1,22,10,1232,7.117205503164344,2128.0,7.663408,22.227443609022558,32.56578947368421,45.39473684210527,65.6015037593985,32.0,3.4965076,1.5037594,2128.0,1,0.14542756684249938,0.00039552750863730877,0.8541769056488634,16.3,0.0,4.0,8.7,0.0,0.0,0.0,0.0,10.9,0.0,8.1,1.2,0.0,16.7,5.5,0.0,6.9,0.0,4.9,0.0,2.3,0.0,Stroma
61x55,1,55,61,6039,8.706159290928861,46725.0,10.752056,30.63670411985019,45.37185660781166,55.54200107009096,67.67897271268058,75.0,4.3307333,0.16051364,46725.0,0,0.0002455081423228199,0.9995089837153724,0.00024550814230475443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
44x38,1,38,44,2316,7.748028524432376,5152.0,8.547335,22.903726708074533,33.96739130434783,44.565217391304344,59.899068322981364,106.0,4.6728287,2.0574534,5152.0,1,0.08771264003239353,0.000529248332286261,0.9117581116353201,0.0,8.6,3.0,5.9,0.0,3.7,5.3,0.0,0.0,13.5,6.0,0.0,2.9,0.0,4.9,8.6,0.0,2.7,15.4,9.3,0.0,1.2,Stroma
92x60,1,60,92,1300,7.170888478512505,2238.0,7.7137847,24.084003574620198,34.36103663985702,46.15728328865058,64.25379803395889,68.0,4.2341065,3.0384274,2238.0,1,0.00017708739999082394,0.00017708739999082394,0.9996458252000184,11.1,0.0,0.0,28.2,9.7,0.0,3.7,0.0,2.6,0.0,0.0,5.3,0.0,22.6,0.0,0.5,12.3,3.1,0.0,0.0,0.9,0.0,Stroma
93x35,1,35,93,7035,8.85879510585745,64928.0,11.08105,33.77279448003943,50.04928536224741,59.599864465253816,69.60017249876786,549.0,6.3099184,0.84555197,64928.0,0,0.0040344561742351,0.9954373092539647,0.0005282345718002577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
41x53,1,53,41,7527,8.926384681265215,61649.0,11.029228,27.63061850151665,40.130415740725724,49.51742931758828,60.940161235380955,324.0,5.7838254,0.52555597,61649.0,0,0.009406524631678799,0.9903069513247368,0.0002865240435845004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
18x18,1,18,18,989,6.897704943128636,1521.0,7.3277807,22.813938198553583,33.399079552925706,46.548323471400394,67.85009861932939,32.0,3.4965076,2.1038792,1521.0,1,0.09657925520041342,0.0001801303570484812,0.9032406144425381,0.0,4.6,5.3,11.5,0.0,0.1,0.5,0.0,4.0,0.0,19.2,0.2,1.1,6.4,5.0,0.0,25.1,0.0,0.0,0.0,7.3,0.0,Stroma
27x29,1,29,27,1607,7.382746449738912,2923.0,7.9807076,22.819021553198766,32.67191241874786,43.79062606910708,62.12795073554567,85.0,4.454347,2.9079714,2923.0,1,0.17924765739356388,0.00015525369468165232,0.8205970889117544,0.0,8.0,0.0,0.0,0.0,10.2,0.0,5.4,0.3,0.3,0.0,2.6,0.3,0.0,47.8,0.3,0.0,0.0,2.3,0.0,1.8,2.8,Stroma
6x62,1,62,6,5261,8.568266461600238,20216.0,9.914279,22.150771666007124,33.00356153541749,42.36743173723783,55.43134151167393,405.0,6.0063534,2.0033636,20216.0,0,0.0005732274918898859,0.8277489289222739,0.17167784358583615,0.0,3.2,0.0,3.2,0.9,0.0,0.2,0.6,2.9,0.0,0.3,0.5,0.0,1.3,0.7,0.1,1.7,0.0,0.0,0.0,0.0,1.6,MS Mixture
54x60,1,60,54,7014,8.855805992536562,60322.0,11.007469,30.05371174695799,44.64042969397566,54.888763635157986,66.95567123105998,229.0,5.4380794,0.3796293,60322.0,0,0.00030549287898090204,0.9486140604993856,0.05108044662163356,0.0,0.0,0.0,2.6,0.0,0.0,0.2,0.0,0.0,0.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
