,in_tissue,array_row,array_col,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,region_ind,E,M,S,B cells memory,B cells naive,Dendritic cells activated,Dendritic cells resting,Eosinophils,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells activated,Mast cells resting,Monocytes,Neutrophils,NK cells activated,NK cells resting,Plasma cells,T cells CD4 memory activated,T cells CD4 memory resting,T cells regulatory (Tregs),T cells CD4 naive,T cells CD8,T cells follicular helper,T cells gamma delta,MixtureType
6x64,1,64,6,5601,8.630878955820053,25003.0,10.126791,24.40507139143303,36.571611406631206,46.20245570531536,58.540975082990045,525.0,6.265301,2.099748,25003.0,0,0.0005771179946750988,0.892902254470549,0.10652062753477587,0.0,0.0,0.0,0.0,0.0,5.1,0.2,0.5,1.6,0.0,0.0,0.1,0.0,1.5,0.1,0.0,1.1,0.2,0.0,0.0,0.2,0.0,MS Mixture
54x54,1,54,54,6518,8.782476268924539,53441.0,10.886353,30.901367863625307,45.16943919462585,55.131827622986094,66.82883928070208,184.0,5.220356,0.34430492,53441.0,0,0.013203078801429782,0.9862754927043188,0.0005214284942513887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
36x38,1,38,36,1542,7.341483852363161,2922.0,7.9803658,25.222450376454482,35.728952772073924,47.09103353867214,64.33949349760438,72.0,4.2904596,2.4640658,2922.0,1,0.000352087191676569,0.0004241535674020554,0.9992237592409213,0.0,10.8,5.7,4.7,0.0,1.4,7.2,0.0,0.3,13.7,0.0,12.3,5.8,2.3,5.2,9.5,15.1,0.0,0.0,0.0,5.8,0.1,Stroma
51x61,1,61,51,6696,8.80941494391005,47427.0,10.766968,28.886499251481222,42.347186201952475,52.23817656609104,64.12591983469332,228.0,5.433722,0.48073885,47427.0,0,0.004706143241254364,0.9946207788043588,0.0006730779543867233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
43x27,1,27,43,1113,7.01571242048723,1803.0,7.4977617,23.183582917359953,33.94342762063228,46.75540765391015,66.00110926234053,48.0,3.8918204,2.6622295,1803.0,1,0.0003612942441101495,0.0003612942441102445,0.9992774115117796,12.7,0.0,1.3,0.0,4.7,0.0,2.3,0.0,35.2,0.0,12.7,0.0,7.2,0.0,5.5,0.0,0.0,3.2,9.0,5.8,0.0,0.0,Stroma
21x49,1,49,21,1827,7.510977752014095,3756.0,8.231376,24.361022364217252,35.27689030883919,46.219382321618745,63.897763578274756,124.0,4.828314,3.3013842,3756.0,1,0.001006479509419903,0.6539295098795965,0.3450640106109835,0.0,4.6,2.2,0.0,0.0,0.0,0.0,3.3,0.0,1.8,0.0,0.0,2.5,0.0,10.1,1.4,0.0,0.3,3.1,3.1,1.2,0.9,MS Mixture
10x56,1,56,10,1965,7.583756300707112,4066.0,8.310661,24.348253812100346,34.97294638465322,45.548450565666506,62.32169208066897,120.0,4.7957907,2.9513035,4066.0,1,0.0005559543726312933,0.3483380326109224,0.6511060130164463,0.3,1.2,0.0,36.2,0.0,0.4,4.7,0.0,4.3,0.0,0.0,0.0,0.0,6.6,0.5,3.5,1.2,3.6,0.9,0.6,0.0,1.0,Stroma
75x59,1,59,75,1518,7.325807502595773,3206.0,8.0730915,26.169681846537742,38.95820336868372,50.748596381784154,68.24703680598877,74.0,4.317488,2.3081722,3206.0,1,0.0003818471857769762,0.248551410111994,0.7510667427022291,18.3,0.0,2.4,4.0,1.4,1.0,0.8,0.0,0.0,8.1,0.0,7.5,6.8,0.0,5.9,0.0,0.0,0.6,1.3,10.3,6.8,0.0,Stroma
80x46,1,46,80,4742,8.464425125877582,20977.0,9.951229,28.91738570815655,42.77542069886066,52.285836868951705,64.06540496734519,320.0,5.771441,1.5254803,20977.0,0,0.0002856827922727609,0.9968874758235807,0.0028268413841465285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
15x27,1,27,15,1042,6.949856455000773,1616.0,7.388328,21.65841584158416,32.116336633663366,45.42079207920792,66.46039603960396,20.0,3.0445225,1.2376238,1616.0,1,0.00029040155158393117,0.00029040155158393117,0.9994191968968321,20.7,0.0,6.6,4.4,2.9,4.7,2.2,4.4,0.0,10.5,0.0,1.9,2.0,0.0,3.6,11.8,0.0,0.0,10.7,5.5,2.5,5.5,Stroma
