,r,reference,method
2x40,0.9772487144493496,Internal,stereoscope
2x41,0.7071857160012768,Internal,stereoscope
2x42,0.045954144879919154,Internal,stereoscope
2x43,0.8354214275700007,Internal,stereoscope
2x44,0.9193985710065209,Internal,stereoscope
2x45,-0.2069763324041489,Internal,stereoscope
2x46,0.9930269644516405,Internal,stereoscope
2x47,0.9990244814705502,Internal,stereoscope
2x48,0.9998827130145197,Internal,stereoscope
2x49,0.46181415038378,Internal,stereoscope
3x0,0.989475425239622,Internal,stereoscope
3x1,0.9985381662628989,Internal,stereoscope
3x2,0.994525883683054,Internal,stereoscope
3x3,0.9997614056120514,Internal,stereoscope
3x4,0.9999888289930244,Internal,stereoscope
3x5,0.9998926568641999,Internal,stereoscope
3x6,1.0,Internal,stereoscope
3x7,1.0,Internal,stereoscope
3x8,1.0,Internal,stereoscope
3x9,0.9933892349572037,Internal,stereoscope
3x10,0.9998385313783901,Internal,stereoscope
3x11,1.0,Internal,stereoscope
3x12,0.9997641937689723,Internal,stereoscope
3x13,0.9988316508902145,Internal,stereoscope
3x14,0.9998848868415249,Internal,stereoscope
3x15,0.9999665010157535,Internal,stereoscope
3x16,0.9999985354029659,Internal,stereoscope
3x17,0.9999974988743475,Internal,stereoscope
3x18,0.9715288208654462,Internal,stereoscope
3x19,0.9993713080280133,Internal,stereoscope
3x20,0.8949164899684523,Internal,stereoscope
3x21,0.9475904985096073,Internal,stereoscope
3x22,0.9820123578434287,Internal,stereoscope
3x23,0.9547044939312993,Internal,stereoscope
3x24,0.8831956528941758,Internal,stereoscope
3x25,0.960317265497858,Internal,stereoscope
3x26,0.9954215795572433,Internal,stereoscope
3x27,0.7801413007770597,Internal,stereoscope
3x28,0.13464094417832684,Internal,stereoscope
3x29,0.9983910352160573,Internal,stereoscope
3x30,0.9935387873162151,Internal,stereoscope
3x31,0.9481942512670987,Internal,stereoscope
3x32,0.4934906620793692,Internal,stereoscope
3x33,0.9580421033126062,Internal,stereoscope
3x34,0.8986314185357192,Internal,stereoscope
3x35,0.9241419425430482,Internal,stereoscope
3x36,0.4285557877607054,Internal,stereoscope
3x37,0.8597418547084126,Internal,stereoscope
3x38,0.24479475866455733,Internal,stereoscope
3x39,0.9979458685469667,Internal,stereoscope
3x40,0.8284493510480142,Internal,stereoscope
3x41,0.9939081868479229,Internal,stereoscope
3x42,0.9285223313878828,Internal,stereoscope
3x43,0.9880116553479765,Internal,stereoscope
3x44,-0.3595596964960277,Internal,stereoscope
3x45,-0.041060212876944155,Internal,stereoscope
3x46,0.712462973837904,Internal,stereoscope
3x47,-0.9556946442330134,Internal,stereoscope
3x48,0.6394125665927739,Internal,stereoscope
3x49,-0.2665509862992697,Internal,stereoscope
4x0,0.9998652540409443,Internal,stereoscope
4x1,0.9970591883212309,Internal,stereoscope
4x2,0.9879818879514234,Internal,stereoscope
4x3,0.9950237784799936,Internal,stereoscope
4x4,0.9999746090394817,Internal,stereoscope
4x5,0.9999854043094493,Internal,stereoscope
4x6,1.0,Internal,stereoscope
4x7,1.0,Internal,stereoscope
4x8,1.0,Internal,stereoscope
4x9,1.0,Internal,stereoscope
4x10,1.0,Internal,stereoscope
4x11,0.9992896058588862,Internal,stereoscope
4x12,0.9994217769440681,Internal,stereoscope
4x13,1.0,Internal,stereoscope
4x14,0.999993113028535,Internal,stereoscope
4x15,0.9999965017819465,Internal,stereoscope
4x16,0.9999954860149746,Internal,stereoscope
4x17,0.9935556739776155,Internal,stereoscope
4x18,0.982928951732418,Internal,stereoscope
4x19,0.9905821991340995,Internal,stereoscope
4x20,0.9880482808942591,Internal,stereoscope
4x21,0.9883135997896071,Internal,stereoscope
4x22,0.9794416953164199,Internal,stereoscope
4x23,0.9642585069235399,Internal,stereoscope
4x24,0.8977000794029097,Internal,stereoscope
4x25,0.006616312588353268,Internal,stereoscope
4x26,0.9991455923951702,Internal,stereoscope
4x27,0.6228251470579564,Internal,stereoscope
4x28,0.6899313599976626,Internal,stereoscope
4x29,0.9708089398915968,Internal,stereoscope
4x30,0.8399594695529466,Internal,stereoscope
4x31,0.09065610507054425,Internal,stereoscope
4x32,0.9535634646533127,Internal,stereoscope
4x33,0.8198580909517356,Internal,stereoscope
4x34,0.9339572823107423,Internal,stereoscope
4x35,0.7749482342471146,Internal,stereoscope
4x36,0.9853433045835034,Internal,stereoscope
4x37,0.7464480763113278,Internal,stereoscope
4x38,-0.9804735989447287,Internal,stereoscope
4x39,-0.2258715540785138,Internal,stereoscope
4x40,0.9999981428081066,Internal,stereoscope
4x41,0.2676374533836149,Internal,stereoscope
4x42,0.8277410486573564,Internal,stereoscope
4x43,0.8828755945614064,Internal,stereoscope
4x44,0.984454674811118,Internal,stereoscope
4x45,0.09699587917121291,Internal,stereoscope
4x46,0.9706516289952958,Internal,stereoscope
4x47,0.9654159634999882,Internal,stereoscope
4x48,0.9814896498569795,Internal,stereoscope
4x49,-0.06813791698761962,Internal,stereoscope
5x0,0.984590692591919,Internal,stereoscope
5x1,0.9929956701963727,Internal,stereoscope
5x2,0.999998659728281,Internal,stereoscope
5x3,0.9999507340293111,Internal,stereoscope
5x4,0.9938753476153191,Internal,stereoscope
5x5,1.0,Internal,stereoscope
5x6,1.0,Internal,stereoscope
5x7,0.999992021369391,Internal,stereoscope
5x8,0.9999497549381909,Internal,stereoscope
5x9,0.9999865711071092,Internal,stereoscope
5x10,0.999998513353901,Internal,stereoscope
5x11,1.0,Internal,stereoscope
5x12,1.0,Internal,stereoscope
5x13,0.9995416588663079,Internal,stereoscope
5x14,0.9998669094995875,Internal,stereoscope
5x15,1.0,Internal,stereoscope
5x16,1.0,Internal,stereoscope
5x17,0.9989886662262115,Internal,stereoscope
5x18,0.9996458046923025,Internal,stereoscope
5x19,0.9990025831081251,Internal,stereoscope
5x20,0.9865630007529588,Internal,stereoscope
5x21,0.9908178414524352,Internal,stereoscope
5x22,0.9910860229013625,Internal,stereoscope
5x23,0.9980815915568744,Internal,stereoscope
5x24,0.9914856311746303,Internal,stereoscope
5x25,0.9994750579007793,Internal,stereoscope
5x26,0.9130842480830829,Internal,stereoscope
5x27,0.20774125105675664,Internal,stereoscope
5x28,0.9952666028126905,Internal,stereoscope
5x29,0.9991393997414462,Internal,stereoscope
5x30,0.7156603565204268,Internal,stereoscope
