	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
1x20	0.274081	0.13311228	0.15154727	7.754569e-13	0.10802276	0.33323672
1x21	0.18721479	0.20766588	0.110268965	0.25052226	0.24432811	7.946747e-12
1x22	0.20252801	0.108729586	0.038396478	0.36405364	0.035396717	0.25089556
1x23	0.24795282	2.3352964e-10	0.12716515	1.0178005e-12	0.22087425	0.40400776
1x24	0.22990692	0.046305057	0.24223998	9.53448e-13	0.14974394	0.3318041
1x25	0.39516285	1.2724533e-11	0.09084199	8.790971e-13	0.106233485	0.4077617
1x26	0.13167702	0.18353596	0.15079638	8.6380474e-13	0.44890302	0.085087664
1x27	0.14373955	0.29596934	0.13422914	6.8107195e-13	0.104833476	0.32122847
1x28	0.14589523	0.117414005	0.19155388	9.39235e-13	0.24996445	0.29517242
1x29	0.07748866	0.21553299	0.10398538	7.5546573e-13	0.3868278	0.21616516
1x30	0.19613291	0.108188815	0.12373584	0.16415423	0.12598576	0.28180245
1x31	0.13808538	2.941859e-10	0.15261784	8.9279745e-13	0.3211247	0.38817206
1x32	0.2535346	0.20440522	0.028098198	7.5202165e-13	0.18659349	0.32736847
1x33	0.26044106	0.1519853	0.11482473	7.1876175e-13	0.08498183	0.38776705
1x34	0.14602628	0.18317488	0.14004716	0.24179189	0.10547326	0.18348646
1x35	0.253509	0.19780332	0.15450071	6.5253326e-13	0.17094292	0.22324401
1x36	0.25911567	0.050820876	0.10346474	0.16030465	0.22486113	0.20143293
1x37	0.24930397	0.19483979	0.14678778	0.08704363	0.21343836	0.10858655
1x38	0.12236358	0.16381799	0.1586048	6.218551e-13	0.19341652	0.36179706
1x39	0.20525506	2.8886893e-11	0.10143397	0.25580192	0.26638138	0.17112772
1x40	0.25119466	0.17027137	0.064857215	0.1611874	0.0750071	0.27748227
1x41	0.29957408	0.11694504	0.15372038	6.4139135e-13	0.18209788	0.24766265
1x42	0.15281838	0.23237193	0.14056861	7.415063e-13	0.08577847	0.38846257
1x43	0.20530546	0.23929042	0.14917852	4.801982e-13	0.15892763	0.24729797
1x44	0.10997446	0.3150705	0.16904932	5.677936e-13	0.075946145	0.3299595
1x45	0.23077975	0.14668292	0.1597123	0.11597816	0.006685741	0.34016111
1x46	0.16912685	0.17142324	0.2188531	0.1537701	0.28682676	2.5390975e-10
1x47	0.24721207	0.12659599	0.22979261	5.594342e-13	0.12373239	0.2726669
