	Macrophages	Mast	Monocytes	mDCs
2x1	0.019889649	2.8936324e-11	3.9665623e-12	0.98011035
2x2	0.76764166	1.6348495e-11	0.23235835	9.2283845e-12
2x3	0.16612227	0.50157166	0.073645346	0.25866067
2x4	0.21122488	0.3969141	0.1366885	0.2551725
2x5	4.326543e-12	9.271307e-12	2.5256693e-11	1.0
2x6	0.0259543	0.3418086	0.026588101	0.60564893
2x7	0.24430522	0.3921502	0.12126716	0.24227737
2x8	8.7539996e-11	1.0858018e-10	1.0	1.2229742e-10
2x9	0.21658267	0.3842014	0.13819449	0.26102144
2x10	0.17027843	0.37244475	0.09716376	0.36011314
2x11	0.23053405	0.3710318	0.17629531	0.22213882
2x12	0.21628287	0.47986647	0.09628664	0.20756403
2x13	0.13474254	0.21105205	0.008442051	0.64576334
2x14	0.2262493	0.19068171	0.4602247	0.12284432
2x15	0.31458163	0.3131377	0.18122156	0.19105905
2x16	0.047098327	0.1316387	0.040157117	0.7811058
2x17	7.596305e-12	1.0884946e-10	4.3167843e-12	1.0
2x18	1.4125385e-11	0.13109155	1.064324e-11	0.8689084
2x19	0.06837756	1.9553567e-10	2.3847327e-11	0.93162245
2x20	0.06520544	0.069766425	0.0080472715	0.8569809
2x21	0.042614818	0.90390414	1.0172354e-12	0.053481054
2x22	0.23612691	0.15007734	0.060466822	0.553329
2x23	0.011731924	5.521028e-12	0.039389823	0.9488782
2x24	0.028132383	0.8103475	5.0868585e-12	0.1615201
2x25	5.3943013e-12	0.0020179457	1.5552664e-12	0.997982
2x26	3.557612e-12	0.54641604	4.8767973e-12	0.45358393
2x27	0.48882744	0.05086429	0.0646406	0.39566773
2x28	0.20247489	0.71364456	0.007539816	0.07634066
2x29	1.1816882e-11	3.4101363e-12	0.009234049	0.990766
2x30	0.38763496	0.379867	0.2324981	6.4330477e-12
2x31	0.0043683993	0.06380852	0.03006959	0.90175354
2x32	0.14724778	3.8741124e-12	0.22819158	0.62456065
2x33	0.23461139	0.5175658	0.004936422	0.24288644
2x34	0.0023977703	0.38382122	1.4528596e-11	0.613781
2x35	0.06709177	3.199259e-12	0.06410511	0.86880314
2x36	0.0510424	1.8280991e-11	0.010825251	0.93813235
2x37	6.2763566e-12	0.44214952	2.986125e-12	0.55785054
2x38	0.16534145	0.3506708	3.6409743e-11	0.48398775
2x39	0.123189226	7.86179e-12	0.046975233	0.82983553
2x40	0.021020556	7.795331e-12	0.13688743	0.842092
2x41	7.5251146e-11	4.357659e-12	0.018175581	0.98182446
2x42	3.397252e-07	0.23135057	0.031280212	0.7373689
2x43	0.030096585	0.0749648	0.01791165	0.8770269
2x44	5.1983908e-12	0.40663204	1.3572846e-12	0.593368
2x45	0.15120246	0.048607156	0.019176103	0.78101426
2x46	1.0300734e-11	0.34527	0.024136899	0.6305931
2x47	0.04475388	0.27635282	0.00594706	0.6729462
2x48	1.2251698e-11	0.39371207	0.01769985	0.5885881
2x49	0.109395854	0.47930244	0.039766748	0.371535
3x0	7.277409e-12	0.9733707	0.026629273	4.1273296e-12
3x1	0.22314176	0.25594357	0.29756474	0.22334997
3x2	0.23710202	0.37832683	0.14550787	0.23906328
3x3	0.22433738	0.4267777	0.12423754	0.22464739
3x4	0.17230682	0.4211037	0.08062991	0.32595965
3x5	0.2049835	0.20142137	0.44596174	0.14763337
3x6	0.22856893	0.3760351	0.15133266	0.24406332
3x7	0.18408556	0.12185753	0.6033079	0.09074893
3x8	0.066422366	0.09798093	0.041705392	0.7938913
3x9	0.24986532	0.39749876	0.13034469	0.2222912
3x10	0.2570924	0.34142327	0.1721066	0.22937776
3x11	0.2031547	0.40647393	0.13091533	0.259456
3x12	0.33669662	0.016709097	8.609388e-12	0.6465943
3x13	0.26150236	0.35976505	0.13209823	0.24663433
3x14	0.010760786	4.9879055e-12	0.02898607	0.9602531
3x15	0.19445124	0.35706708	0.13158157	0.3169001
3x16	6.127063e-12	6.51657e-11	2.201638e-12	1.0
3x17	0.17178576	0.41022304	0.14304972	0.2749415
3x18	6.236585e-11	3.153033e-11	0.7590852	0.24091488
3x19	1.0	2.9469847e-11	7.810941e-11	5.0427856e-11
3x20	0.5999535	1.3377621e-11	6.376822e-12	0.40004647
3x21	2.6450436e-10	0.74817336	0.00074764417	0.25107902
3x22	0.48807797	1.0638588e-11	9.761717e-12	0.511922
3x23	0.46334884	0.09303158	0.020034492	0.4235851
3x24	0.06841937	7.576957e-11	1.1687678e-11	0.9315806
3x25	1.9819738e-12	0.2951795	9.295954e-13	0.7048205
3x26	0.021967325	2.0572801e-12	2.4753635e-10	0.9780327
3x27	0.41195038	0.4561745	0.115734056	0.016141092
3x28	0.14312923	1.309857e-11	3.7548367e-12	0.8568707
3x29	1.31432296e-11	4.6112354e-12	0.00021091594	0.99978906
3x30	0.07709789	2.9722575e-11	1.2282465e-12	0.92290205
3x31	0.20971888	0.020007826	0.00058583525	0.7696874
3x32	0.06359289	1.1946489e-11	0.06926867	0.86713845
3x33	0.071094796	2.969444e-12	0.008618613	0.9202866
3x34	0.034506917	0.09466739	0.09009053	0.78073514
3x35	0.11931798	0.29774007	0.08406291	0.4988791
3x36	0.26441708	0.34876055	0.018427197	0.36839515
3x37	4.339926e-10	0.3354389	1.2779621e-12	0.66456103
3x38	0.4001475	2.3123031e-12	0.026381085	0.5734714
3x39	0.051327724	0.40435734	0.02209418	0.52222073
3x40	0.1801868	0.26969597	0.020612592	0.5295046
3x41	0.05299218	0.055145185	2.269487e-12	0.89186263
3x42	0.23038942	2.447354e-12	2.0157357e-12	0.7696106
3x43	0.09133833	0.35777825	0.018433183	0.53245026
3x44	0.29222172	1.0724676e-11	0.2646184	0.44315997
3x45	0.23713918	2.4530306e-12	0.21703576	0.54582506
3x46	0.08041322	0.4031611	0.045948666	0.47047704
3x47	0.3730856	0.41465718	0.038938645	0.17331858
3x48	0.05677573	6.9223824e-12	0.44233823	0.5008861
3x49	0.12037186	4.0538727e-12	0.040001407	0.83962667
4x0	0.20842203	0.42296067	0.13655752	0.23205969
4x1	0.028338322	7.1207515e-12	3.1532517e-12	0.9716617
4x2	0.08700923	1.6208195e-10	3.862712e-12	0.9129908
4x3	0.2846023	0.40591115	0.11587237	0.19361418
4x4	0.25604948	0.27898648	0.2553326	0.20963144
4x5	0.20831586	0.40360332	0.12854154	0.25953928
4x6	0.21469407	0.3915185	0.13550456	0.25828284
4x7	0.2286984	0.38665524	0.14350285	0.24114348
4x8	0.22141534	0.3576952	0.17057191	0.2503176
4x9	0.24742822	0.35463622	0.12704995	0.27088565
4x10	0.2572848	0.3368972	0.16298743	0.24283063
4x11	0.23973961	0.3491519	0.15959261	0.25151587
4x12	0.22350243	0.38356572	0.13037154	0.26256028
4x13	1.244317e-09	1.4088668e-09	1.0	8.6397384e-10
4x14	0.21248458	0.31440705	0.15526207	0.31784633
4x15	0.30796298	0.14246821	0.4275325	0.12203631
4x16	0.23075359	0.3691105	0.15329108	0.24684483
4x17	3.5285913e-11	1.14526e-11	1.0	9.759562e-12
4x18	1.2975767e-11	0.04526024	0.4301961	0.5245437
4x19	1.464433e-11	7.733597e-12	9.8874465e-05	0.9999012
4x20	0.22753537	3.992692e-11	0.7724646	3.1914953e-11
4x21	0.38742197	2.8082849e-11	0.12729107	0.4852869
4x22	1.1976447e-11	2.7662594e-11	3.0361876e-12	1.0
4x23	1.4707226e-12	2.2419427e-12	1.4345339e-12	1.0
4x24	3.2640058e-12	0.67895144	2.0368592e-12	0.32104856
4x25	0.06176501	1.0037169e-11	3.296954e-11	0.938235
4x26	1.8091058e-12	0.06794814	0.002881189	0.92917067
4x27	0.027568415	0.18648247	0.107027784	0.6789213
4x28	1.5391494e-11	0.23327404	2.090431e-12	0.7667259
4x29	0.060419828	0.056369327	0.015836548	0.86737436
4x30	0.08465838	0.38566598	0.10249989	0.42717573
4x31	0.021595752	2.5124126e-12	1.0484746e-12	0.9784042
4x32	0.12418474	0.007213489	0.0914904	0.7771114
4x33	0.16252097	0.36146167	4.354245e-12	0.47601733
4x34	3.45233e-12	0.11312097	6.9182756e-06	0.8868721
4x35	6.702172e-12	1.31562235e-11	0.0029728329	0.99702716
4x36	0.21400955	7.651585e-12	0.010982885	0.7750076
4x37	0.16967021	0.49806085	0.0473047	0.28496423
4x38	0.027724965	0.4930444	0.0005456194	0.47868496
4x39	6.0495814e-12	1.1515983e-12	0.02389365	0.97610635
4x40	3.3534317e-12	0.38501936	0.01987845	0.59510213
4x41	2.352016e-11	0.7484939	0.006037107	0.24546899
4x42	0.26145363	6.1077016e-12	0.05259627	0.68595016
4x43	0.011524053	2.186257e-12	0.009137609	0.97933835
4x44	0.120651	7.5983855e-12	0.0031216461	0.8762274
4x45	0.1567292	3.6428443e-12	0.06774957	0.7755212
4x46	0.057742223	0.042549495	0.03756954	0.86213875
4x47	0.07153064	8.7600855e-12	0.17034543	0.75812393
4x48	0.007140087	0.034250595	0.025941994	0.9326673
4x49	0.5057628	0.42150217	0.07273496	3.4967313e-12
5x0	0.017270159	8.596995e-12	6.9543607e-12	0.98272985
5x1	0.16993819	1.9005745e-11	2.6305104e-11	0.83006185
5x2	0.22220096	0.32715014	0.22217892	0.22846995
5x3	0.54190433	0.23151411	0.082449764	0.14413173
5x4	0.23307815	0.35727623	0.14347373	0.2661719
5x5	0.22284079	0.37790775	0.13049261	0.26875886
5x6	1.4530117e-11	4.672236e-11	0.0057632676	0.9942367
5x7	0.28985128	0.29839522	0.15739687	0.25435668
5x8	0.25706238	0.36203584	0.15327048	0.22763132
5x9	0.32693556	0.28787425	0.11900889	0.26618126
5x10	0.18328558	0.33499026	0.12514114	0.35658303
5x11	0.23561546	0.35004833	0.15915741	0.25517878
5x12	0.27589166	0.36545664	0.10519029	0.25346136
5x13	0.19012772	0.39917317	0.1762672	0.23443186
5x14	0.25132418	0.3603316	0.13833058	0.25001368
5x15	0.23857331	0.32238913	0.19118091	0.24785662
5x16	0.27078134	0.31849718	0.17623135	0.23449016
5x17	0.2215972	0.3862848	0.12406718	0.26805082
5x18	3.504375e-12	6.49948e-12	0.0070346706	0.99296534
5x19	4.4514843e-12	1.5076248e-11	2.1495652e-12	1.0
5x20	0.40814337	8.689992e-12	0.5918566	9.84469e-11
5x21	0.0859648	1.6212786e-11	0.078867786	0.8351674
5x22	0.059077878	4.2472514e-12	0.019641906	0.92128026
5x23	1.5348882e-12	3.8544493e-12	0.0072267964	0.99277323
5x24	0.022154985	0.39330897	0.014866393	0.56966966
5x25	6.104375e-12	1.26567515e-11	0.03620112	0.96379894
5x26	0.12362159	2.291209e-12	0.20914342	0.66723496
5x27	0.22758977	0.079325944	5.280587e-12	0.69308424
5x28	0.09106605	0.2792677	0.0611008	0.56856537
5x29	0.07625541	0.36119032	0.023505658	0.5390487
5x30	0.07970379	5.0662265e-12	0.015214126	0.90508205
5x31	0.33544794	1.8817144e-11	0.04483198	0.61972016
5x32	0.12318836	0.33569515	1.1581229e-11	0.5411164
5x33	0.23820902	1.6200935e-11	0.03019499	0.73159593
5x34	0.045475837	0.39289686	0.0046413247	0.556986
5x35	0.12385813	0.17834966	0.013709937	0.68408227
5x36	0.27187842	0.009391956	2.4041255e-11	0.7187296
5x37	0.01309742	1.0493082e-11	0.057760675	0.9291419
5x38	0.21389802	1.3295352e-11	0.10699962	0.6791024
5x39	0.06255818	0.07238693	0.06133067	0.80372417
5x40	0.26368162	0.0923696	0.08083465	0.5631141
5x41	0.12897453	6.0059705e-12	0.010727011	0.86029845
5x42	0.22475874	0.018563746	0.062915765	0.69376177
5x43	0.10760915	1.9981282e-11	0.06582437	0.8265665
5x44	0.107614435	1.7464088e-12	7.3321633e-13	0.8923856
5x45	0.061685115	4.4391903e-12	4.4899848e-12	0.9383149
5x46	0.32579732	0.5688042	0.022971848	0.082426704
5x47	0.23325361	0.00957412	0.05434322	0.70282906
5x48	0.019570494	0.10044687	2.2451153e-12	0.87998265
5x49	0.16226517	0.7488899	0.08884488	2.8178915e-12
6x0	8.420077e-11	3.5148873e-11	1.0	2.2264688e-11
6x1	4.953595e-12	4.7160303e-11	4.6822737e-12	1.0
6x2	0.026607268	0.022977795	0.93194675	0.01846818
6x3	0.22739358	0.40062645	0.10885	0.26312992
6x4	0.17470457	0.4739443	0.13006662	0.22128452
6x5	0.22976722	0.37248337	0.14082058	0.25692886
6x6	0.6542669	0.0069566304	0.1352822	0.20349422
6x7	0.060833372	0.33458126	0.0024920139	0.6020933
6x8	0.4401063	0.20184693	0.19051053	0.16753624
6x9	0.22234501	0.39972094	0.112205856	0.26572818
6x10	0.19038956	0.4100247	0.13387404	0.26571172
6x11	5.2215543e-09	2.9383433e-09	1.0	1.9648096e-09
6x12	0.06954951	6.865518e-11	0.93045056	3.1490418e-11
6x13	0.28768536	0.36482513	0.13646567	0.2110238
6x14	0.16212383	2.9378615e-12	0.04517532	0.7927008
6x15	0.1857969	0.44378734	0.12167487	0.2487409
6x16	0.18916555	0.46130353	0.20016062	0.14937024
6x17	0.24286696	0.3918992	0.10684726	0.25838658
6x18	0.015576772	7.6517834e-11	0.034909904	0.9495133
6x19	0.15802081	0.5016004	0.13991033	0.20046848
6x20	1.04615934e-10	1.0448691e-10	3.719823e-11	1.0
6x21	0.48487476	1.0925885e-11	0.41580805	0.099317156
6x22	0.00020297953	0.104655005	1.1711118e-12	0.895142
6x23	0.004474581	3.6889857e-12	3.1306758e-12	0.9955254
6x24	0.39144132	6.229668e-12	0.11915589	0.48940274
6x25	0.19086322	4.5127712e-12	0.07082455	0.73831224
6x26	0.074070714	6.2124928e-12	1.4288733e-10	0.9259293
6x27	0.082547285	7.514628e-12	0.021960255	0.8954925
6x28	0.30259582	3.4984047e-11	0.038869817	0.6585344
6x29	0.2321312	0.7391929	0.028675923	3.1209612e-12
6x30	0.16302831	2.6466665e-12	0.03827227	0.79869944
