"","cell_ID","mDCs","Macrophages","Mast","Monocytes"
"1","0x0",0.644237848697024,0,0,0.355762151302976
"2","0x1",0,0,0,0
"3","0x2",0.537717160635773,0,0.149676152058177,0.31260668730605
"4","0x3",0,0,0,0
"5","0x4",0.239296065979763,0,0,0.760703934020237
"6","0x5",0.526076871961864,0,0,0.473923128038135
"7","0x6",0.205979057973152,0,0.500288291575673,0.293732650451175
"8","0x7",0.413499514387056,0,0,0.586500485612944
"9","0x8",0.477205315744294,0,0,0.522794684255706
"10","0x9",0.454603760405729,0,0,0.545396239594271
"11","0x10",0.465561733460661,0.239257812642312,0,0.295180453897027
"12","0x11",0.253261860087715,0,0.103149168285899,0.643588971626386
"13","0x12",0.417079064504604,0,0,0.582920935495396
"14","0x13",0.421418469131851,0,0.202242802059044,0.376338728809105
"15","0x14",0.413675999457147,0,0.203658648814757,0.382665351728096
"16","0x15",0.399789182593568,0,0.147067293550769,0.453143523855663
"17","0x16",0,0.194906709854384,0.279130247797472,0.525963042348144
"18","0x17",0,0.279688132313519,0.180656088924429,0.539655778762052
"19","0x18",0,0.44154376429098,0,0.55845623570902
"20","0x19",0,0.3769291757798,0,0.6230708242202
"21","0x20",0.233779524920044,0,0,0.766220475079956
"22","0x21",0.74026963066634,0,0,0.25973036933366
"23","0x22",0.297291453606525,0,0,0.702708546393475
"24","0x23",0.554022757012703,0.445977242987297,0,0
"25","0x24",0,0.268259888188061,0.316139144067747,0.415600967744192
"26","0x25",0.404139124493447,0.277193607432766,0,0.318667268073787
"27","0x26",0.652105268304832,0,0,0.347894731695169
"28","0x27",0.818555398079981,0.181444601920019,0,0
"29","0x28",0.664974735977774,0,0.335025264022226,0
"30","0x29",1,0,0,0
"31","0x30",0.336202102999861,0,0,0.663797897000139
"32","0x31",1,0,0,0
"33","0x32",0.587320119726025,0.308234296486383,0.104445583787592,0
"34","0x33",0.918211530949465,0,0.0817884690505353,0
"35","0x34",0,0.184953592159347,0.434557706793741,0.380488701046912
"36","0x35",0.304715467136873,0.238906709939134,0.261160974087605,0.195216848836388
"37","0x36",0,0.210049410148287,0.366746704629734,0.423203885221979
"38","0x37",0.752451261892389,0.247548738107611,0,0
"39","0x38",0.321292842798634,0,0,0.678707157201366
"40","0x39",0.819424680472869,0.180575319527131,0,0
"41","0x40",0,0.478014481009765,0.521985518990235,0
"42","0x41",0.407795558267413,0,0,0.592204441732587
"43","0x42",0.726521843003994,0,0.273478156996006,0
"44","0x43",0.561539928783135,0,0,0.438460071216865
"45","0x44",0.869992691002267,0,0.130007308997733,0
"46","0x45",0.412448615596152,0.587551384403848,0,0
"47","0x46",0.19614922023489,0.258625840747427,0.22089513064379,0.324329808373894
"48","0x47",1,0,0,0
"49","0x48",1,0,0,0
"50","0x49",0.439978567459766,0.560021432540234,0,0
"51","1x0",0,0.24910110639893,0,0.75089889360107
