"","Cancer","Stroma","Ductal"
"0x0",0.663471906820465,0.267386548633908,0.0691415445456268
"0x1",0.569140327116597,0.376706799449585,0.0541528734338172
"0x2",0.77252452747667,0.0891912399819235,0.138284232541407
"0x3",0.593975951767452,0.404383285400525,0.00164076283202296
"0x4",0.801917610762179,0.165492339287961,0.0325900499498599
"0x5",0.813139785454263,0.118694726330301,0.0681654882154356
"0x6",0.818248045430459,0.0644272616636555,0.117324692905885
"0x7",0.789925267738733,0.116940983129386,0.0931337491318814
"0x8",0.88515675720314,0,0.11484324279686
"0x9",0.856397739669121,0.0293698076576093,0.11423245267327
"0x10",0.962785460636159,0.0248934763927616,0.0123210629710794
"0x11",0.863933689858748,0.0105924795582766,0.125473830582976
"0x12",0.847036937527736,0.0493541824006054,0.103608880071659
"0x13",0.797238144238273,0.018730781242382,0.184031074519345
"0x14",0.876943159806187,0.00258959085499556,0.120467249338818
"0x15",0.824795800932439,0.1027434448543,0.072460754213261
"0x16",0.829408293700095,0.0624965933976896,0.108095112902215
"0x17",0.737724311511175,0.123988596771065,0.138287091717759
"0x18",0.540250448708452,0.168144194565761,0.291605356725787
"0x19",0.797805064207225,0.151774211174299,0.0504207246184765
"0x20",0.772985885393855,0.176884986259135,0.0501291283470093
"0x21",0.628105465126874,0.333220230102344,0.0386743047707822
"0x22",0.631529817413059,0.149323743179011,0.21914643940793
"0x23",0.374840927634586,0.379466710466784,0.24569236189863
"0x24",0.734008887603197,0.132464847637014,0.133526264759789
"0x25",0.337733404357344,0.337627022031045,0.324639573611611
"0x26",0.583472488458862,0.281168773311832,0.135358738229307
"0x27",0.532827554909271,0.387235912902809,0.0799365321879197
"0x28",0.385296864727466,0.514646287896266,0.100056847376268
"0x29",0.271052243028451,0.478794800562361,0.250152956409188
"0x30",0.359705505501265,0.280608657089164,0.359685837409571
"0x31",0.602705207409035,0.315941313867181,0.081353478723784
"0x32",0.326146453820463,0.559450606232686,0.11440293994685
"0x33",0.687111705748784,0.246078997724205,0.0668092965270113
"0x34",0.438745586470452,0.48967737595769,0.0715770375718578
"0x35",0.282270790591618,0.677756202305514,0.0399730071028677
"0x36",0.441465584653674,0.453532300636944,0.105002114709381
"0x37",0.317095656594578,0.459731668539936,0.223172674865486
"0x38",0.384874162439287,0.330284210203655,0.284841627357058
"0x39",0.18548384394705,0.498541046420365,0.315975109632585
"0x40",0.484739187997375,0.338380186409075,0.17688062559355
"0x41",0.132806078319353,0.638952691037798,0.228241230642849
"0x42",0.249860762080799,0.580149095297657,0.169990142621545
"0x43",0.376434136076564,0.414644523403955,0.208921340519481
"0x44",0.11708913657672,0.393559319633221,0.489351543790059
"0x45",0.435009253371425,0.415085725715458,0.149905020913117
"0x46",0.316578358393147,0.427049646022318,0.256371995584535
"0x47",0.165046709637338,0.480187634534418,0.354765655828244
"0x48",0.336914138423311,0.440967906313869,0.22211795526282
"0x49",0.369808320313047,0.319494666812128,0.310697012874825
"1x0",0.808403855206544,0.0804899061723936,0.111106238621062
"1x1",0.674186397839207,0.0753026904672074,0.250510911693586
"1x2",0.775585771501463,0.190489163218652,0.0339250652798857
"1x3",0.632466045754539,0.252570884693941,0.114963069551519
"1x4",0.881697229633907,0,0.118302770366093
