"","cell_ID","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"1","0x0",0,0.804224151790054,0.195775848209946,0,0,0,0,0
"2","0x1",0,0.588811988575934,0,0,0.411188011424066,0,0,0
"3","0x2",0,1,0,0,0,0,0,0
"4","0x3",0,0.619140674726859,0,0,0.380859325273141,0,0,0
"5","0x4",0,0.842558927364773,0,0,0,0,0,0.157441072635227
"6","0x5",0,1,0,0,0,0,0,0
"7","0x6",0,0.854976792193725,0,0,0,0.145023207806275,0,0
"8","0x7",0,0.879439741666453,0,0,0.120560258333547,0,0,0
"9","0x8",0,1,0,0,0,0,0,0
"10","0x9",0,1,0,0,0,0,0,0
"11","0x10",0,1,0,0,0,0,0,0
"12","0x11",0.14357122772533,0.85642877227467,0,0,0,0,0,0
"13","0x12",0,1,0,0,0,0,0,0
"14","0x13",0.154335252492552,0.845664747507448,0,0,0,0,0,0
"15","0x14",0,1,0,0,0,0,0,0
"16","0x15",0,1,0,0,0,0,0,0
"17","0x16",0.137690870367259,0.862309129632741,0,0,0,0,0,0
"18","0x17",0.176834071119803,0.680193532422216,0,0,0,0.142972396457981,0,0
"19","0x18",0.421045181933054,0.578954818066946,0,0,0,0,0,0
"20","0x19",0,0.88116794441157,0,0,0.11883205558843,0,0,0
"21","0x20",0,1,0,0,0,0,0,0
"22","0x21",0,0.708119901949966,0.291880098050034,0,0,0,0,0
"23","0x22",0.150428490305748,0.569062986813148,0,0,0,0,0,0.280508522881104
"24","0x23",0.295419234896148,0.258379903199618,0,0,0.446200861904234,0,0,0
"25","0x24",0.157352944792241,0.655489839043393,0,0,0,0.187157216164366,0,0
"26","0x25",0.220431372276448,0.40728315276697,0.100195709649479,0,0.272089765307104,0,0,0
"27","0x26",0.154391470100848,0.53218509820589,0,0,0.181069854781158,0.132353576912103,0,0
"28","0x27",0.118253003618569,0.443117577911232,0,0,0.323157096591653,0.115472321878546,0,0
"29","0x28",0.103507489042903,0.283317476303072,0,0,0.330803810433929,0.144828986173866,0,0.13754223804623
"30","0x29",0.122801886755443,0.311386920256472,0.243209165367114,0,0.322602027620971,0,0,0
"31","0x30",0.309761022972475,0.338931718009158,0,0,0.126484109165714,0,0,0.224823149852653
"32","0x31",0.12685889104847,0.554464231160542,0.318676877790989,0,0,0,0,0
"33","0x32",0,0.505967833391627,0.396175468013364,0,0.0978566985950085,0,0,0
"34","0x33",0,0.727780779316363,0.272219220683637,0,0,0,0,0
"35","0x34",0,0.453284810966594,0,0,0.178773851835058,0.367941337198348,0,0
"36","0x35",0,0.332279878428169,0.322720121520246,0,0.142632772953944,0.20236722709764,0,0
"37","0x36",0.117645237619191,0.413473233778075,0,0,0.195801690439767,0.273079838162967,0,0
"38","0x37",0.218906336753369,0.309768600827162,0.284037939127217,0,0.187287123292252,0,0,0
"39","0x38",0.34814425824349,0.226541970281581,0,0,0.228117305670055,0,0,0.197196465804875
"40","0x39",0.261274626304774,0.20783129427986,0.341915471951708,0,0.188978607463659,0,0,0
"41","0x40",0.237914335473158,0.432086266860287,0,0,0.17447595101477,0.155523446651786,0,0
"42","0x41",0.240667010454326,0.105456784187694,0.195299516633068,0,0.284037911046025,0,0,0.174538777678887
"43","0x42",0.122632178751773,0.188698556190954,0.184270730716906,0,0.267380042295846,0.23701849204452,0,0
"44","0x43",0.266719469337017,0.346584481156883,0,0,0.3866960495061,0,0,0
"45","0x44",0.584091443212147,0,0,0,0.263474775885643,0.15243378090221,0,0
"46","0x45",0.171510781600079,0.298871894063472,0,0,0.324348683906956,0,0,0.205268640429494
"47","0x46",0.190716205001166,0.296202011906,0.154679780466561,0,0.195663103116609,0.162738899509664,0,0
"48","0x47",0.417220612446749,0.115627868179226,0,0,0.467151519374025,0,0,0
"49","0x48",0.177726462015607,0.202553134111753,0.265086292755605,0,0.241305470418354,0,0,0.113328640698682
"50","0x49",0.420931824420444,0.217991509840891,0,0,0.361076665738666,0,0,0
