"","Cancer","Stroma","Ductal","coordX","coordY"
"0x0",0.607941847258824,0.220569533605866,0.171488619135311,0,0
"0x1",0.498244722323075,0.376470417808591,0.125284859868334,0,1
"0x2",0.584845308707669,0.204991012898829,0.210163678393502,0,2
"0x3",0.524710610510594,0.383645437545505,0.0916439519439018,0,3
"0x4",0.604456448093985,0.263593747458167,0.131949804447849,0,4
"0x5",0.628096994868915,0.163836186128937,0.208066819002148,0,5
"0x6",0.585764473950665,0.19380529645056,0.220430229598774,0,6
"0x7",0.62736826552025,0.206259804977355,0.166371929502395,0,7
"0x8",0.689398890436811,0.15016576137243,0.160435348190758,0,8
"0x9",0.719065781577326,0.134330800978756,0.146603417443918,0,9
"0x10",0.644437868254419,0.220909479786904,0.134652651958677,0,10
"0x11",0.614782206933274,0.109005736581287,0.276212056485439,0,11
"0x12",0.619796486418086,0.1405726777289,0.239630835853015,0,12
"0x13",0.645843730959673,0.116522902115613,0.237633366924715,0,13
"0x14",0.663482462975733,0.116630979079449,0.219886557944818,0,14
"0x15",0.680232307449111,0.189668682448209,0.13009901010268,0,15
"0x16",0.584325696116094,0.157023225027978,0.258651078855928,0,16
"0x17",0.565928584767021,0.191963867816138,0.24210754741684,0,17
"0x18",0.444378278444935,0.248980733004033,0.306640988551032,0,18
"0x19",0.616614640731582,0.235777293613088,0.14760806565533,0,19
"0x20",0.588502654691399,0.239093809898875,0.172403535409726,0,20
"0x21",0.546812558557928,0.368594971440564,0.0845924700015082,0,21
"0x22",0.456896658217948,0.279585697809924,0.263517643972128,0,22
"0x23",0.338227072463274,0.400400841761911,0.261372085774815,0,23
"0x24",0.506027379183209,0.260869556664411,0.23310306415238,0,24
"0x25",0.386783243421087,0.36759107447121,0.245625682107703,0,25
"0x26",0.491448491230089,0.279495856327734,0.229055652442177,0,26
"0x27",0.435047198861146,0.392050360351903,0.172902440786951,0,27
"0x28",0.296123559164873,0.533654822705345,0.170221618129781,0,28
"0x29",0.339637012388949,0.484136737383201,0.17622625022785,0,29
"0x30",0.361585554632625,0.357283857203174,0.281130588164201,0,30
"0x31",0.45401200847549,0.328042250567794,0.217945740956716,0,31
"0x32",0.405222797654111,0.470943184733761,0.123834017612128,0,32
"0x33",0.510349833900632,0.297393201288608,0.19225696481076,0,33
"0x34",0.373250054784849,0.467345152036261,0.159404793178889,0,34
