"","cell_ID","Cancer","Stroma","Ductal"
"1","0x0",0.906125392529214,0.0938746074707856,0
"2","0x1",0.73116834196874,0.268831658031261,0
"3","0x2",1,0,0
"4","0x3",0.744235232826354,0.255764767173646,0
"5","0x4",0.869076210473898,0.130923789526102,0
"6","0x5",1,0,0
"7","0x6",0.866206682346322,0.133793317653677,0
"8","0x7",1,0,0
"9","0x8",1,0,0
"10","0x9",1,0,0
"11","0x10",1,0,0
"12","0x11",1,0,0
"13","0x12",1,0,0
"14","0x13",1,0,0
"15","0x14",1,0,0
"16","0x15",1,0,0
"17","0x16",1,0,0
"18","0x17",0.718981308237201,0.171633363474016,0.109385328288782
"19","0x18",0.692195769794161,0,0.307804230205839
"20","0x19",0.914719116068962,0.0852808839310386,0
"21","0x20",0.881006049103905,0.118993950896095,0
"22","0x21",0.793407902981165,0.206592097018835,0
"23","0x22",0.678652542695151,0.181656979140683,0.139690478164166
"24","0x23",0.64486911890534,0.35513088109466,0
"25","0x24",0.755777328003653,0.244222671996347,0
"26","0x25",0.511315287644795,0.278961663049047,0.209723049306159
"27","0x26",0.691056856741627,0.308943143258373,0
"28","0x27",0.608502462782459,0.391497537217541,0
"29","0x28",0.295685615882737,0.704314384117263,0
"30","0x29",0.448467662025689,0.551532337974311,0
"31","0x30",0.424881551374737,0.337904285507859,0.237214163117404
"32","0x31",0.628897158682112,0.254868206408313,0.116234634909575
"33","0x32",0.55877316447346,0.44122683552654,0
"34","0x33",0.800422754245077,0.199577245754922,0
"35","0x34",0.40530682823514,0.59469317176486,0
"36","0x35",0.30203614088618,0.69796385911382,0
"37","0x36",0.287930294079668,0.564794017462263,0.147275688458069
"38","0x37",0.352800638859874,0.528876324200347,0.118323036939778
"39","0x38",0.335516285405846,0.325291152989862,0.339192561604292
"40","0x39",0.247902045181755,0.553889949994729,0.198208004823516
"41","0x40",0.495301932554485,0.369147841762411,0.135550225683105
"42","0x41",0.103328799758963,0.65314793294031,0.243523267300726
"43","0x42",0.123077928765958,0.771447786899244,0.105474284334798
"44","0x43",0.391763496752945,0.377245496851277,0.230991006395777
"45","0x44",0,0.426087016570641,0.573912983429359
"46","0x45",0.531564369772178,0.468435630227822,0
"47","0x46",0.39439041916921,0.60560958083079,0
"48","0x47",0,0.444273726275328,0.555726273724672
"49","0x48",0.169127326463182,0.645168703866799,0.185703969670019
"50","0x49",0.280431937655255,0.277119174632615,0.44244888771213
"51","1x0",1,0,0
"52","1x1",1,0,0
"53","1x2",0.859164374324383,0.140835625675617,0
"54","1x3",0.791895688154144,0.208104311845856,0
"55","1x4",1,0,0
"56","1x5",0.896060457255426,0.103939542744574,0
"57","1x6",1,0,0
"58","1x7",1,0,0
"59","1x8",1,0,0
"60","1x9",1,0,0
"61","1x10",1,0,0
"62","1x11",1,0,0
"63","1x12",0.837318261434901,0,0.162681738565099
"64","1x13",1,0,0
"65","1x14",1,0,0
"66","1x15",1,0,0
"67","1x16",0.650252004055506,0.349747995944494,0
"68","1x17",1,0,0
"69","1x18",0.916660794533119,0.0833392054668807,0
"70","1x19",0.883937523882058,0.116062476117941,0
"71","1x20",0.716034795680044,0.283965204319956,0
"72","1x21",0.601859883294809,0.198023355659146,0.200116761046045
"73","1x22",0.54386559110435,0.343328035968373,0.112806372927277
"74","1x23",0.72772567705953,0.27227432294047,0
"75","1x24",0.809705451589578,0.190294548410422,0
"76","1x25",0.572477526916746,0.427522473083254,0
"77","1x26",0.660214029605212,0.339785970394788,0
"78","1x27",0.482874491789732,0.415948489589837,0.101177018620431
"79","1x28",0.481497746346166,0.209826686648512,0.308675567005322
"80","1x29",0.123078337389439,0.405661806839236,0.471259855771324
"81","1x30",0.438743734218077,0.561256265781923,0
"82","1x31",0.606767039319338,0.393232960680662,0
"83","1x32",0.341244419156617,0.488704892813153,0.17005068803023
"84","1x33",0.535063440477168,0.464936559522832,0
"85","1x34",0.304244471136343,0.494494653518286,0.201260875345371
"86","1x35",0.182874262762672,0.593065013745296,0.224060723492032
"87","1x36",0.424563761038867,0.46213809656248,0.113298142398653
"88","1x37",0.162211964058079,0.570973982666428,0.266814053275493
"89","1x38",0.338396374239795,0.461952620670821,0.199651005089384
"90","1x39",0.562884673334083,0.437115326665917,0
"91","1x40",0.19164254042193,0.80835745957807,0
"92","1x41",0.267223734536654,0.732776265463346,0
"93","1x42",0.247406159015712,0.510194396086002,0.242399444898286
"94","1x43",0.096927551645962,0.903072448354038,0
"95","1x44",0,0.725517356111279,0.274482643888721
"96","1x45",0.358399397215505,0.641600602784495,0
"97","1x46",0.491581772279122,0.508418227720878,0
"98","1x47",0.20307545234609,0.626035664732249,0.170888882921661
"99","1x48",0,0.215721961465829,0.784278038534171
"100","1x49",0.501512314778074,0.498487685221926,0
"101","2x0",1,0,0
"102","2x1",0.912094207535662,0.0879057924643384,0
"103","2x2",1,0,0
"104","2x3",1,0,0
"105","2x4",1,0,0
"106","2x5",0.896562334275858,0.103437665724142,0
"107","2x6",1,0,0
"108","2x7",1,0,0
"109","2x8",1,0,0
"110","2x9",1,0,0
"111","2x10",1,0,0
"112","2x11",1,0,0
"113","2x12",1,0,0
"114","2x13",1,0,0
"115","2x14",1,0,0
"116","2x15",1,0,0
"117","2x16",0.722228229502189,0.277771770497811,0
"118","2x17",1,0,0
"119","2x18",0.809309410197471,0.190690589802529,0
"120","2x19",0.671396566419169,0.112331196690402,0.216272236890428
"121","2x20",0.889526074911173,0.110473925088827,0
"122","2x21",0.583847021406778,0.416152978593222,0
"123","2x22",0.733194302870261,0.128828174860611,0.137977522269128
"124","2x23",0.69099300886357,0.30900699113643,0
"125","2x24",0.712017278833802,0.287982721166198,0
"126","2x25",0.535309049087616,0.324398635011396,0.140292315900988
"127","2x26",0.704459392874843,0.295540607125157,0
"128","2x27",0.620178549863422,0.379821450136578,0
"129","2x28",0.186149062895259,0.813850937104741,0
"130","2x29",0.605453334563921,0.213952449389179,0.180594216046901
"131","2x30",0.39154556057725,0.427665389807306,0.180789049615444
"132","2x31",0.337169901292742,0.543597918055385,0.119232180651873
"133","2x32",0.177123584197974,0.420039708542451,0.402836707259575
"134","2x33",0.406359515583069,0.593640484416931,0
"135","2x34",0.575350199298959,0.424649800701041,0
"136","2x35",0.768214739624724,0.231785260375276,0
"137","2x36",0.380917535670685,0.619082464329315,0
"138","2x37",0,0.32257214618416,0.67742785381584
"139","2x38",0.191617185505172,0.673205479168583,0.135177335326245
"140","2x39",0.181830497984096,0.416484260677599,0.401685241338304
"141","2x40",0.237842977784106,0.62128260662346,0.140874415592433
"142","2x41",0.199428656491398,0.39941432851171,0.401157014996892
"143","2x42",0.351335848628704,0.536317196097485,0.112346955273811
"144","2x43",0.116514291907077,0.733664457478901,0.149821250614022
"145","2x44",0,0.454926145878993,0.545073854121007
"146","2x45",0.320492886903095,0.406939062559498,0.272568050537407
"147","2x46",0.222822692434511,0.777177307565489,0
"148","2x47",0.105796682166253,0.760139353686772,0.134063964146974
"149","2x48",0.109937969371939,0.547120461422109,0.342941569205952
"150","2x49",0,0.541522402700952,0.458477597299048
"151","3x0",0.898201969712804,0.101798030287196,0
"152","3x1",1,0,0
"153","3x2",0.593022550306902,0,0.406977449693098
"154","3x3",1,0,0
"155","3x4",1,0,0
"156","3x5",1,0,0
"157","3x6",1,0,0
"158","3x7",1,0,0
"159","3x8",1,0,0
"160","3x9",1,0,0
"161","3x10",1,0,0
"162","3x11",1,0,0
"163","3x12",1,0,0
"164","3x13",1,0,0
"165","3x14",1,0,0
"166","3x15",1,0,0
"167","3x16",1,0,0
"168","3x17",1,0,0
"169","3x18",1,0,0
"170","3x19",1,0,0
"171","3x20",0.79718573179378,0.20281426820622,0
"172","3x21",0.470244201840351,0.529755798159649,0
"173","3x22",0.923507082499014,0.0764929175009856,0
"174","3x23",0.8827844357138,0.1172155642862,0
"175","3x24",0.643873451233759,0.356126548766241,0
"176","3x25",0.346322427615048,0.653677572384952,0
"177","3x26",0.453918511825001,0.44121595917267,0.104865529002328
"178","3x27",0.602349734522888,0.397650265477112,0
"179","3x28",0.366056312403305,0.203040632463514,0.430903055133181
"180","3x29",0.694416140793387,0.305583859206614,0
"181","3x30",0.162511767835992,0.630187925457475,0.207300306706533
"182","3x31",0.400111055746792,0.599888944253208,0
"183","3x32",0.678228014658055,0.321771985341945,0
"184","3x33",0.446093733327425,0.553906266672575,0
"185","3x34",0.148659040808841,0.748255258022346,0.103085701168813
"186","3x35",0,0.746278156743813,0.253721843256187
"187","3x36",0.531378941017942,0.468621058982058,0
"188","3x37",0.268582796093937,0.619985754807098,0.111431449098965
"189","3x38",0.336744625654624,0.420878562454036,0.24237681189134
"190","3x39",0.199948394824294,0.800051605175706,0
"191","3x40",0,0.779657206140349,0.220342793859651
"192","3x41",0,0.673270783985031,0.326729216014969
"193","3x42",0.180385010318971,0.52656747586513,0.293047513815899
"194","3x43",0.172922092678095,0.718057293674275,0.10902061364763
"195","3x44",0.487674534522565,0.308148048680236,0.204177416797199
"196","3x45",0.427619413521517,0.371929479370016,0.200451107108468
"197","3x46",0.416799519337403,0.583200480662597,0
"198","3x47",0.235970743924925,0.41027065697827,0.353758599096804
"199","3x48",0.623205508458814,0.376794491541186,0
"200","3x49",0.149258165531299,0.455480056760066,0.395261777708635
"201","4x0",1,0,0
"202","4x1",0.861499143250059,0.138500856749941,0
"203","4x2",0.749151037741695,0.112723859767218,0.138125102491086
"204","4x3",1,0,0
"205","4x4",1,0,0
"206","4x5",1,0,0
"207","4x6",1,0,0
"208","4x7",1,0,0
"209","4x8",1,0,0
"210","4x9",1,0,0
"211","4x10",1,0,0
"212","4x11",1,0,0
"213","4x12",1,0,0
"214","4x13",1,0,0
"215","4x14",1,0,0
"216","4x15",1,0,0
"217","4x16",1,0,0
"218","4x17",1,0,0
"219","4x18",1,0,0
"220","4x19",0.862722897991108,0.137277102008892,0
"221","4x20",1,0,0
"222","4x21",0.906709711107731,0.0932902888922689,0
"223","4x22",0.708239062974776,0,0.291760937025224
"224","4x23",0.65879026573631,0.34120973426369,0
"225","4x24",0.625254730260494,0.374745269739506,0
"226","4x25",0.734127753148681,0.265872246851319,0
"227","4x26",0.484017415987654,0.515982584012346,0
"228","4x27",0.629775675116276,0.370224324883724,0
"229","4x28",0.428473748814364,0.437804140486651,0.133722110698985
"230","4x29",0.260915377954689,0.739084622045311,0
"231","4x30",0.44080125177224,0.55919874822776,0
"232","4x31",0,0.348660831566862,0.651339168433138
"233","4x32",0.234720561650492,0.61788187565051,0.147397562698998
"234","4x33",0.487770299630047,0.512229700369953,0
"235","4x34",0.323909364163936,0.554992151612825,0.121098484223238
"236","4x35",0.379466091708723,0.496600640660012,0.123933267631265
"237","4x36",0.308111916100541,0.691888083899459,0
"238","4x37",0.37157617214513,0.62842382785487,0
"239","4x38",0.342503969754393,0.312040724034395,0.345455306211212
"240","4x39",0,0.38550832990715,0.61449167009285
"241","4x40",0.176680958275817,0.823319041724183,0
"242","4x41",0.194482901397987,0.576991894197515,0.228525204404498
"243","4x42",0.299700294653944,0.700299705346055,0
"244","4x43",0.498676821211925,0.501323178788075,0
"245","4x44",0,0.802953002699664,0.197046997300336
"246","4x45",0.307437269775571,0.421172664866075,0.271390065358354
"247","4x46",0.184495521363459,0.552688320142211,0.26281615849433
"248","4x47",0.214141300796405,0.58439113476188,0.201467564441715
"249","4x48",0,0.717546716114028,0.282453283885972
"250","4x49",0.202626069242179,0.515898568742615,0.281475362015205
"251","5x0",0.849612115251782,0,0.150387884748218
"252","5x1",0.854122034592377,0.145877965407623,0
"253","5x2",1,0,0
"254","5x3",1,0,0
"255","5x4",1,0,0
"256","5x5",1,0,0
"257","5x6",1,0,0
"258","5x7",1,0,0
"259","5x8",1,0,0
"260","5x9",1,0,0
"261","5x10",1,0,0
"262","5x11",1,0,0
"263","5x12",1,0,0
