,x,y
7x49,7,49
8x0,8,0
8x1,8,1
8x2,8,2
8x3,8,3
8x4,8,4
8x5,8,5
8x6,8,6
8x7,8,7
8x8,8,8
8x9,8,9
8x10,8,10
8x11,8,11
8x12,8,12
8x13,8,13
8x14,8,14
8x15,8,15
8x16,8,16
8x17,8,17
8x18,8,18
8x19,8,19
8x20,8,20
8x21,8,21
8x22,8,22
8x23,8,23
8x24,8,24
8x25,8,25
8x26,8,26
8x27,8,27
8x28,8,28
8x29,8,29
8x30,8,30
8x31,8,31
8x32,8,32
8x33,8,33
8x34,8,34
8x35,8,35
8x36,8,36
8x37,8,37
8x38,8,38
8x39,8,39
8x40,8,40
8x41,8,41
8x42,8,42
8x43,8,43
8x44,8,44
8x45,8,45
8x46,8,46
8x47,8,47
8x48,8,48
8x49,8,49
9x0,9,0
9x1,9,1
9x2,9,2
9x3,9,3
9x4,9,4
9x5,9,5
9x6,9,6
9x7,9,7
9x8,9,8
9x9,9,9
9x10,9,10
9x11,9,11
9x12,9,12
9x13,9,13
9x14,9,14
9x15,9,15
9x16,9,16
9x17,9,17
9x18,9,18
9x19,9,19
9x20,9,20
9x21,9,21
9x22,9,22
9x23,9,23
9x24,9,24
9x25,9,25
9x26,9,26
9x27,9,27
9x28,9,28
9x29,9,29
9x30,9,30
9x31,9,31
9x32,9,32
9x33,9,33
9x34,9,34
9x35,9,35
9x36,9,36
9x37,9,37
9x38,9,38
9x39,9,39
9x40,9,40
9x41,9,41
9x42,9,42
9x43,9,43
9x44,9,44
9x45,9,45
9x46,9,46
9x47,9,47
9x48,9,48
9x49,9,49
10x0,10,0
10x1,10,1
10x2,10,2
10x3,10,3
10x4,10,4
10x5,10,5
10x6,10,6
10x7,10,7
10x8,10,8
10x9,10,9
10x10,10,10
10x11,10,11
10x12,10,12
10x13,10,13
10x14,10,14
10x15,10,15
10x16,10,16
10x17,10,17
10x18,10,18
10x19,10,19
10x20,10,20
10x21,10,21
10x22,10,22
10x23,10,23
10x24,10,24
10x25,10,25
10x26,10,26
10x27,10,27
10x28,10,28
10x29,10,29
10x30,10,30
10x31,10,31
10x32,10,32
10x33,10,33
10x34,10,34
10x35,10,35
10x36,10,36
10x37,10,37
10x38,10,38
10x39,10,39
10x40,10,40
10x41,10,41
10x42,10,42
10x43,10,43
10x44,10,44
10x45,10,45
10x46,10,46
10x47,10,47
10x48,10,48
10x49,10,49
11x0,11,0
11x1,11,1
11x2,11,2
11x3,11,3
11x4,11,4
11x5,11,5
11x6,11,6
11x7,11,7
11x8,11,8
11x9,11,9
11x10,11,10
11x11,11,11
11x12,11,12
11x13,11,13
11x14,11,14
11x15,11,15
11x16,11,16
11x17,11,17
11x18,11,18
11x19,11,19
11x20,11,20
11x21,11,21
11x22,11,22
11x23,11,23
11x24,11,24
11x25,11,25
11x26,11,26
11x27,11,27
11x28,11,28
11x29,11,29
11x30,11,30
11x31,11,31
11x32,11,32
11x33,11,33
11x34,11,34
11x35,11,35
11x36,11,36
11x37,11,37
11x38,11,38
11x39,11,39
11x40,11,40
11x41,11,41
11x42,11,42
11x43,11,43
11x44,11,44
11x45,11,45
11x46,11,46
11x47,11,47
11x48,11,48
11x49,11,49
12x0,12,0
12x1,12,1
12x2,12,2
12x3,12,3
12x4,12,4
12x5,12,5
12x6,12,6
12x7,12,7
12x8,12,8
12x9,12,9
12x10,12,10
12x11,12,11
12x12,12,12
12x13,12,13
12x14,12,14
12x15,12,15
12x16,12,16
12x17,12,17
12x18,12,18
12x19,12,19
12x20,12,20
12x21,12,21
12x22,12,22
12x23,12,23
12x24,12,24
12x25,12,25
12x26,12,26
12x27,12,27
12x28,12,28
12x29,12,29
12x30,12,30
12x31,12,31
12x32,12,32
12x33,12,33
12x34,12,34
12x35,12,35
12x36,12,36
12x37,12,37
12x38,12,38
12x39,12,39
12x40,12,40
12x41,12,41
12x42,12,42
12x43,12,43
12x44,12,44
12x45,12,45
12x46,12,46
12x47,12,47
12x48,12,48
12x49,12,49
13x0,13,0
13x1,13,1
13x2,13,2
13x3,13,3
13x4,13,4
13x5,13,5
13x6,13,6
13x7,13,7
13x8,13,8
13x9,13,9
13x10,13,10
13x11,13,11
13x12,13,12
13x13,13,13
13x14,13,14
13x15,13,15
13x16,13,16
13x17,13,17
13x18,13,18
13x19,13,19
13x20,13,20
13x21,13,21
13x22,13,22
13x23,13,23
13x24,13,24
13x25,13,25
13x26,13,26
13x27,13,27
13x28,13,28
13x29,13,29
13x30,13,30
13x31,13,31
13x32,13,32
13x33,13,33
13x34,13,34
13x35,13,35
13x36,13,36
13x37,13,37
13x38,13,38
13x39,13,39
13x40,13,40
13x41,13,41
13x42,13,42
13x43,13,43
13x44,13,44
13x45,13,45
13x46,13,46
13x47,13,47
13x48,13,48
13x49,13,49
14x0,14,0
14x1,14,1
14x2,14,2
14x3,14,3
