"","Cancer","Ductal","Stroma","coordX","coordY"
"0x0",0.400689560801162,0.355629069821458,0.24368136937738,0,0
"0x1",0.346333243311115,0.234429722089365,0.419237034599519,0,1
"0x2",0.43327167528179,0.331238551330573,0.235489773387637,0,2
"0x3",0.318105666073268,0.267551969892741,0.414342364033991,0,3
"0x4",0.400654353045259,0.278614230557912,0.320731416396829,0,4
"0x5",0.490163718242258,0.320542554318517,0.189293727439225,0,5
"0x6",0.434217756366751,0.340470672212795,0.225311571420454,0,6
"0x7",0.403105913963903,0.34939275890274,0.247501327133357,0,7
"0x8",0.414231559347953,0.357161948849393,0.228606491802655,0,8
"0x9",0.482003330432033,0.338573306842874,0.179423362725093,0,9
"0x10",0.480204328895568,0.249453672799059,0.270341998305373,0,10
"0x11",0.463478930878061,0.365892038461451,0.170629030660488,0,11
"0x12",0.506867847712889,0.304001701450021,0.18913045083709,0,12
"0x13",0.490128520347125,0.355781323297205,0.15409015635567,0,13
"0x14",0.480707122638229,0.354603317102234,0.164689560259537,0,14
"0x15",0.431707467466835,0.323127452436482,0.245165080096684,0,15
"0x16",0.428727385554522,0.368512444707812,0.202760169737666,0,16
"0x17",0.404986390271571,0.364214671686338,0.230798938042091,0,17
"0x18",0.326536284759539,0.322455704542396,0.351008010698064,0,18
"0x19",0.392995835154217,0.342744568817325,0.264259596028458,0,19
"0x20",0.354926520797788,0.339535264613773,0.305538214588438,0,20
"0x21",0.410456755284508,0.223433128860472,0.36611011585502,0,21
"0x22",0.315289544513552,0.342461401692549,0.342249053793898,0,22
"0x23",0.298099487764592,0.28025337435201,0.421647137883398,0,23
"0x24",0.338825787639523,0.338323680607492,0.322850531752985,0,24
"0x25",0.350320922041358,0.259016273204527,0.390662804754115,0,25
"0x26",0.388127783990251,0.294486459064097,0.317385756945652,0,26
"0x27",0.359247763656493,0.23521939384021,0.405532842503297,0,27
"0x28",0.210765756538171,0.265060614672038,0.524173628789791,0,28
"0x29",0.299248442204892,0.210201515278617,0.490550042516491,0,29
"0x30",0.305657252101045,0.274428982204464,0.419913765694491,0,30
"0x31",0.337312137631378,0.308614860469402,0.35407300189922,0,31
"0x32",0.247114521684415,0.243758323404212,0.509127154911374,0,32
"0x33",0.356254193636371,0.305821842196051,0.337923964167578,0,33
"0x34",0.270265900069136,0.237457959275518,0.492276140655346,0,34
"0x35",0.295978583186016,0.165714373813965,0.53830704300002,0,35
"0x36",0.256385710181305,0.287700336529222,0.455913953289473,0,36
"0x37",0.232835110642174,0.253265797939012,0.513899091418814,0,37
"0x38",0.31722773126341,0.237503816364642,0.445268452371948,0,38
"0x39",0.201952077656028,0.342381138684614,0.455666783659358,0,39
"0x40",0.280212697001714,0.320047989110963,0.399739313887323,0,40
"0x41",0.213860252600647,0.195242834469706,0.590896912929648,0,41
"0x42",0.178564782443214,0.219742051890217,0.601693165666569,0,42
"0x43",0.289133128717591,0.305995808826766,0.404871062455643,0,43
"0x44",0.247944792506632,0.332244919771983,0.419810287721385,0,44
"0x45",0.295525234097751,0.232194260107791,0.472280505794457,0,45
"0x46",0.281156898917518,0.249399212900039,0.469443888182443,0,46
"0x47",0.263677557963473,0.250781680587993,0.485540761448534,0,47
"0x48",0.22231139338292,0.187328662541291,0.59035994407579,0,48
"0x49",0.345781771360515,0.252109342396588,0.402108886242897,0,49
"1x0",0.454405098641976,0.343755756118892,0.201839145239132,1,0
"1x1",0.440125497636721,0.335029338106746,0.224845164256532,1,1
"1x2",0.403915947500028,0.271220417327175,0.324863635172797,1,2
"1x3",0.380214618502592,0.276919511750604,0.342865869746805,1,3
"1x4",0.522107193619213,0.295279521906379,0.182613284474409,1,4
"1x5",0.466556520049527,0.30428403756184,0.229159442388633,1,5
"1x6",0.482747255662497,0.318153490594439,0.199099253743064,1,6
"1x7",0.459003560319101,0.355942861059305,0.185053578621594,1,7
