"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.477929591583242,0.155671586515924,0.205270206396837,0.161128615503997,0,0
"0x1",0.499627471618626,0.144914275336486,0.171727202063534,0.183731050981355,0,1
"0x2",0.42748304532741,0.142410606151254,0.187970247294804,0.242136101226532,0,2
"0x3",0.473419393103564,0.19900629330988,0.14142758443983,0.186146729146726,0,3
"0x4",0.336619825953871,0.186164724464964,0.20052716673741,0.276688282843755,0,4
"0x5",0.473627527920766,0.121125955860384,0.205338361182829,0.199908155036022,0,5
"0x6",0.37827795818004,0.165163928931521,0.265650475140771,0.190907637747668,0,6
"0x7",0.50281988929499,0.154368740817705,0.159292213365562,0.183519156521742,0,7
"0x8",0.441597892306564,0.172599457209146,0.183113940538138,0.202688709946151,0,8
"0x9",0.417527125839059,0.158134598031464,0.218923356118718,0.205414920010759,0,9
"0x10",0.444769220443081,0.178830563598426,0.191387915330785,0.185012300627708,0,10
"0x11",0.398232864257642,0.192603530277277,0.195941688353067,0.213221917112014,0,11
"0x12",0.398791196910148,0.196190298660672,0.20680671193252,0.198211792496661,0,12
"0x13",0.387208832495452,0.178401293009593,0.223438315868799,0.210951558626155,0,13
"0x14",0.398002614988674,0.170436168517838,0.225314855013359,0.20624636148013,0,14
"0x15",0.453203904425467,0.172223583162042,0.183634574391633,0.190937938020858,0,15
"0x16",0.38566719425725,0.15335035182054,0.237576220957966,0.223406232964243,0,16
"0x17",0.388037180954362,0.154864801669102,0.257109082328752,0.199988935047783,0,17
"0x18",0.39638921674633,0.21082984542727,0.190906373231357,0.201874564595043,0,18
"0x19",0.426473156391841,0.212053840210075,0.174882977704071,0.186590025694013,0,19
"0x20",0.350946187873985,0.157468666005392,0.190109361545719,0.301475784574904,0,20
"0x21",0.445337066479286,0.185527114671839,0.192273709525319,0.176862109323556,0,21
"0x22",0.380637333897686,0.179571518660106,0.200374297556875,0.239416849885334,0,22
"0x23",0.449056952226097,0.217683418584662,0.127795696197275,0.205463932991966,0,23
"0x24",0.374802747957507,0.177013518401232,0.248534196348569,0.199649537292693,0,24
"0x25",0.472517909689563,0.202983742906555,0.155666321731601,0.168832025672282,0,25
"0x26",0.425342020305694,0.153512772815477,0.217927635066276,0.203217571812553,0,26
"0x27",0.435138184591334,0.165624950782022,0.185266292929753,0.213970571696892,0,27
"0x28",0.408768757637027,0.174173779946541,0.190888832711161,0.226168629705272,0,28
"0x29",0.483162220619907,0.164127343757639,0.144897183202145,0.207813252420309,0,29
"0x30",0.395026607294388,0.226592971343409,0.155374188473522,0.223006232888681,0,30
"0x31",0.474954175007106,0.198690491449075,0.138361522937905,0.187993810605913,0,31
"0x32",0.419805383507772,0.252470075811129,0.159378688123609,0.16834585255749,0,32
"0x33",0.449736527197808,0.185574587417459,0.181021895362778,0.183666990021956,0,33
"0x34",0.299693264124901,0.199238364831258,0.293596368531103,0.207472002512738,0,34
"0x35",0.468403183135885,0.160754125739095,0.183044147079675,0.187798544045345,0,35
"0x36",0.378075324862768,0.189054151331666,0.242433169695566,0.190437354109999,0,36
"0x37",0.42580272049095,0.223366409309908,0.113123798842651,0.237707071356491,0,37
"0x38",0.33150041429483,0.227786809091233,0.172621611803983,0.268091164809954,0,38
"0x39",0.483715337633845,0.182479745253271,0.155782813418072,0.178022103694811,0,39
"0x40",0.401679493480623,0.180604942650467,0.221370713915165,0.196344849953746,0,40
