"","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x0",0.123642135438951,0.503067341184475,0.135662638018396,0.122607437615172,0.0602829156375028,0.0547375321055027,0,0
"0x1",0.0759270467454966,0.400326843899693,0.151233545025328,0.226037360915997,0.0628629039816043,0.0836122994318813,0,1
"0x2",0.150628431508178,0.494095477790715,0.127112530963615,0.0745089720862072,0.0660799585010192,0.087574629150265,0,2
"0x3",0.0470169761632532,0.44926175422944,0.147602868298932,0.242067421514317,0.0407391379695706,0.0733118418244876,0,3
"0x4",0.067730061063096,0.537105637485768,0.0380963317517288,0.175348868932371,0.0386854655842487,0.143033635182788,0,4
"0x5",0.172422325864989,0.511911895736145,0.0566925542162615,0.147521783915167,0.0454639881761941,0.0659874520912435,0,5
"0x6",0.155181807116614,0.496949405396908,0.060336930765925,0.0723263254928522,0.11433342039473,0.100872110832971,0,6
"0x7",0.119505004103756,0.511319732342507,0.0810807117184753,0.125819720156926,0.0588132973171587,0.103461534361177,0,7
"0x8",0.085828341261365,0.622961235898429,0.0688090504218898,0.0923452481832895,0.06787244777941,0.0621836764556172,0,8
"0x9",0.0981593874552635,0.621891826738878,0.0363416980076303,0.114091853637662,0.0597061053538335,0.0698091288067322,0,9
"0x10",0.0910031313727042,0.532180290316816,0.0713279198080902,0.150603776066229,0.0614811816851889,0.0934037007509714,0,10
"0x11",0.211687907952122,0.508370070083865,0.0368410240117964,0.0782267109214599,0.0647362035708195,0.100138083459937,0,11
"0x12",0.172741191577118,0.547913012847554,0.0217602076553322,0.114631826876884,0.0496093882778814,0.0933443727652297,0,12
"0x13",0.17769797054117,0.53757660772707,0.0586856355152467,0.0652776836744756,0.0575067535959158,0.103255348946122,0,13
"0x14",0.163140291483451,0.564026783946835,0.0501960796413596,0.0834949862925081,0.0464356284012168,0.0927062302346297,0,14
"0x15",0.0659155745601892,0.59415378674025,0.137658562572521,0.0401958890018015,0.0541408269712158,0.107935360154022,0,15
"0x16",0.199406202288349,0.465777936854143,0.0287631501607456,0.0701193802033504,0.126159873511071,0.109773456982341,0,16
"0x17",0.179751428527802,0.462286854033495,0.0406972575523701,0.0949899506108426,0.134929884171707,0.0873446251037832,0,17
"0x18",0.208163648387674,0.344885489916532,0.0580480061152699,0.184680187280683,0.0683426359251283,0.135880032374713,0,18
"0x19",0.0943087207225578,0.508565887040606,0.0824705903886711,0.150593377114552,0.0503716374369862,0.113689787296627,0,19
"0x20",0.115183116277806,0.501112503580405,0.0989379781979133,0.0472960053686998,0.0546498422718421,0.182820554303333,0,20
"0x21",0.0520430456201592,0.448243360189326,0.23404969561472,0.140040030333139,0.0563913353161892,0.0692325329264664,0,21
"0x22",0.176539126454634,0.370248656846096,0.13163881422085,0.0345924075996399,0.0729960323736047,0.213984962505176,0,22
"0x23",0.204098961696762,0.242294638672779,0.0330517803162648,0.331115688744578,0.0449429654920572,0.144495965077558,0,23
"0x24",0.16267460254653,0.414241764389437,0.0423508593045039,0.0810297730262318,0.170183627295729,0.129519373437569,0,24
"0x25",0.151967944077474,0.335217423936014,0.156749095562342,0.212384381852583,0.0593892852559319,0.0842918693156554,0,25
