"","Ductal","Cancer","Stroma"
"0x0",0.0996599848675948,0.629889297135628,0.270450717996777
"0x1",0.0754517184554009,0.543730285137367,0.380817996407232
"0x2",0.168956359787842,0.719862638961918,0.111181001250241
"0x3",0.0249649453219298,0.596890397184031,0.37814465749404
"0x4",0.0292060884381093,0.766330008330452,0.204463903231438
"0x5",0.092640740484225,0.759856570231355,0.14750268928442
"0x6",0.136130237298914,0.758792687568824,0.105077075132262
"0x7",0.11190490643159,0.752675918188847,0.135419175379563
"0x8",0.153773739042959,0.830500665758022,0.0157255951990182
"0x9",0.121511123744496,0.817940329256589,0.0605485469989157
"0x10",0.0366979061048737,0.928274033935056,0.0350280599600703
"0x11",0.159263781214035,0.800535341055272,0.0402008777306922
"0x12",0.149283623798708,0.777510089367097,0.0732062868341947
"0x13",0.210134279869707,0.756197865099525,0.0336678550307682
"0x14",0.126976406145131,0.838873785771858,0.0341498080830107
"0x15",0.103982598994198,0.767561592787334,0.128455808218468
"0x16",0.154907926542517,0.748422900398553,0.0966691730589295
"0x17",0.169883045862238,0.682186087397093,0.14793086674067
"0x18",0.318209176898412,0.48633330610644,0.195457516995148
"0x19",0.0854803119298968,0.754742892613792,0.159776795456311
"0x20",0.0762720848527409,0.726141370775832,0.197586544371427
"0x21",0.0623761726247107,0.60319531417413,0.334428513201159
"0x22",0.220384574549028,0.547196279403951,0.23241914604702
"0x23",0.256380849976047,0.356605552846086,0.387013597177867
"0x24",0.167537047338008,0.646353818405983,0.186109134256009
"0x25",0.290049519646624,0.372392890204026,0.33755759014935
"0x26",0.146053216112117,0.570595933139592,0.28335085074829
"0x27",0.132850619118589,0.481339928184911,0.385809452696499
"0x28",0.111033669738181,0.385018626307286,0.503947703954533
"0x29",0.233041167743987,0.301373364853974,0.465585467402039
"0x30",0.317047662736832,0.364031733796183,0.318920603466985
"0x31",0.119651575002811,0.552761057280929,0.32758736771626
"0x32",0.118969522892691,0.401039399517867,0.479991077589442
"0x33",0.107548334999163,0.625280736926569,0.267170928074268
"0x34",0.111909704357626,0.415280244175306,0.472810051467069
"0x35",0.0536592203330599,0.354307682426717,0.592033097240223
"0x36",0.156481212225205,0.406304964347466,0.43721382342733
"0x37",0.216954816174011,0.329727942539587,0.453317241286402
"0x38",0.325763355671138,0.337389575929601,0.336847068399262
"0x39",0.27270018183291,0.256139945857457,0.471159872309633
"0x40",0.226371343465957,0.425954925032417,0.347673731501625
"0x41",0.251364570203623,0.145299909219677,0.603335520576699
"0x42",0.191317737347307,0.257772303882895,0.550909958769797
"0x43",0.233705144126995,0.3454066766634,0.420888179209606
"0x44",0.419373121712983,0.177003541026702,0.403623337260315
"0x45",0.166489633576581,0.422779513334239,0.41073085308918
"0x46",0.262332012815757,0.304808108734437,0.432859878449806
"0x47",0.348844514715346,0.17774337697415,0.473412108310505
"0x48",0.228140006875801,0.295201981610462,0.476658011513737
"0x49",0.310669431114545,0.339313476701079,0.350017092184376
"1x0",0.176293430489458,0.731244165638311,0.0924624038722304
"1x1",0.24385079490101,0.662185264583684,0.0939639405153065
