,region_ind,region,gene,lfc,pval,padj
13335,1,blue,Prune2,0.2011329,1.3639001670381342e-61,1.3851770096439292e-57
13336,1,blue,Gcnt1,-0.09985246,1.3659820263935777e-93,1.7877972761439147e-89
13337,1,blue,Rfk,0.2600693,9.090725344107431e-76,1.0515242005529065e-71
13338,1,blue,Pcsk5,2.8105083,0.630247556206575,1.0
13339,1,blue,Ostf1,-0.29080048,1.719966933248682e-54,1.6365485369861208e-50
13340,1,blue,Nmrk1,-0.1102118,1.564513020298376e-05,0.0655148928936131
13341,1,blue,Carnmt1,0.17518967,1.545122829682216e-72,1.7415079413348258e-68
13342,1,blue,D030056L22Rik,-0.3016653,1.7486899813793363e-79,2.086536885781824e-75
13343,1,blue,Anxa1,-0.45793062,1.1178927468030603e-34,8.589887866434715e-31
13344,1,blue,Zfand5,0.2990632,2.55918641912773e-60,2.569935002088067e-56
13345,1,blue,Gda,2.3145869,0.06800397254262469,1.0
13346,1,blue,1110059E24Rik,0.3969119,2.9125780216503147e-64,3.0328674939444724e-60
13347,1,blue,Abhd17b,-0.068322964,2.5902467302765974e-87,3.273294793050536e-83
13348,1,blue,Cemip2,1.3066959,1.0176715746080055e-16,6.00426229018543e-13
13349,1,blue,Klf9,0.37110168,1.8570837597773724e-25,1.2663454157921902e-21
13350,1,blue,Smc5,-0.1934319,9.973539460881169e-86,1.2480887281346694e-81
13351,1,blue,Mamdc2,1.0020756,0.9602146549697426,1.0
13352,1,blue,Ptar1,0.55919886,7.251690677980577e-37,5.718683268655483e-33
13353,1,blue,Apba1,1.0469408,0.6678088062394818,1.0
13354,1,blue,Tjp2,0.17325899,1.3217372704943416e-12,7.188928988383125e-09
13355,1,blue,Fxn,0.38853225,1.8162863899816638e-33,1.3734757681041342e-29
13356,1,blue,Fam122a,0.3261646,0.41314418068370773,1.0
13357,1,blue,Tmem252,1.5857923,0.023397253562959935,1.0
13358,1,blue,Gm10053,-0.6761635,2.7365116822653642e-05,0.110720083654934
13359,1,blue,Cbwd1,-0.3066833,1.9685772440771624e-22,1.2797720663745633e-18
13360,1,blue,Dock8,0.09129446,3.487117041208214e-18,2.10656740459386e-14
13361,1,blue,Kank1,-0.3221938,1.1975713608383436e-19,7.433325436723595e-16
