"","Ductal","Cancer","Stroma"
"0x0",0.0926499999145243,0.567350974461494,0.339999025623981
"0x1",0.0698484859134437,0.47958507340021,0.450566440686346
"0x2",0.157553663351327,0.666316803215323,0.17612953343335
"0x3",0.0222168408372739,0.532790216506801,0.444992942655926
"0x4",0.0645863610000522,0.663181633536171,0.272232005463777
"0x5",0.103297645365947,0.693290220893307,0.203412133740746
"0x6",0.13096514367416,0.719026757196191,0.150008099129649
"0x7",0.103722375540876,0.704073141401168,0.192204483057956
"0x8",0.134170019691993,0.817121247697906,0.0487087326101004
"0x9",0.117100206633703,0.778437485348917,0.10446230801738
"0x10",0.0363620710048962,0.722282942248937,0.241354986746167
"0x11",0.149170277321644,0.750956452605782,0.0998732700725742
"0x12",0.142041239637193,0.743093070638845,0.114865689723963
"0x13",0.20181927383354,0.72382848556099,0.07435224060547
"0x14",0.118939839401539,0.798071446500532,0.0829887140979297
"0x15",0.0913061140801258,0.713856278751384,0.19483760716849
"0x16",0.156168101454659,0.699430712151561,0.14440118639378
"0x17",0.159722876071638,0.637564398190586,0.202712725737776
"0x18",0.30448870993752,0.421332498291992,0.274178791770489
"0x19",0.0769984000906908,0.674986513674696,0.248015086234613
"0x20",0.0484416579706981,0.646138383324129,0.305419958705173
"0x21",0.0543022879140455,0.499742516808606,0.445955195277348
"0x22",0.197709065590107,0.47085995478255,0.331430979627343
"0x23",0.224591833301492,0.306111453628771,0.469296713069737
"0x24",0.152193682029521,0.583698348058587,0.264107969911892
"0x25",0.258203715873967,0.313100872263004,0.42869541186303
"0x26",0.131982803769275,0.497120362803151,0.370896833427574
"0x27",0.118214845720562,0.409112903060777,0.472672251218661
"0x28",0.101740081365322,0.304889316376044,0.593370602258633
"0x29",0.20438651258526,0.243497761052124,0.552115726362616
"0x30",0.27756533691123,0.300095462152558,0.422339200936212
"0x31",0.103671883592097,0.468872508519341,0.427455607888562
"0x32",0.0909584791530582,0.325516599478679,0.583524921368263
"0x33",0.097721165343274,0.54399121002707,0.358287624629656
"0x34",0.100006426926033,0.328542634065988,0.571450939007979
"0x35",0.0473578623129548,0.290883887514165,0.66175825017288
"0x36",0.126405772838328,0.321000871485084,0.552593355676588
"0x37",0.181870828374879,0.251602363106381,0.56652680851874
"0x38",0.286988406719901,0.283191973111854,0.429819620168245
"0x39",0.235281693563544,0.205850778333688,0.558867528102767
"0x40",0.190067802092961,0.340226645839828,0.469705552067211
"0x41",0.214341902700398,0.103958241696478,0.681699855603124
"0x42",0.150486487994279,0.199728470899252,0.649785041106469
"0x43",0.195933736676779,0.272996488661285,0.531069774661937
"0x44",0.362341453739244,0.137071621837561,0.500586924423195
"0x45",0.152653111322306,0.348880937337891,0.498465951339804
"0x46",0.223956182590616,0.248915041375787,0.527128776033597
"0x47",0.30491498008437,0.145299413462734,0.549785606452896
"0x48",0.197918402297512,0.234644900961982,0.567436696740506
"0x49",0.283821533501344,0.27803620135282,0.438142265145835
"1x0",0.155097913187845,0.696019487010581,0.148882599801574
"1x1",0.237107864160183,0.627988502292858,0.134903633546959
"1x2",0.0641568348115792,0.646010309185616,0.289832856002804
"1x3",0.148308777291008,0.508718436038509,0.342972786670484
"1x4",0.169823327109072,0.768408312438,0.0617683604529278
"1x5",0.0274302220939243,0.823112629132195,0.149457148773881
"1x6",0.131102535215775,0.714753632882486,0.154143831901739
"1x7",0.12856974337212,0.775692115179738,0.0957381414481421
"1x8",0.215525361733533,0.711054003187442,0.0734206350790253
"1x9",0.125760886757365,0.802967642290997,0.071271470951637
"1x10",0.0147560561947657,0.250963196465976,0.734280747339258
"1x11",0.162824381733978,0.689364107521503,0.147811510744519
"1x12",0.246183018737029,0.569078771177321,0.184738210085649
"1x13",0.0789400309795296,0.658896124342511,0.26216384467796
"1x14",0.0800664461116776,0.75384125483682,0.166092299051502
"1x15",0.180370712611654,0.689222660190331,0.130406627198015
"1x16",0.0919941316602708,0.516126702893845,0.391879165445884
"1x17",0.158433143045202,0.659562420216723,0.182004436738075
"1x18",0.160859685446381,0.603521636988415,0.235618677565204
"1x19",0.160995409085307,0.559134859868399,0.279869731046294
"1x20",0.104604485322443,0.47184530564069,0.423550209036867
"1x21",0.26424419987945,0.487573571567783,0.248182228552767
"1x22",0.156606403622659,0.395626567071399,0.447767029305942
"1x23",0.0551731205301198,0.484990136676652,0.459836742793229
"1x24",0.027374428275409,0.559803996517896,0.412821575206695
"1x25",0.0654120462683073,0.44092739160052,0.493660562131172
"1x26",0.131108015355267,0.461273648073675,0.407618336571058
"1x27",0.175313061879115,0.3223941995194,0.502292738601485
"1x28",0.207387535932889,0.395641613403219,0.396970850663892
"1x29",0.376668816498564,0.115478709037116,0.50785247446432
"1x30",0.137000992961751,0.297619367214835,0.565379639823414
"1x31",0.11039568127431,0.369232616516986,0.520371702208704
"1x32",0.242757431556887,0.24713746553942,0.510105102903693
"1x33",0.0809581902975221,0.381772199432201,0.537269610270277
"1x34",0.189320724697135,0.263109092248374,0.54757018305449
"1x35",0.151416609464173,0.260912644479112,0.587670746056715
"1x36",0.203214487438969,0.353091235093316,0.443694277467715
"1x37",0.256845606935137,0.214007156478634,0.529147236586229
"1x38",0.197145047209678,0.300851544582237,0.502003408208086
"1x39",0.0966384628097876,0.480235484469555,0.423126052720657
"1x40",0.0775299201402593,0.233872268109226,0.688597811750515
"1x41",0.104677616238681,0.220782114114011,0.674540269647308
"1x42",0.207640580725915,0.237897302505431,0.554462116768655
"1x43",0.0867722223354752,0.218895511140964,0.694332266523561
"1x44",0.205748496258211,0.140635697893495,0.653615805848295
"1x45",0.133208804760847,0.282058822003224,0.584732373235929
"1x46",0.197036019743082,0.341111761329529,0.461852218927389
"1x47",0.211583995596609,0.209583288346448,0.578832716056943
"1x48",0.332905080619846,0.307047617639953,0.360047301740201
"1x49",0.127764124152242,0.377800663435349,0.494435212412409
