"","cell_ID","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes"
"1","0x0",0.0932069168984364,0.714608138621944,0.192184944479619,0,0,0
"2","0x1",0,0.595706606388941,0,0.404293393611059,0,0
"3","0x2",0,0.882012406901259,0.117987593098741,0,0,0
"4","0x3",0,0.624254919217945,0,0.375745080782055,0,0
"5","0x4",0,0.840931139352628,0,0,0,0.159068860647372
"6","0x5",0,1,0,0,0,0
"7","0x6",0,0.860310709444158,0,0,0.139689290555842,0
"8","0x7",0,0.889410732054936,0,0.110589267945064,0,0
"9","0x8",0,1,0,0,0,0
"10","0x9",0,1,0,0,0,0
"11","0x10",0,1,0,0,0,0
"12","0x11",0.139707901887589,0.860292098112411,0,0,0,0
"13","0x12",0,1,0,0,0,0
"14","0x13",0.147725290717807,0.852274709282193,0,0,0,0
"15","0x14",0,1,0,0,0,0
"16","0x15",0,0.916327595251521,0.083672404748479,0,0,0
"17","0x16",0.135836016789108,0.864163983210892,0,0,0,0
"18","0x17",0.181925083494679,0.682497318443436,0,0,0.135577598061885,0
"19","0x18",0.409278952445322,0.590721047554678,0,0,0,0
"20","0x19",0,0.88437758856313,0,0.115622411436871,0,0
"21","0x20",0,1,0,0,0,0
"22","0x21",0,0.722874763750314,0.277125236249686,0,0,0
"23","0x22",0.149825290462296,0.551375363646458,0,0,0,0.298799345891246
"24","0x23",0.315987371642368,0.270554939793362,0,0.41345768856427,0,0
"25","0x24",0.163051712784737,0.655212409822885,0,0,0.181735877392378,0
"26","0x25",0.242581955010225,0.453268094239978,0,0.304149950749796,0,0
"27","0x26",0.159632953969677,0.544365940900298,0,0.167701689156666,0.128299415973359,0
"28","0x27",0.121700315247709,0.442087866552869,0,0.324359960596197,0.111851857603225,0
"29","0x28",0,0.323684335010821,0,0.376020654684961,0.154191781802335,0.146103228501883
"30","0x29",0.132191031854558,0.317112210299188,0.235556183879371,0.315140573966883,0,0
"31","0x30",0.332815614663004,0.327095552746005,0,0.126990873230812,0,0.213097959360179
"32","0x31",0.145730153841326,0.543426348090223,0.310843498068451,0,0,0
"33","0x32",0,0.502780455621637,0.391532924812008,0.105686619566356,0,0
"34","0x33",0,0.711801973107611,0.288198026892389,0,0,0
"35","0x34",0,0.478580861235371,0,0.16267454736442,0.358744591400209,0
"36","0x35",0,0.342361751345187,0.293479284099384,0.162766002135371,0.201392962420058,0
"37","0x36",0.114279832350728,0.392077403741605,0,0.217866068798978,0.27577669510869,0
"38","0x37",0.217741921373779,0.290509706751605,0.223798691448407,0.267949680426209,0,0
"39","0x38",0.363829092755101,0.22417341867433,0,0.217209765285453,0,0.194787723285116
"40","0x39",0.261724755659099,0.196182191320291,0.322803921800774,0.219289131219836,0,0
"41","0x40",0.24627852366298,0.426501152353617,0,0.173529764845382,0.153690559138021,0
"42","0x41",0.259114032970437,0.105156315489298,0.168140031845055,0.292248008121803,0,0.175341611573408
"43","0x42",0.132775450205362,0.184812054363352,0.173350021034959,0.270891900034197,0.23817057436213,0
"44","0x43",0.266785790316115,0.370356387416535,0,0.36285782226735,0,0
"45","0x44",0.589113549945324,0,0,0.255489158688984,0.155397291365692,0
"46","0x45",0.18370540654822,0.297791796524767,0,0.298823562526159,0,0.219679234400853
"47","0x46",0.216574855763854,0.29490301522635,0.140998280404937,0.18480095607869,0.162722892526169,0
"48","0x47",0.421588790405545,0.103112822038655,0,0.4752983875558,0,0
"49","0x48",0.183572864613523,0.204525618917532,0.255232592089962,0.239475075264677,0,0.117193849114306
