"","cell_ID","mDCs","Macrophages","Mast","Monocytes"
"1","0x0",0.84675810850352,0,0.15324189149648,0
"2","0x1",1,0,0,0
"3","0x2",0.75417565287,0,0.24582434713,0
"4","0x3",1,0,0,0
"5","0x4",0.193621755272504,0.268548223681022,0.268881795191437,0.268948225855037
"6","0x5",0.745417525324985,0,0.254582474675015,0
"7","0x6",0,0,1,0
"8","0x7",0.490499734208631,0.191120546134212,0.113737827793637,0.20464189186352
"9","0x8",0.243689206309288,0.12950024194984,0.509984593620528,0.116825958120344
"10","0x9",0.258446553780103,0.363281187064267,0.37827225915563,0
"11","0x10",0.764309669314518,0.128503016592595,0,0.107187314092887
"12","0x11",0.150581563391004,0,0.537878326407481,0.311540110201515
"13","0x12",0.190039124052493,0.526332662783789,0.283628213163718,0
"14","0x13",0.312081403661638,0,0.527225418121955,0.160693178216407
"15","0x14",0.225204349051911,0.409644898862316,0.365150752085773,0
"16","0x15",0.699054991761446,0,0.300945008238554,0
"17","0x16",0,0,1,0
"18","0x17",0,0,1,0
"19","0x18",0.281797285049364,0.358196492290153,0.153100899235381,0.206905323425101
"20","0x19",0.482565623362861,0.354670325434373,0,0.162764051202765
"21","0x20",0,0.35066094055016,0,0.64933905944984
"22","0x21",1,0,0,0
"23","0x22",0.103753001083784,0.697943703418537,0,0.198303295497679
"24","0x23",0.396078205794593,0.603921794205407,0,0
"25","0x24",0,0,0.851754324706586,0.148245675293414
"26","0x25",0.920160407436687,0,0.0798395925633131,0
"27","0x26",0.314729990093862,0,0.685270009906138,0
"28","0x27",0.342431417399714,0,0.657568582600286,0
"29","0x28",0.273752868721321,0,0.612131146688718,0.11411598458996
"30","0x29",0.926913057918535,0.0730869420814649,0,0
"31","0x30",0.35855461075406,0.64144538924594,0,0
"32","0x31",1,0,0,0
"33","0x32",1,0,0,0
"34","0x33",0.837137936739126,0,0,0.162862063260874
"35","0x34",0,0,1,0
"36","0x35",0.403210910789188,0,0.596789089210812,0
"37","0x36",0,0,1,0
