	Macrophages	Mast	Monocytes	mDCs
2x13	0.23497643	0.12924464	0.48856992	0.14720906
2x14	0.11089677	0.25709644	0.29917523	0.33283162
2x15	0.1475592	0.2662174	0.2928528	0.29337063
2x16	0.15887052	0.22455733	0.3326124	0.28395972
2x17	0.11341546	0.22566652	0.27066615	0.39025182
2x18	0.059008442	0.117299415	0.4278016	0.39589056
2x19	0.12642111	0.23725337	0.34118244	0.2951431
2x20	0.081244536	0.27673972	0.33572626	0.30628952
2x21	0.1758384	0.32263038	0.30200404	0.19952719
2x22	0.13201246	0.22966833	0.33353108	0.30478808
2x23	0.14916041	0.16335273	0.38240883	0.30507806
2x24	0.13365631	0.23573826	0.3835739	0.24703151
2x25	0.14931934	0.24025717	0.2682183	0.34220517
2x26	0.16835423	0.2538862	0.2634047	0.31435493
2x27	0.12817907	0.1707054	0.31698498	0.38413057
2x28	0.26056403	0.251142	0.39082938	0.0974646
2x29	0.18726704	0.12763341	0.32668382	0.35841566
2x30	0.12217989	0.116193056	0.48233172	0.27929533
2x31	0.14242944	0.24298821	0.23430252	0.3802798
2x32	0.17706616	0.15207073	0.46926937	0.20159377
2x33	0.13352293	0.24694183	0.4331066	0.18642864
2x34	0.099771075	0.21249588	0.27234596	0.41538712
2x35	0.2051205	0.15130888	0.33139265	0.31217802
2x36	0.12838814	3.2823462e-12	0.27763134	0.5939805
2x37	0.16129999	0.26307982	0.35810873	0.21751148
2x38	0.25090653	0.15511236	0.50640076	0.08758038
2x39	0.102228194	0.19534744	0.50775915	0.19466518
2x40	0.16819493	0.025425604	0.52375495	0.28262454
2x41	0.08907606	0.06873086	0.4313369	0.4108562
2x42	0.12121309	0.2290202	0.3943881	0.25537857
2x43	0.11528343	0.065537594	0.47579825	0.34338072
2x44	0.23258232	0.2186118	0.19527793	0.353528
2x45	0.13570148	0.2074658	0.38104007	0.27579272
2x46	0.16309267	0.27968678	0.55722064	5.9470445e-12
2x47	0.11623391	0.10035027	0.4023444	0.38107142
2x48	0.13594042	0.21637462	0.37088802	0.27679697
2x49	0.11907737	0.23766105	0.36110988	0.28215167
3x0	0.13158038	0.30146822	0.34620693	0.22074437
3x1	0.17081243	0.2631357	0.3164466	0.24960525
3x2	0.102284536	0.24476892	0.34747508	0.30547148
3x3	0.18708593	0.24344498	0.26612622	0.30334288
3x4	0.12457539	0.25189131	0.28218657	0.34134668
3x5	0.12821507	0.21330066	0.33056444	0.3279198
3x6	0.121118456	0.2402582	0.3147813	0.32384193
3x7	0.14563888	0.21597949	0.3072608	0.33112082
3x8	0.06636839	0.27657446	0.29667568	0.36038145
3x9	0.14684562	0.2984014	0.28176755	0.27298546
3x10	0.11824624	0.2931254	0.31132305	0.27730522
3x11	0.22090042	0.20467927	0.25971824	0.314702
3x12	0.1509637	0.21897572	0.2902213	0.33983925
