"","Ductal","Cancer","Stroma","coordX","coordY"
"6x14",0.0925157225654557,0.440804003795763,0.466680273638781,6,14
"3x8",0.111273298255899,0.499342699230645,0.389384002513457,3,8
"16x11",0.143170447193985,0.599394069010089,0.257435483795926,16,11
"2x6",0.119915653752936,0.505076589415826,0.375007756831238,2,6
"3x12",0.144668542288323,0.705803373745505,0.149528083966173,3,12
"16x15",0.0957395068563213,0.3142938501459,0.589966642997779,16,15
"5x6",0.123002099888048,0.495396043344998,0.381601856766954,5,6
"9x13",0.0854592140466124,0.221658981158781,0.692881804794607,9,13
"15x15",0.0499795899818375,0.131685993328455,0.818334416689707,15,15
"2x13",0.091921725004095,0.232342831818076,0.675735443177829,2,13
"10x10",0.131512771215767,0.689507671200789,0.178979557583444,10,10
"7x4",0.154396745641917,0.373530837744439,0.472072416613644,7,4
"8x16",0.156919246457809,0.49532810333527,0.347752650206921,8,16
"16x16",0.108785101418963,0.468903164296851,0.422311734284185,16,16
"6x6",0.169033677178864,0.491382439104732,0.339583883716404,6,6
"0x10",0.123717688235637,0.606541262376924,0.269741049387439,0,10
"7x12",0.160232876866024,0.487301511389967,0.352465611744009,7,12
"12x7",0.111662963106353,0.515401793821612,0.372935243072035,12,7
"6x18",0.0858748377883235,0.423377278542918,0.490747883668759,6,18
"3x14",0.0776171554964035,0.525786533436671,0.396596311066925,3,14
"15x11",0.0954487798705756,0.278001110421372,0.626550109708052,15,11
"7x3",0.0732827572799183,0.282855758183776,0.643861484536306,7,3
"9x16",0.119816026513614,0.374306213903828,0.505877759582558,9,16
"1x10",0.0991361491210546,0.144986955467043,0.755876895411902,1,10
"17x5",0.10980798745693,0.508159478971896,0.382032533571174,17,5
"9x6",0.110939226217851,0.758689775366179,0.130370998415971,9,6
"6x7",0.137908564045347,0.504638412654238,0.357453023300416,6,7
"0x0",0.166829701181754,0.609213701056986,0.22395659776126,0,0
"0x1",0.12383402893723,0.491625886859023,0.384540084203747,0,1
"0x2",0.193999142490611,0.597532065507536,0.208468792001853,0,2
"0x3",0.0959621618228562,0.516532795329359,0.387505042847785,0,3
"0x4",0.114940432805631,0.630713858135484,0.254345709058884,0,4
"0x5",0.220550297604984,0.608548042749179,0.170901659645837,0,5
"0x6",0.213947969502386,0.574417554106185,0.211634476391428,0,6
"0x7",0.161881980145494,0.624462477044487,0.213655542810019,0,7
"0x8",0.153418621031446,0.699573963178305,0.14700741579025,0,8
"0x9",0.141015534906273,0.729393063822046,0.129591401271682,0,9
"0x11",0.259892706041366,0.62048313055138,0.119624163407254,0,11
"0x12",0.217156979487006,0.638554152195593,0.144288868317401,0,12
"0x13",0.22800377727228,0.653502186685827,0.118494036041893,0,13
"0x14",0.226422118734268,0.655072197111027,0.118505684154705,0,14
"0x15",0.132622697441866,0.669482223628964,0.19789507892917,0,15
"0x16",0.249612293143797,0.594505770006915,0.155881936849288,0,16
"0x17",0.231009908705582,0.562004072304026,0.206986018990391,0,17
"0x18",0.266789885525986,0.452007782913846,0.281202331560168,0,18
"0x19",0.130194521205274,0.601054613960072,0.268750864834655,0,19
"0x20",0.170133017376736,0.591043884498269,0.238823098124995,0,20
"0x21",0.0908152152504834,0.53219057568701,0.376994209062506,0,21
"0x22",0.234211757371688,0.470581093105131,0.295207149523182,0,22
"0x23",0.252742797195355,0.32453431477346,0.422722888031185,0,23
"0x24",0.211918318290548,0.502598124664498,0.285483557044954,0,24
"0x25",0.213485094036662,0.414341154450478,0.372173751512861,0,25
"0x26",0.208425919846293,0.496687681737552,0.294886398416155,0,26
"0x27",0.167435643377064,0.433790661565365,0.39877369505757,0,27
"0x28",0.157537463267449,0.289898795387434,0.552563741345117,0,28
"0x29",0.159078791684873,0.346303528426798,0.494617679888329,0,29
"0x30",0.239682567943623,0.36992387856856,0.390393553487817,0,30
"0x31",0.202403031694413,0.447065599796913,0.350531368508674,0,31
"0x32",0.101512084237371,0.402032139798018,0.496455775964611,0,32
"0x33",0.176420292278615,0.508159237599791,0.315420470121593,0,33
"0x34",0.152444200320711,0.353422291606363,0.494133508072926,0,34
"0x35",0.137019259247563,0.30263970102868,0.560341039723757,0,35
"0x36",0.190822790820974,0.355882949429195,0.453294259749831,0,36
"0x37",0.186945748284782,0.324829418885649,0.488224832829569,0,37
"0x38",0.288896045834956,0.325082972907681,0.386020981257362,0,38
