"","cell_ID","mDCs","Macrophages","Mast","Monocytes"
"1","0x0",0.659600888924522,0,0,0.340399111075478
"2","0x1",1,0,0,0
"3","0x2",0.553378390255832,0,0.136264125256781,0.310357484487387
"4","0x3",1,0,0,0
"5","0x4",0.247576869595151,0,0,0.752423130404849
"6","0x5",0.159807941028033,0.354831909497027,0,0.48536014947494
"7","0x6",0.395240374792507,0,0.604759625207493,0
"8","0x7",0.318917920238879,0,0.224831710795932,0.456250368965188
"9","0x8",0,0.221850051216737,0,0.778149948783263
"10","0x9",0,0.367192279525331,0,0.632807720474669
"11","0x10",0.425799496787172,0.270020670197324,0,0.304179833015504
"12","0x11",0,0.178163061513146,0,0.821836938486854
"13","0x12",0,0.342961023927261,0,0.657038976072739
"14","0x13",0,0.286486775685725,0.230955745222705,0.48255747909157
"15","0x14",0.429001165970624,0,0.232754260692249,0.338244573337127
"16","0x15",0.42099038621819,0,0.169949854914894,0.409059758866915
"17","0x16",0.279874116570449,0.43895124239733,0.281174641032221,0
"18","0x17",0.467961424755876,0.377210941304593,0.154827633939532,0
"19","0x18",0.447049195958781,0,0,0.552950804041219
"20","0x19",0,0.331353060272429,0,0.668646939727571
"21","0x20",0.235782914248524,0,0,0.764217085751476
"22","0x21",0.396450139432368,0.192976000065396,0.18235921942879,0.228214641073446
"23","0x22",0,0,0,1
"24","0x23",0.743503180801345,0.256496819198655,0,0
"25","0x24",0,0.421628043764661,0.578371956235339,0
"26","0x25",0.376435446463754,0.182365458865842,0.162513710778431,0.278685383891974
"27","0x26",0.45376748235872,0,0.231907724811499,0.314324792829781
"28","0x27",1,0,0,0
"29","0x28",0.701729873362189,0,0.298270126637811,0
"30","0x29",1,0,0,0
"31","0x30",0,0,0,1
"32","0x31",1,0,0,0
"33","0x32",1,0,0,0
"34","0x33",1,0,0,0
"35","0x34",0.384413130277055,0,0.615586869722945,0
"36","0x35",1,0,0,0
"37","0x36",0.51227514598557,0.380944914434419,0.106779939580012,0
"38","0x37",1,0,0,0
"39","0x38",0.197026203199909,0,0,0.802973796800091
"40","0x39",1,0,0,0
"41","0x40",0.838382822237735,0.161617177762265,0,0
"42","0x41",0.597805718966254,0,0,0.402194281033746
"43","0x42",0.757169542623824,0,0.242830457376176,0
"44","0x43",0.490761555478807,0,0.118709847907851,0.390528596613342
"45","0x44",0.856172320490796,0,0.143827679509204,0
"46","0x45",0.40178219920901,0.59821780079099,0,0
"47","0x46",1,0,0,0
"48","0x47",1,0,0,0
"49","0x48",1,0,0,0
"50","0x49",0.576070389201915,0.423929610798084,0,0
"51","1x0",0,0.281657092929476,0,0.718342907070524
"52","1x1",0.508043435957995,0.146349838666869,0,0.345606725375136
"53","1x2",1,0,0,0
"54","1x3",0.577953365152605,0,0,0.422046634847395
"55","1x4",0.505652779033561,0,0,0.494347220966439
"56","1x5",0.288391799581054,0.358849197282407,0.352759003136539,0
"57","1x6",0,0.351958324500189,0,0.648041675499811
"58","1x7",0.726866595841137,0,0,0.273133404158863
"59","1x8",0,-5.47857504427022e-20,0.528570694583222,0.471429305416778
"60","1x9",0,0,0,1
"61","1x10",0.893579635140771,0.106420364859229,0,0
"62","1x11",0.333977440171538,0,0.228979739958774,0.437042819869687
"63","1x12",0.141321109465523,0.191818085288058,0.364487311769859,0.30237349347656
"64","1x13",0.406620338227864,0.119183655774907,0.108368362861807,0.365827643135423
"65","1x14",0.145978342817613,0,0,0.854021657182387
"66","1x15",0,0.231217190508913,0,0.768782809491087
"67","1x16",0.791590696661151,0,0.208409303338849,0
"68","1x17",1,0,0,0
"69","1x18",0,0.34433378680823,0,0.65566621319177
"70","1x19",0,7.55905911493374e-05,0.337949404334284,0.661975005074567
"71","1x20",1,0,0,0
"72","1x21",0,0,0,1
"73","1x22",1,0,0,0
"74","1x23",1,0,0,0
"75","1x24",1,0,0,0
"76","1x25",1,6.84870552641116e-19,0,0
"77","1x26",0,0,0,1
"78","1x27",0.43334412793323,0.120597075498921,0,0.446058796567849
"79","1x28",1,0,0,0
"80","1x29",0,0,0,1
"81","1x30",1,0,0,0
"82","1x31",1,0,0,0
"83","1x32",0.547237038457457,0,0,0.452762961542543
"84","1x33",1,0,0,0
"85","1x34",0.744289269630032,0,0.255710730369968,0
"86","1x35",1,0,0,0
"87","1x36",0.731695630298186,0.268304369701814,0,0
"88","1x37",1,0,0,0
"89","1x38",0.627914340888463,0,0,0.372085659111537
"90","1x39",0.259063839013992,0.638600048814425,0.102336112171583,0
"91","1x40",0.743910411960329,0,0.256089588039671,0
"92","1x41",0.833090333925422,0.166909666074578,0,0
"93","1x42",1,0,0,0
"94","1x43",1,0,0,0
"95","1x44",1,0,0,0
"96","1x45",1,0,0,0
"97","1x46",0,1,0,0
"98","1x47",1,0,0,0
"99","1x48",1,0,0,0
"100","1x49",0.731629425806091,0,0.268370574193909,0
"101","2x0",0,0.446660773813043,0,0.553339226186957
"102","2x1",1,0,0,0
"103","2x2",0,0.515934816556326,0,0.484065183443674
"104","2x3",0.403186052034032,0,0,0.596813947965968
"105","2x4",0.119683305597519,0.44516736146622,0,0.435149332936262
"106","2x5",0.364323717081316,0,0.249029597592994,0.38664668532569
"107","2x6",1,0,0,0
"108","2x7",0.383581276391139,0,0.239066064590637,0.377352659018224
"109","2x8",0.324464440511853,0,0,0.675535559488147
"110","2x9",0.298516681112161,0,0.110947923188794,0.590535395699045
"111","2x10",0.245676584216677,0,0.216671596645274,0.537651819138049
"112","2x11",0,-4.85085783790307e-18,0.372699510444392,0.627300489555608
"113","2x12",0.504075536005896,0,0,0.495924463994104
"114","2x13",1,0,0,0
"115","2x14",0,0.1059662055259,0,0.8940337944741
"116","2x15",0,0.24143060590537,0.358328013193381,0.400241380901249
"117","2x16",1,0,0,0
"118","2x17",0.118408169654816,0.461339099607527,0,0.420252730737658
"119","2x18",0.851643534329975,0,0.148356465670026,0
"120","2x19",0,0.251974361626984,0.149212108539294,0.598813529833722
"121","2x20",0.488677360849751,0,0.195168435733676,0.316154203416574
"122","2x21",0.732997003534084,0,0.267002996465916,0
"123","2x22",0,0.239031035463991,0.214315176583101,0.546653787952908
"124","2x23",1,0,0,0
"125","2x24",0.374785090981497,0.35046066854072,0.274754240477783,0
"126","2x25",1,0,0,0
"127","2x26",1,0,0,0
"128","2x27",0.519590594253883,0.480409405746117,0,0
"129","2x28",0.189581037601433,0.598498374590373,0.211920587808194,0
