	Macrophages	Mast	Monocytes	mDCs
2x2	1.0	7.464163e-12	2.2119877e-10	1.1030034e-11
2x3	0.2764549	0.22765471	0.17535178	0.3205386
2x4	0.29216984	0.1573747	0.26826462	0.2821908
2x5	9.024988e-12	1.2212386e-12	0.008312475	0.9916875
2x6	0.13578269	0.17344119	0.05852075	0.6322554
2x7	0.3471018	0.21501702	0.20890151	0.22897963
2x8	1.0679361e-10	2.414041e-11	1.0	1.4021219e-10
2x9	0.2873492	0.2180657	0.22370113	0.27088395
2x10	0.2930181	0.15294236	0.16090833	0.3931312
2x11	0.34286547	0.1723763	0.28610024	0.19865799
2x12	0.40969405	0.16941383	0.22424604	0.19664611
2x13	0.24477068	0.09825634	0.038525037	0.61844796
2x14	0.31003353	0.20192204	0.22832942	0.25971502
2x15	0.37285423	0.18387976	0.22642373	0.21684232
2x16	0.1195809	2.6932781e-12	0.108885765	0.77153337
2x17	1.7634894e-11	5.213461e-12	1.1298091e-11	1.0
2x18	0.07918781	1.719902e-12	0.05628535	0.8645268
2x19	0.14156327	1.6721062e-12	0.04430917	0.81412756
2x20	0.029428057	2.572515e-12	0.0447623	0.9258097
2x21	0.21653832	0.6293189	7.827193e-12	0.1541428
2x22	0.28767678	3.0187083e-12	0.1742797	0.53804356
2x23	0.19404776	9.717558e-13	0.08658524	0.719367
2x24	0.084412396	0.46699467	0.01487328	0.4337196
2x25	0.00071713876	1.7869567e-12	4.8728187e-12	0.9992829
2x26	4.5537952e-11	0.31735688	0.006814659	0.6758284
2x27	0.487046	7.543929e-13	0.14010476	0.3728493
2x28	0.27364892	0.41548213	0.022005498	0.28886342
2x29	0.051310122	8.7653517e-13	0.014200165	0.9344897
2x30	0.40930417	0.26679403	0.2824872	0.04141456
2x31	0.1154599	8.2712255e-13	0.09103037	0.7935097
2x32	0.19888397	6.570846e-13	0.281479	0.51963705
2x33	0.32923216	0.299512	0.013302332	0.3579535
2x34	0.011588864	0.18216196	1.9365833e-12	0.8062492
2x35	0.08520526	5.9600686e-13	0.12022848	0.79456633
2x36	0.17060834	3.7304301e-13	8.634905e-12	0.8293917
2x37	0.11976754	0.24972188	2.1139498e-11	0.6305106
2x38	0.33879733	0.18293414	0.025484165	0.4527844
2x39	0.16353717	7.207352e-13	0.047502883	0.7889599
2x40	0.050268218	5.2951003e-13	0.16651218	0.7832196
2x41	0.067227036	6.0219375e-13	0.05361726	0.8791557
2x42	0.1504659	0.11987044	0.07574739	0.6539163
2x43	0.09907945	1.0890666e-12	0.051841382	0.8490792
2x44	0.037366357	0.24881823	4.070594e-12	0.71381545
2x45	0.27688158	9.357336e-13	0.04996382	0.6731546
2x46	0.07604578	0.18821454	0.04506107	0.6906786
2x47	0.16641341	0.15912266	0.016623994	0.6578399
2x48	0.09550706	0.30247936	0.040728137	0.5612855
2x49	0.25264844	0.16541839	0.099441044	0.48249212
3x0	9.160467e-11	0.7136896	0.28631037	9.067219e-12
3x1	0.30695936	0.12154837	0.31516185	0.25633037
3x2	0.2966656	0.2029294	0.28872466	0.21168034
3x3	0.31372666	0.20730491	0.27104574	0.20792265
3x4	0.28030545	0.14501809	0.1633997	0.41127676
3x5	0.30146512	0.18992907	0.27121735	0.23738848
3x6	0.3412152	0.13608503	0.2734977	0.2492021
3x7	0.32807934	0.16195324	0.27307945	0.23688793
3x8	0.1537727	3.1379437e-13	0.080732495	0.7654948
3x9	0.33095983	0.2134662	0.22728169	0.22829226
3x10	0.3232289	0.18012817	0.28522512	0.21141784
3x11	0.31389505	0.19790767	0.23477925	0.2534181
3x12	0.67408925	4.007517e-12	1.528896e-10	0.32591078
3x13	0.35323542	0.1880526	0.22913595	0.22957602
3x14	0.041029923	6.074501e-13	0.030929705	0.9280403
3x15	0.26230866	0.17099772	0.2355045	0.33118913
3x16	7.6370976e-12	2.9647688e-12	5.884777e-12	1.0
3x17	0.23101753	0.18750596	0.25294325	0.3285332
3x18	6.097625e-11	3.2237923e-12	0.74943995	0.25056005
3x19	0.58410186	5.0719593e-12	0.3566476	0.059250537
3x20	0.7818519	1.6640736e-12	2.3481316e-11	0.21814813
3x21	0.06773972	0.47121543	0.033378497	0.4276664
3x22	0.6425933	1.6489285e-12	8.624176e-12	0.35740665
3x23	0.65235555	1.9446985e-12	0.06200914	0.28563523
3x24	0.20625322	6.429388e-13	1.1737798e-11	0.7937467
3x25	0.03133095	0.21697097	6.0003946e-11	0.7516981
3x26	0.011933793	3.379054e-13	2.169818e-12	0.9880662
3x27	0.41272196	0.31484824	0.22173846	0.050691318
3x28	0.29038012	1.1044907e-12	2.0455766e-11	0.70961994
3x29	0.056970265	7.842423e-13	0.0010839611	0.9419458
3x30	0.19091171	3.5812567e-13	6.7151326e-11	0.8090883
3x31	0.30576444	5.046853e-13	0.007287086	0.6869484
3x32	0.1070523	1.2962627e-12	0.038873207	0.85407454
3x33	0.18055716	4.1985477e-13	0.027900271	0.7915426
3x34	0.091161676	3.900104e-13	0.16626272	0.7425756
3x35	0.21763699	0.15438825	0.14996442	0.4780103
3x36	0.3906549	0.11493658	0.108217664	0.38619086
3x37	0.1823328	0.14140655	2.5722998e-12	0.6762607
3x38	0.43098602	5.120049e-13	0.026571896	0.5424421
3x39	0.13428481	0.26645276	0.037977304	0.5612851
3x40	0.29823232	0.18114568	0.026098035	0.4945239
3x41	0.1637627	6.7428626e-13	0.002183115	0.8340542
3x42	0.2969587	3.113635e-13	3.7462832e-12	0.70304126
3x43	0.17153591	0.25164947	0.028169556	0.54864514
3x44	0.27599874	9.910233e-13	0.33942485	0.38457635
3x45	0.21061274	7.081789e-13	0.26991695	0.51947033
3x46	0.10976062	0.2732626	0.13882922	0.47814763
3x47	0.44999033	0.2041659	0.11818641	0.22765736
3x48	1.6935182e-11	9.29131e-13	0.54522425	0.45477572
3x49	0.14712334	5.802226e-13	0.073820956	0.77905566
4x0	0.3162431	0.19802901	0.24072507	0.24500287
4x1	0.007801858	1.5031025e-12	5.6918545e-12	0.99219817
4x2	0.28833574	2.9307156e-12	7.1809217e-12	0.71166426
