	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
1x20	0.39716154	0.1323372	0.09936696	0.09831845	0.049393322	0.22342248
1x21	0.45077577	0.25017923	0.018876525	0.164544	0.11562455	3.9401425e-12
1x22	0.29777232	0.15186289	3.087235e-11	0.28028002	0.024133801	0.245951
1x23	0.35558057	0.08500869	0.10195973	0.12104051	0.09057374	0.24583676
1x24	0.51590836	0.03858409	0.14648451	9.251441e-12	0.045451954	0.25357103
1x25	0.32737434	0.18779117	0.0054296823	0.08071146	0.05853458	0.34015885
1x26	0.41773716	0.18400113	0.13739434	7.0266883e-12	0.26086742	4.969134e-12
1x27	0.31738642	0.12913162	0.03707228	0.09694932	0.067035936	0.35242444
1x28	0.34237355	0.22014028	0.17891213	1.5640088e-10	0.11858091	0.13999315
1x29	0.06812198	0.50518197	0.11289507	1.3094635e-10	0.21722814	0.09657284
1x30	0.29048216	0.17445073	0.06249997	0.17502266	0.046865854	0.25067863
1x31	0.4099975	0.13629657	0.08325566	0.06313525	0.138919	0.16839603
1x32	0.24677154	0.2392576	2.6208544e-11	0.1044728	0.08547909	0.32401893
1x33	0.3096407	0.18834472	0.037057105	0.028262662	0.039331865	0.39736304
1x34	0.3234005	0.18013856	0.10128071	0.29282326	0.0396677	0.06268933
1x35	0.1683473	0.2758384	0.1526901	0.046327937	0.10968515	0.2471111
1x36	0.31686878	0.23964842	0.06614791	0.19609365	0.08231286	0.09892842
1x37	0.10577429	0.2680089	0.16211328	0.14017798	0.16104229	0.16288328
1x38	0.24352616	0.24601912	0.11036073	1.7705763e-10	0.07958089	0.3205131
1x39	0.34267536	0.1402316	0.12027187	0.261015	0.13580617	7.263231e-12
1x40	0.2356821	0.1544856	0.063934974	0.3227933	0.035554532	0.1875495
1x41	0.22829132	0.24577476	0.17575344	0.068660505	0.08985507	0.19166505
1x42	0.24138509	0.17069422	0.13401628	0.0056770635	0.014274859	0.43395254
1x43	0.22684078	0.15302055	0.12012471	0.11851752	0.110151984	0.2713445
1x44	0.19401	0.1940124	0.15304416	6.960696e-11	0.042080898	0.41685256
1x45	0.26399666	0.13775593	0.0841818	0.17101091	0.021668907	0.32138583
1x46	0.2931885	0.23714836	0.16910604	0.13820404	0.16235316	2.334073e-12
1x47	0.22733939	0.2827398	0.16605392	0.019100463	0.07027575	0.2344907
1x48	0.20427807	0.34827724	0.049463782	0.049729556	0.0531867	0.29506472
1x49	0.2976851	0.14048177	0.018472007	0.2535296	0.057556514	0.23227502
2x0	0.80757636	4.4141565e-11	4.945054e-11	1.5282437e-11	0.03509816	0.1573255
2x1	0.68005496	9.18827e-12	0.015682109	4.390457e-11	0.045256406	0.25900653
2x2	0.78839105	0.1382499	0.02755114	1.773075e-11	0.045807812	3.1901975e-12
2x3	0.96171063	5.0415644e-12	5.1687365e-12	0.0382894	1.8380237e-12	5.4498797e-12
2x4	0.8096504	0.16333248	6.5174836e-12	0.027017068	3.1139748e-12	6.137411e-12
2x5	0.5412813	9.642288e-12	0.00811074	0.043961518	0.061975487	0.34467098
2x6	0.20876543	0.1824136	0.09474837	0.21616374	0.050397772	0.24751101
